source,url,topic,text,rating,user_rating,num_users
Fox,http://www.foxnews.com/us/2014/11/04/murder-suspect-on-personal-jihad-may-have-been-groomed-in-seattle-barber-shop/,us, A man accused of killing four people in two states is believed to have ties to a disrupted terrorist cell a terrorist training camp on US soil and federal investigations going back more than a decade a Fox News investigation has revealed Details of Ali Muhammad Browns life in crime and connections to radical Islam prior to the killings of a college student in New Jersey and three other men in Washington state since April 2014 is under renewed scrutinyAfter his arrest in July Brown 29 told detectives from both states that he was engaged in jihad and referred to the specific murder of one victim Brendan Tevlin as a just kill ADVERTISEMENT ADVERTISEMENT  A 2004 JTTF investigation centered around Crescent Cuts a small barber shop owned by Ruben Shumpert a convicted drug dealer KCPQ13 PHOTO  Tevlin 19 was murdered in West Orange NJ on June 25 while sitting in his car at a traffic lightHe was shot eight times Besides Brown two other men have been arrested in Tevlins murder  Jeremy Villagran and Eric Williams Seattle authorities say ballistics link the same 9mm handgun that Brown used to kill Tevlin in New Jersey to three other homicide investigations in Washington stateOn June 1 23yearold Dwone AndersonYoung and 27yearold Ahmed Said were killed execution style as they sat inside a car in Seattle Wash  Brendan Tevlin seen with his mother  The same weapon was used to gun down 30yearold Leroy Henderson on April 27 as he walked the streets of Skyway Wash authorities say Two former FBI agents from the Joint Terrorism Task Force or JTTF revealed for the first time on a Fox News special Greta Investigates The Lone Wolves of Terror that they believe Ali Muhammad Brown may have traveled to one of the first terrorist training camps on US soil when he was a teenager Former FBI agents David Rubincam and David Gomez were interviewed by Fox News in Seattle David Gomez told Fox I believe Ali Muhammad Brown at some point traveled to Bly Ore prior to his arrest for financial institution fraud The JTTFexecuted 19 search and arrest warrants in November 2004 after a 30month investigation which became known as the Ranier Valley Roundup No one including Brown was charged with terrorism  Ahmed Said  Gomez recalled the case The objective is to make money so they were involved in trying to raise money for themselves but they were also raising money for a jihadist movement in Seattle There is a quote in the indictment that says you cant go to war broke  The JTTF investigation centered around Crescent Cuts a small barber shop frequented by Brown The shop was owned by Ruben Shumpert a convicted drug dealer familiar to Gomez and other members of law enforcement Ruben Shumpert was a prison convert to Islam noted Gomez He learned to cut hair in prison Ruben would not only cut hair but was attempting to indoctrinate a lot of the youth into radical forms of Islam by showing them videos about the 911 hijackers and Al Qaeda Gomez added in 2004 with Ali Muhammad Brown what we were looking at was the raising of funds for overseas material support of terrorism He Brown was convicted of fraudulently producing checks depositing them into accounts and spending the money basically  Leroy Henderson  Brown was sentenced to two years in prison but only served 84 daysHe would lead a life of depraved crime and violenceWashington state court records from 2012 obtained by Fox News show Brown was charged with child rape before pleading guilty to three lesser counts of communication with a minor for immoral purposes Ruben Shumpert went on to fight alongside terrorists Just prior to his sentencing in 2006 Shumpert wrote a 12page letter to US District Judge Marsha J PechmanIn it he claimed he was a changed man because of Islam and begged for leniency He also criticized news organizations including Fox News However Shumpert who was never asked to surrender his US passport never showed up for his sentencing Shumpert fled to Somalia to fight for the Al Qaedaaffiliated group Al Shabaab From there Shumpert made taunting calls to the FBI team that had investigated him In 2008 reports of his death in a missile attack were reported by the SITE intelligence group SITE noted that Shumpert had been declared a martyr in an online jihadi magazine  Dwone AndersonYoung  It is clear that prior to the attacks of 911 the Pacific Northwest had become a lure to create a mujahadeen  and Al Qaedarelated training camp As early as 1999 Dog Cry Ranch near Bly Ore was envisioned as a jihadist training camp by Londons notorious radical Islamic cleric Abu Hamza alMasri The oneeyed handless alMasri 56 now faces sentencing before the US Attorneys Southern District of New York following his conviction in May 2014 on 11 federal terrorism charges These convictions include some related to the plans for the Oregon ranch Testifying this spring at alMasris trial was James Ujaama one of the clerics most devoted followers Ujaama was familiar to the Crescent Cuts barber shop in Seattle and had attended Ingraham High School Now in his late 40s Ujaama testified in April that he wrote and sent a fax to alMasri in 1999 stating the land we spoke of is about 160 acres and looks just like Afghanistan Former FBI agent and Seattle Joint Terrorism Task Force member David Rubincam recalled Ujaama to Fox News James Ujaamas inspiration came not from videos of Abu hamza alMasri he actually went to the Finsbury mosque and was tutored by him in the ways of violent jihad and then attempted to bring that back that original group of converts some of whom stayed on and worked with Shumpert in the Crescent Cuts case They tried to set up a mujahedeen training camp here on US soil  Ali Muhammad Brown  Fox News also reviewed videos obtained by the Investigative Project on Terrorism showing Ujaama present with alMasri at the London mosque in 2000 In 2003 it was announced by thenUS Attorney General John Ashcroft and former Attorney General Michael Chertoff that James Ujaama pleaded guilty to conspiring to provide goods and services to the TalibanIn exchange for a twoyear prison sentence Ujaama was cooperating with the government in ongoing terrorism investigations  However after completing his sentence in 2005 Ujaama fled the US on a fake Mexican passportHe was arrested outside a mosque in Belize in December 2005 and returned to the United States Now still facing decades in prison with terrorism charges reinstated under seal Ujaama remains a key government witness in ongoing core Al Qaedarelated terrorism trials  And there was another visitor to the barber shop that interested members of the JTTF David Rubincam investigated Sheikh Mohamed Ibrahim then the imam of the Abu Bakr Mosque At the time the mosque was located 500 feet away from Crescent Cuts I had a piece of that investigation that involved an imam at the Abu Bakr MosqueRubincam explained A point of overlap between the investigations is the fact that the converts like Rubin Shumpert and others would attend AbuBakr Mosque And Sheikh Ibrahim the imam was also known We surveilled him actually going over to Crescent Cuts David Rubincam Remains certain about the radical motivation of the thenimam from the Abu BakrMosque  Sheikh Ibrahim  Former FBI Special Agent David Rubincam Hes an extremist religious zealot of the worst kindhe went to the University of alMadinah in Saudi Arabia He was educated as an Islamic religious scholar Rubincam said the imam was a member of the precursor to the Al Qaeda affiliate in Somalia AlShabaabHe was over here to raise money through the Hawala system of  of money transfer to fund them overseas and to recruit people to their cause to actually go back to Somalia to take up arms or go into Ethiopia and take up arms The imam was finally arrested in Seattle in late 2005 after returning from a trip to Texas says Rubincam As soon as we saw who he was meeting with in Dallas we thought OK you know what enough This you know hes meeting with other people that are kind of in the same line of work as him  Ruben Shumpert  Three months after Shumpert disappeared in 2006 to fight alongside terrorists in Somalia Sheikh Ibrahimwhose real name is Mohamad Dheere was deported because according to the immigration court the sheikh had no legal basis to remain in the US A public affairs spokesman for the Seattle office of Immigration and Customs Enforcement ICE confirmed to Fox News that the sheikh was deported to Kenya his country of birth not Somalia Federal investigators say the sheikh lied in documents he signed in 2000 to obtain legal asylum in the United States  James Ujaama  Im glad that we dealt with it in immigration court Rubincam continued The best thing is to get him off our soil and get him out of here and never let him come backI am 100 percent certain 100  a national security threat to the United States of America or to any country in which he resides Ali Muhammad Brown who hung out at the barber shop is facing four murder charges in two states as police investigate his life thoroughly A Fox Newsrequest for an interview with Brown and his attorney were declinedBrown is currently held in New Jerseys Essex County jail Frank Cilluffo the director of the Homeland Security Policy Institute at George Washington University told Fox News the investigation is still playing outbut in this case I do think he would fit in the category of lone wolf because he did affiliate with others who were traveling to Somalia and in this case AlShabaab Christina Diaz Hall Angela Tarrant Steve Tierney and Cyd Upson contributed additional reporting to this story,0.7,0,0
Fox,http://www.foxnews.com/world/2014/11/04/kurds-help-isis-with-terrain-language-in-battle-for-kobani/,world,This undated image posted on a militant website shows Abu Khattab alKurdi or Abu Khattab the Kurd one of the Islamic State groups top military commanders in the offensive on the Syrian city of Kobani APJihadis website BEIRUT  Ethnic Kurds are helping members of the Islamic State group in the battle for the key Syrian Kurdish town of Kobani sharing their knowledge of the local terrain and language with the extremists according to Iraqi and Kurdish officials It is not clear how many Kurds are aiding the estimated 3000 Islamic State militants in the Kobani area  and fighting against their own Kurdish brethren  but activists say they are playing a major role in the 7weekold conflict near the Turkish border ADVERTISEMENT ADVERTISEMENT A top military commander for the extremists in the town is an Iraqi Kurd known by the nom de guerre of Abu Khattab alKurdi helping them in the battle against fellow Kurds Officials with the main Syrian Kurdish force known as the Peoples Protection Units or YPG say they became aware of the Kurds among the mostly Sunni Muslim extremists early in the fighting As Kurdish fighters were defending the nearby Syrian village of Shiran in September two Kurdish men with different accents and wearing YPG uniforms infiltrated their ranks Kurdish officials said Upon questioning however they were captured and admitted to fighting for the Islamic State group the officials added Iraqi and Kurdish officials say many of the Kurdish fighters with the Islamic State group are from the northeastern Iraqi town of Halabja which was bombed with chemical weapons by Saddam Husseins forces in 1988 killing some 5000 people Shorsh Hassan a YPG spokesman in Kobani said although most of the Kurdish jihadi fighters come from Iraq some are from Syrian regions such as Kobani Afrin and Jazeera He added that the number of Syrian Kurds is small compared with the dozens of Iraqis fighting with the IS group The fighter who is from Kobani is not like someone who hails from Chechnya with no idea about tracks and roads Hassan said Thousands of militants from all over the world  including north Africans Asians and some Westerners  have traveled to Syria and Iraq to join the ranks of the Islamic State group Turkish nationals are among them but it is unknown if any are fighting in Kobani Hassan said many of the Iraqi fighters were from Halabja including alKurdi Websites affiliated with the Islamic State group recently published several photographs of the young bearded man including some of him wearing the traditional Kurdish garb of baggy pants and others of him standing in front of Kurds killed in Kobani In Baghdad an Iraqi security official said alKurdi was a member of Ansar alIslam a Sunni militant group with ties to Abu Musab alZarqawi the late leader of Al Qaeda in Iraq who was active in the early 2000s AlKurdi later joined the Islamic State group the official said The Iraqi official said alKurdi is also from Halabja and is wanted by Iraqi authorities He refused to give the mans real name when pressed by The Associated Press Our latest information is that he is in Syria fighting in the Kobani area He is an expert in mountainous areas the Iraqi official said speaking on condition of anonymity because he was not authorized to talk to the media He is commanding the Kurdish group within Daesh because he is a Kurd he added using an Arabic acronym for the Islamic State group Halabja was known as a secular village and the home of Abdullah Goran one of the bestknown Kurdish poets in the 20th century and a member of the Iraqi Communist Party But in the past three decades Muslim preachers have become active and have turned it into one of Iraqi Kurdistans most religiously conservative areas Still most of the Kurds are moderate and secularleaning Muslims Many Kurds in Iraq were stunned when they learned that Kiwan Mohammed the 25yearold goalkeeper of Halabjas soccer team was killed last month in Syria while fighting for the Islamic State group in Kobani Mohammed was identified by jihadi websites as Abu Walid alKurdi Dana Jalal an Iraqi journalist who follows jihadi groups said the Iraqi athlete left Syria in July 2013 and had not been heard of until his death Some 70 Iraqi Kurds mostly from Halabja went to fight in Syria with the Islamic State group Jalal said Most go through Turkey where they say they are going for tourism but theu then they cross into Syria and some even take their wives with them Jalal added Nawaf Khalil the Europebased spokesman for Syrias powerful Kurdish Democratic Union Party said Kurdish fighters within the Islamic State group are invaluable in the Kobani battle because they know the geography as well as the language and the mentality of fellow Kurds A main part of their work is tapping electronic surveillance and intelligencegathering They might be also using some from the Kobani area to benefit from the geographical knowledge of the area he said Mustafa Bali a Kurdish activist in Kobani said that by having Kurdish fighters Islamic State extremists are trying to win the hearts and minds of Syrian Kurds in the area Daesh is trying to tell the people of Kobani that it does not consider them enemies and its fighters include Kurds Bali said,0.7,0,0
Fox,http://www.foxnews.com/politics/2014/11/04/how-to-watch-fox-news-channel-programming-on-election-night/,politics, Fox News Channel FNC will provide live continuous coverage of the midterm election night coanchored by Bret Baier and Megyn Kelly beginning at 6 pm ET Coverage will be accessible to viewers on the go from their desktop tablet or smartphone with the Fox News app available at foxnewsgocom FoxNewscom also will present a live online program The Strategy Room from 911 pm ET The shows freewheeling roundtable format  which viewers can watch at foxnewscomstrategyroom  will provide a fresh take on key races with spirited discussions that go beyond the typical political fare ADVERTISEMENT ADVERTISEMENT This live online program will feature news and analysis from Fox News personalities Andrea Tantaros Harris Faulkner Lisa Kennedy Montgomery Jesse Watters Jedediah Bila Fox News Radios Todd Starnes Fox Business Networks Charles Payne and comedian Tom Shillue,0.7,0,0
Fox,http://www.foxnews.com/politics/2014/11/04/0-year-old-among-first-charged-under-fort-lauderdale-strict-rules-against/,politics,Arnold Abbott plans to defy Fort Lauderdales ordinance against feeding the homeless again on Wednesday Courtesy SunSentinel Fort Lauderdale police say Arnold Abbott violated a new city law but the 90yearold homeless advocate says his only crime was to love thy neighbor Abbott was charged Sunday along with two local pastors with violating the citys new ordinance that effectively bans giving out food in public He faces 60 days in jail and a 500 fine and he intends to get cited again Wednesday night when he sets out to feed some of the Florida citys estimated 10000 homeless on a public beach ADVERTISEMENT ADVERTISEMENT  Arnold Abbott homeless advocate I know that I will be arrested again and I am prepared for that Abbott said by phone from his office at Love Thy Neighbor Inc a nonprofit he established in honor of his wife Maureen after her death in a car accident 23 years ago I am my brothers keeper and what they are doing is just heartless Fort Lauderdale passed an ordinance late last month that included a slate of new regulations on where and how groups can provide food to homeless people The vote made the city the 13th in the nation since 2012 to pass restrictions on where people can feed the homeless according to a report by the National Coalition for the Homeless The regulations enacted in Fort Lauderdale state that no two indoor feeding sites can be within 500 feet of one another or on the same block outdoor feeding programs require a permit or permission of the property owner and must provide portable toilets and outdoor stations cannot be within 500 feet of residential properties Abbott whose charity has battled city officials for years in court and on the streets of the southern Florida city said the toilet requirement was too much for his group I have tried to abide by their regulations but we just are not able to provide a portapotty he said I believe that is the job of the municipality anyway Cited along with Abbott were Dwayne Black pastor of The Sanctuary Church in Fort Lauderdale and Mark Sims of St Mary Magdalene Episcopal Church in Coral Springs according to the Fort Lauderdale SunSentinel Although the three were not handcuffed or taken to jail they were cited and must appear in court or face a bench warrant Fort Lauderdale officials defended the ordinance saying it does not bar people from helping the hungry The ordinance allows for legal clean and safe distribution of food to the homeless said Fort Lauderdale Police Department Det DeAnna Greenlaw For example if a minister priest or member of clergy wishes to provide food to the homeless at their establishment Ie community hall church or gathering place they can do so if the proper facilities as listed in the ordinance are in place  Supporters of the strict laws say that allowing programs like Abbotts encourages homelessness Cal Deal a 65yearold former journalist who videotapes homeless people in the city and says they commit crimes cause sanitation problems and need more help than simply food The people feeding them are enablers and they enable the homeless by making their lives easier Deal told the New Times of Broward County Hunger is a big motivator Are people more likely to seek help when theyre hungry or when theyre fed and happy Ron Book chairman of the MiamiDade County Homeless Trust told city lawmakers at the raucous Oct 21 meeting at which the new laws were passed that they would have a positive effect Feeding people on the streets is sanctioning homelessness Book said Whatever discourages feeding people on the streets is a positive thing Sims acknowledged that Fort Lauderdale has a problem with homelessness but said the answer isnt laws that make it hard to feed people Its not an easy issue not cut and dried Sims said But what is cut and dried is that people deserve to eat when they are hungry And people of faith are compelled to reach out to people who are in need We need to work harder to solve the problem rather than just shutting it down he added Abbott said there is a simple explanation for Fort Lauderdales outsize homeless population The homeless people come here for the weather he said They know they wont freeze to death in Fort Lauderdale Abbott a World War II veteran who won two Purple Hearts as an infantryman said he wont stop the fight he has dedicated to his wife She tried to help as many poor and homeless people as she could said Abbott a retired jewelry salesman who grew up in Philadelphia When I lost her I decided the best tribute to her would be a fulltime program in her name In addition to feeding the homeless Love Thy Neighbor operates a culinary training program that Abbott says has helped more than 400 people learn food service skills But the food programs have gotten him in trouble for years In 1999 the city tried to stop Abbott from feeding the homeless on Fort Lauderdale Beach the same location he plans to go to Wednesday Abbott sued and won and says he will go back to court if necessary Ill go to court again and sue the city said Abbott They are doing the bidding of the very wealthy and they are trying to sweep the poorest of the poor under the rug,0.7,0,0
Fox,http://www.foxnews.com/politics/2014/11/04/justice-dept-dumps-64k-pages-related-to-fast-and-furious/,politics,Federal agents lost control of some 2000 weapons during a botched operation known as Fast and FuriousAP The Justice Department has turned over more than 64000 pages of documents congressional lawmakers were seeking as part of their investigation into the botched gunrunning operation known as Fast and Furious The material was handed over to the House Oversight and Government Reform panel late Monday in what aides describe as an election eve dump ADVERTISEMENT ADVERTISEMENT In total 64280 pages arrived on Capitol Hill  all material that had been withheld from Congress by President Obama who used executive privilege to keep the information from lawmakers House Republicans who led the charge to hold US Attorney General Eric Holder in contempt of Congress over the documents sued for their release and a judge agreed with the GOP Click for more from the Washington Examiner,0.7,0,0
Fox,http://www.foxnews.com/us/2014/11/04/wreckage-from-virgin-galactic-spaceshiptwo-found-35-miles-from-crash-site-ntsb/,us, The National Transportation Safety Board said late Monday that tiny pieces of debris from the wreckage of Virgin Galactics SpaceShipTwo were found 35 miles from the main crash site Acting NTSB chairman Christopher Hart said that the pieces could have been carried over that distance by the wind but did not say whether that was the case The main wreckage from Fridays crash is spread over a 5mile area in the Mojave Desert ADVERTISEMENT ADVERTISEMENT Earlier Monday Hart said that Hart said cockpit video and data showed that the copilot unlocked SpaceShipTwos unique feathering system earlier than planned The system works somewhat like the wing flaps that airplanes use to slow for landing  except that SpaceShipTwos twin tails rotate up at a far more extreme angle to a position that creates strong resistance and slows the descent But while the copilot unlocked the system before planned that action alone should not have been enough to change the crafts configuration Activating the feathering system requires the pulling of a lever not unlike a gun fires only when the trigger is pulled not just because the safety has been disengaged That information raises the question of why the copilot activated the system when he did as well as why the tails rotated without the copilot starting them The copilot was killed in the crash while the pilot was badly injured after parachuting out of the ship NTSB spokesman Peter Knudson said Monday that investigators believe once the feathers were unlocked aerodynamic forces buffeting the craft as it hurtled along about 760 mph caused the feathers to start rotating Within a few seconds the craft began to disintegrate NTSB investigators determined Knudson stressed that a final cause will take months to determine and that investigators were looking into other factors including pilot training mechanical failure and design flaws The ultimate goal of Virgin Galactic coowner Richard Branson is to create an industry that can move people around the globe in a fraction of the current time it takes passenger jets by rocketing them into space and back down But the company now lacks not only a craft to fly but also an understanding of what caused the crash Though rival companies also are pushing ahead the dawn of space tourism seems to have been pushed beyond the horizon yet again SpaceShipTwo has been under development for years and Branson originally predicted passengers would be enjoying the wonders of flight by now In the weeks before the crash he said he hoped to fly in 2015 Branson still plans to be on the maiden voyage with his family He said that day will not come before a new round of crewonly flights We need to be absolutely certain our spaceship has been thoroughly tested  and that it will be he said And once its thoroughly tested and we can go to space we will go to space Fridays crash could trigger increased government regulation To give the fledgling commercial space industry space to innovate the Federal Aviation Administration has not overregulated test flights during the past decade according to Diane Howard an assistant professor at EmbryRiddle Aeronautical University who specializes in space law But the crash could allow the FAA to propose new rules that would affect future Virgin Galactic flights and it will be very interesting to see how Congress and the FAA and industry respond Howard said The FAA did not immediately comment Monday The agency is able to initiate a rulemaking process that would affect the design or operation of a spacecraft involved in a fatal accident but is unlikely to do so before the end of the NTSBs investigation The Associated Press contributed to this report,0.7,0,0
Fox,http://www.foxnews.com/us/2014/11/04/body-found-after-mother-reports-tossing-6-year-old-boy-off-bridge/,us,A woman who said she threw her 6yearold son off a historic bridge on the Oregon coast was arrested on murder and manslaughter charges after the boys body was found in the bay police said Police and firefighters in the coastal city of Newport Lincoln County deputies and the Coast Guard searched the bay with boats and a helicopter after Jillian Meredith McCabe 34 of Seal Rock called 911 at 625 pm Monday to report throwing her son off the Yaquina Bay Bridge ADVERTISEMENT ADVERTISEMENT The boys body was found at 1023 pm in the bay after it was spotted near the Embarcadero Resort police said Detectives found McCabe on the bridge and arrested her on suspicion of aggravated murder murder and manslaughter police said She was booked into the Lincoln County Jail with bail set at 750000 She has not yet had a court appearance or lawyer assigned for her defense Police are asking anyone who saw the woman and child on the bridge to call detectives who continue to investigate The Yaquina Bay arched bridge one of the most famous on the Oregon coast opened in 1936 Its listed on the National Register of Historic Places In 2009 a woman tossed her two young children off a bridge in Portland killing her 4yearold son A daughter then 7 years old survived Amanda StottSmith was sentenced in 2010 to at least 35 years in prison,0.7,0,0
Fox,http://www.foxnews.com/politics/2014/11/04/was-foley-rescue-delayed-administration-had-strong-intelligence-on-hostages/,politics, EXCLUSIVE As early as May the Obama administration had strong and specific information about the location of American James Foley and other hostages held in Syria a source close to the discussions told Fox News but the rescue mission was not approved until early July The gap raises new and compelling questions about whether the operation to save the American and British hostages was unnecessarily delayed for at least five weeks because the administration wanted the intelligence to develop further ADVERTISEMENT ADVERTISEMENT We had a lot of really good information on where they were being held very specific information said the source who agreed to discuss the details on condition of anonymity because of the sensitivity of the matter The source added that the Islamic State captors felt so secure in their stronghold of Raqqa Syria that the hostages were moved between only a handful of locations By late spring the American and British hostages had been held for at least three weeks in one facility Other sources backed up the account provided to Fox News The timeline seems to conflict with administration claims that the White House signed off on the operation as soon as the intelligence allowed The US government had what we believed was sufficient intelligence and when the opportunity presented itself the president authorized the Department of Defense to move aggressively to recover our citizens Lisa Monaco the White House counterterrorism adviser said in August after journalist and hostage James Foley was executed and the video was posted by ISIS Unfortunately that mission was ultimately not successful because the hostages were not present A similar statement which did not dispute the strength of the hostage location information was provided to Fox News on Monday by National Security Council spokeswoman Bernadette Meehan US forces conducted this operation as soon as the President and his national security team were confident the mission could be carried out successfully and consistent with our policies for undertaking such operations the statement said The intelligence is never bulletproof a former military official said When they the rescue team finally did go the general view was that the intelligence was drying up  These guys were ready to go on a lower threshold for the intelligence than the White House  We want the American people to know we are there for them and ready to go 24 hours a day In an interview with Fox News Greta Van Susteren broadcast in midSeptember after ISIS posted the execution video of Foley his parents said they also believed information was available about the hostages location long before the July rescue attempt It was too late I really feel that  well we were hinted that they knew where they were for jeez at different times they knew just where they were But it was a dangerous mission Diane Foley explained Like all Americans we felt our government would succeed at whatever it decided to do and were certainly dismayed that the effort was unsuccessful John Foley added Details have also emerged about the shadowy network of prisons used to hold the hostages who were held in close proximity to one another Fox News has learned that after leaving a prison in the basement of the Aleppo Childrens hospital in the fall of 2013 the hostages were moved to a nearby industrial area  before ISIS moved them again in early 2014 to their stronghold of Raqqa where over the next five months they were held in a handful of locations Fox News is withholding some details of their captivity as well as the names of hostages  who have not been publicly identified by ISIS  at the request of the families and the US government Catherine Herridge is an awardwinning Chief Intelligence correspondent for FOX News Channel FNC based in Washington DC She covers intelligence the Justice Department and the Department of Homeland Security Herridge joined FNC in 1996 as a Londonbased correspondent Catherine Herridge is an awardwinning Chief Intelligence correspondent for FOX News Channel FNC based in Washington DC She covers intelligence the Justice Department and the Department of Homeland Security Herridge joined FNC in 1996 as a Londonbased correspondent,0.7,0,0
Fox,http://www.foxnews.com/us/2014/11/04/video-shows-abduction-philadelphia-woman/,us, Philadelphia police released dramatic surveillance video Monday that showed the abduction of a young woman in the Germantown section of the city the previous night Officers identified the victim to WTXFTV as 22yearold Carlesha FreelandGaither Relatives say FreelandGaither was walking home from a party at approximately 940 pm local time Sunday when she was approached by a man ADVERTISEMENT ADVERTISEMENT The video begins by showing the suspects car turning onto a deserted street before stopping just out of the cameras frame A man then gets out of the car and walks up the block before confronting FreelandGaither The woman appears to initially walk away but the suspect grabs her pulls her back to his car and takes offFreelandGaithers phone and glasses were found at the scene  Ana Mulero FreelandGaithers grandmother Police said Tuesday that bank card belonging to FreelandGaither had been used in Maryland Surveillance images show a man using the womans card at 6 am Tuesday at a bank located near a highway exit in Aberdeen The FBI is offering a 25000 reward for information leading to the arrest and conviction of a suspect Thats in addition to rewards totaling 17000 from local officials FreelandGaithers grandmother Ana Mulero said the missing woman had lived with her in Maryland for several years and still had acquaintances there Just return her to us to her family Mulero said We need her FreelandGaithers mother Keisha Gaither said I just want her home She got family Shes loved Just let her come home To her daughter Gaither said Just fight Dont give up Just fight FreelandGaither a nursing assistant at Presbyterian Hospital in Philadelphia graduated from high school in Maryland and lived with her grandfather in Philadelphia until a couple of months ago when she moved in with her boyfriend relatives said A WTXF reporter saw crime scene investigators arrive at the scene Monday and examine broken glass that police believe FreelandGaither kicked out at some point during the abduction Police say the glass was from an early 2000s model grey Ford Taurus The 22yearold was last seen wearing a light blue jean jacket a gray and white sweater blue jeans and tangreen shoes She was also carrying a black backpack She is described as standing 5 feet 3 inches tall and weighing 125 pounds with brown eyes and braided hair She has a tattoo on her lower back Anyone with information is asked to call 215 686TIPS or 215 6863353 The Associated Press contributed to this report Click for more from MyFoxPhillycom,0.7,0,0
Fox,http://www.foxnews.com/us/2014/11/04/detainee-brought-from-afghanistan-to-us-for-trial/,us,RICHMOND Va  A Russian member of the Taliban made his first appearance in a federal court in Virginia on Tuesday marking the first time a military detainee from Afghanistan has been brought to the US for trial Irek Hamidullins appearance before US Magistrate Judge David Novak represents the Obama administrations latest attempt to show that it can use the criminal court system to deal with terror suspects His arraignment on 12 terrorism charges has been set for Friday morning before US District Judge Henry Hudson a former federal prosecutor ADVERTISEMENT ADVERTISEMENT US officials say Hamidullin is a Russian veteran of the Soviet war in Afghanistan who stayed in the country and joined the Taliban He was captured in 2009 after an attack on Afghan border police and US soldiers in Khowst province He had been held at the US Parwan detention facility at Bagram airfield before being brought to the US Among the charges Hamidullin faces in an indictment unsealed Tuesday are providing material support to terrorists conspiracy and attempt to destroy an aircraft of the US Armed Forces and conspiracy to use a weapon of mass destruction The mass destruction charge carries a possible death sentence but Assistant US Attorney James Gillis said the attorney general is not seeking death because of insufficient aggravating factors Several of the counts are punishable by up to life in prison Hamidullin shackled and heavily guarded by federal agents said little during his initial appearance where Novak advised him of his rights and asked if the defendant understood the charges Federal public defender Robert Wagner and attorney Claire Cardwell were appointed to represent him According to the 19page indictment Hamidullin was an officer and tank commander in the Russian military during the 1980s and was trained in the use of such weapons as antiaircraft machine guns and portable rockets He became affiliated with the Taliban in 2001 The indictment says Hamidullin commanded three groups of insurgents that attacked Afghan Border Police at Camp Leyza one of six locations the Taliban had identified as possible targets He directed insurgents armed with antiaircraft machine guns to fire at US military helicopters responding to the attack the indictment says and later used a machine gun to shoot at US troops and Afghan Border Police assessing damage at the battle site Joshua Stueve spokesman for the US attorneys office in the Eastern District of Virginia said Hamidullin was treated humanely and had access to medical care cultural considerations and a personal representative while detained in Afghanistan National Security Council spokeswoman Bernadette Meehan has said the decision to transfer the detainee was made in light of the agreement by the US that it will turn over all prisons in Afghanistan to the Afghan government by 2015 As of last month there were 13 nonAfghan detainees at Parwan The Obama administration is facing pressure to transfer those detainees before December when the USled NATO combat mission ends Officials would not say why Richmond was chosen for the trial However prosecutors in the Eastern District of Virginia have experience with highprofile terrorism cases including that of Sept 11 2001 conspirator Zacarias Moussaoui who is serving life without parole after being convicted in Alexandria Many Republican lawmakers believe military detainees should only be tried in military courts and that trying them in civilian courts undermines the notion that the US is at war with Al Qaeda and other extremists But the Obama administration has sought to try terror suspects in federal court wherever possible Attorney General Eric Holder has said they are likely to receive swifter justice there,0.7,0,0
