source,url,text,publish_date,category
MSNBC,http://www.msnbc.com/msnbc/rand-paul-cory-booker-reform-the-war-drugs, Condemning a war on drugs they call excessive  counterproductive and discriminatory  Sens  Rand Paul  R Kentucky  and Cory Booker  D New Jersey  are pushing a new bipartisan bill to reform criminal background checks and the juvenile justice system  The senators say their bill   the REDEEM Act   will cut the cost and stigma of non violent drug offenses by limiting how long criminal records stick to ex convicts  Under current law  ex convicts must answer employer questions about past convictions  That rule has major effects on the labor marker   even for low level offenses  a criminal record makes many job applicants far less employable  Studies show the impact increases unemployment and disproportionately hinders poor and minority communities  The senators  legislation aims to counter that trend by offering some non violent offenders a second chance  It would seal criminal records for teenage offenders  while adults could apply to have their records expunged  Judges would review those applications  under the proposal  by balancing an offender s interest in  employment  against the public s interest in  knowledge and safety  And when ex offenders win  they would get something pretty rare under federal law   a do over   The problem really of the war on drugs is taking a lot of people who make youthful mistakes and it s punishing them for a lifetime  Sen  Rand Paul on  The Cycle  The bill says that when a crime is expunged  it will simply  be treated as if it never occurred  Paul  who has backed several measures to limit punishment for non violent offenses  says that approach is crucial if the U S  wants to truly rehabilitate offenders and break the cycle of recidivism   The biggest impediment to civil rights and employment in our country is a criminal record  Paul told PBS   NewsHour  Tuesday   People can t get a job because they have to check off a box saying they re a felon  he said this week   I want people to work  There are certainly a range of rights and government benefits denied to ex offenders  including voting rights  government jobs and public assistance  The 1996 Welfare Reform Act  passed by a Republican Congress and signed by President Bill Clinton  denies public assistance to many ex offenders  The Paul Booker bill would reverse that policy for non violent offenders   It restores welfare benefits and food stamps for people who complete substance abuse treatment  Both senators also emphasize the racial disparities at play  Black and white Americans use pot at similar rates  but blacks are almost four times as likely to face arrest for pot  While 13  of the nation is black  black Americans comprise 45  of inmates serving time for drug offenses  Booker  the fourth black senator elected since Reconstruction ended in 1877  has spoken out about both the racial disparities at play and the overuse of harsh sentences for Americans who commit low level  non violent crimes   The majority of our criminals that we lock up are non violent offenders  he said in the  NewsHour  interview   we ve got to start figuring out ways to empower them to succeed  The legislation would also roll back two harsh practices in the treatment of minors It discourages states from trying some teenagers as adults  a practice that has increased even as the rates of violent crime by juveniles are at a 25 year low And it would provide the first national ban on solitary confinement for children   In the U S  solitary confinement has proven increasingly controversial Last year  a United Nations human rights expert concluded that the psychological damage caused by solitary confinement can amount to torture  Congress has been slow to act on most non emergency legislation this year  but aides to both senators say criminal justice is emerging as a rare area of bipartisan agreement  The Senate Judiciary Committee passed reforms to mandatory minimums on a bipartisan vote earlier this year   a change backed by President Obama and Attorney General Eric Holder   and this month the entire House of Representatives backed a bipartisan bill to ease banking access for marijuana sales that are legal at the state level  For more reporting on criminal justice  visit Ari Melber s MSNBC series on racial inequities in the law  Presumed Guilty  ,07/30/14 02:30 PM,drugs
MSNBC,http://www.msnbc.com/rachel-maddow-show/making-the-banking-system-marijuana-friendly, Different strains of pot are displayed for sale at Medicine Man marijuana dispensary in Denver  Friday Dec  27  2013  Photo by Brennan Linsley AP In some parts of the United States  it is now legal to sell marijuana to adult consumers  But an unforeseen problem recently popped up that hadn t received much attention before  businesses that sell pot can t open a bank account    Because federal law still classifies cannabis as a  Schedule I  illegal narcotic  federally regulated banks don t want to do business with pot retailers or dispensaries  even when they re legal  Indeed  they can t   banks would be subject to criminal penalties under money laundering laws    For policymakers  there are a couple of options  Rep  Earl Blumenauer  D Ore  for example  wants to reform the Controlled Substances Act so that marijuana is no longer a  Schedule I  illegal narcotic and banks won t have anything to worry about  Since that would require congressional approval  it s unlikely we ll see this change anytime soon   See the correction below    But in the meantime  Attorney General Eric Holder  who s been quite progressive on this issue  can help at an administrative level  Reuters reported the other day  U S  treasury and law enforcement agencies will soon issue regulations opening banking services to state sanctioned marijuana businesses even though cannabis remains classified an illegal narcotic under federal law  Attorney General Eric Holder said on Thursday    Holder said the new rules would address problems faced by newly licensed recreational pot retailers in Colorado  and medical marijuana dispensaries in other states  in operating on a cash only basis  without access to banking services or credit   You don t want just huge amounts of cash in these places  Holder told an  audience at the University of Virginia   They want to be able to use the banking system  And so we will be issuing some regulations I think very soon to deal with that issue    That s probably a good idea    Whatever one might think of the business  product  commercial enterprises in the United States tend to need a bank account  Imagine the challenges of setting up a shop in Denver  realizing that receiving a bank loan is impossible  If you manage to launch your store and make a profit  you ll have to conduct all transactions   paying employees  keeping the lights on  selling your product  buying inventory  paying sales taxes   without being able to write a check    Then imagine how big a target your establishment would be to robberies     There s a public safety component to this  Holder added   Huge amounts of cash   substantial amounts of cash just kind of lying around with no place for it to be appropriately deposited   is something that would worry me just from a law enforcement perspective    The A G  didn t specify when new banking regulations would be announced      Update  I heard from Blumenauer s office this afternoon  which said congressional action on reforming the Controlled Substances Act may not be necessary   the Attorney General s office can act unilaterally without lawmakers  approval  With this in mind  it would appear Holder can declassify marijuana as a  Schedule I  illegal narcotic at his discretion and without congressional input     ,01/27/14 12:37 PM,drugs
MSNBC,http://www.msnbc.com/martin-bashir/unlike-his-father-rand-paul-just-says-no-t, Sen  Rand Paul  R Ky  entered politics with more than just his father s name to his credit  As an insurgent  Tea Party candidate for the U S  Senate in 2010  Paul also benefited considerably from the movement that former Rep  Ron Paul built during his run for the Republican presidential nomination two years before  The elder Paul s campaign failed in 2008  as it did in 2012  but he succeeded in establishing himself as a kind of libertarian folk hero  especially for certain young voters who thrilled to his calls for ending government intrusion in all its forms  from the Corporation for Public Broadcasting to the War on Drugs  Rand Paul followed the libertarian path blazed by his father all the way to the corridors of power on Capitol Hill  But now that he s made it to the Senate and perhaps contemplating his own designs on the White House Paul has to decide just how far his father s brand of libertarianism can take him  Sen  Paul demonstrated the sincerity of his libertarian convictions recently  when he made an observation about the absurdity of U S  drug laws  Look  the last two presidents could conceivably have been put in jail for their drug use  and I really think  you know  look what would have happened  it would have ruined their lives  They got lucky  but a lot of poor kids  particularly in the inner city  don t get lucky  They don t have good attorneys  and they go to jail for these things and I think it s a big mistake  Paul s comments  which came during an interview on Fox News Sunday  caused something of a stir  A close reading of them  however  shows that he is not willing to go as far as his father did in advocating for the repeal of laws that make the use or possession of drugs  such as marijuana  illegal  As he explained in the same interview   the main thing I ve said is not to legalize them  but not to incarcerate people for extended periods of time   To that end  Paul has teamed up with Sen  Pat Leahy  D Vt  the liberal chair of the Senate Judiciary Committee  to introduce the Justice Safety Valve Act of 2013  which would give judges greater flexibility in sentencing federal crimes where a mandatory minimum punishment might be considered too harsh  This is exactly the kind of  libertarian Republican approach  that Paul has said will bring more young people back into the GOP fold  But for fans of the more free wheeling libertarianism of his father  it might seem a little tepid  Paul senior attracted a large and devoted following of young people during his failed runs for the presidency  in part  because of his full throated embrace of legalization for all narcotics  not just cannabis but hard drugs like heroin and cocaine  Unlike the younger Paul  who opposes legalization and takes pains to point out that marijuana is  a bad thing to do  the elder Paul actually introduced legislation with arch liberal Barney Frank that would have repealed the federal ban on pot  After the last election  he even co wrote a letter with former Rep  Frank that called on the Obama administration to back off of enforcing the federal ban in Washington and Colorado  where voters have approved measures legalizing the recreational use of the drug  If Sen  Paul is really interested in being president some day  then he has probably decided to avoid some of the more extreme libertarian positions  as well as opposition to foreign wars  that made his father a fringe candidate in many GOP circles  But will his stance on reducing the harshness of penalties for drug offenses resonate with young voters  who rejected the Republicans  last presidential candidate by a margin of 24 percentage points  Guest host Karen Finney discussed Paul s efforts to win back the youth vote with political strategist Angela Rye  author Goldie Taylor and Republican strategist Hogan Gidley  You can watch their discussion here  ,03/27/13 08:48 AM,drugs
MSNBC,http://www.msnbc.com/rachel-maddow-show/fridays-mini-report-95, A man runs as he carries a child who survived from what activists say was an airstrike by forces loyal to Syrian President Bashar al Assad  at al Ferdaws in Aleppo  Jan  21  2014  Photo by Ammar Abdullah Reuters Today s edition of quick hits      Syria   Secretary of State John Kerry said on Friday that President Obama had asked aides to develop new policy options to deal with the deteriorating situation in Syria      Vice President Biden delivered quite a message to House Democrats today   There isn t a Republican party  I wish there were  I wish there was a Republican party  I wish there was one person we could sit across the table from and make a deal and make the compromise and know when you got up from the table that the deal was done      Kansas   The Kansas Senate will not pass a bill in its current form that would prevent lawsuits against someone who refuses  for religious reasons  to provide services to gays and lesbians  the chamber s president said Friday      Immigration   President Obama predicted that Congress would pass an immigration reform bill before the end of his presidency in a Univision Radio interview airing Friday      Workers at the VW plant in Chattanooga are wrapping up their unionization vote tonight  The White House is backing the labor movement      Shocking images in Turkey   Turkish bloggers and journalists expressed outrage on social networks Thursday at images of a female television reporter who was knocked down by a direct blast of red liquid fired from a police water cannon during a protest in the capital  Anakara      Resilience Fund   President Obama will pitch a new  1 billion climate change resilience fund during a visit Friday to California  The fund  which would need to be approved by Congress  is intended to help communities dealing with negative weather that s the result of climate change      New rules for pot industry   The Obama administration issued new rules Friday intended to ease the concerns of banks wanting to deal with businesses that legally sell marijuana  something the nation s banks have so far declined to do      Solar   The Ivanpah solar power plant stretches over more than five square miles of the Mojave Desert  Almost 350 000 mirrors the size of garage doors tilt toward the sun with an ability to energize 140 000 homes  The plant  which took almost four years and thousands of workers assembling millions of parts to complete  officially opened on Thursday  the first electric generator of its kind  It could also be the last      Another setback for anti gay activists in Indiana   For anybody watching  it might not have seemed particularly eventful  but because of what did  not  happen during Thursday s convening of the Indiana Senate  the state will not face a ballot initiative to ban same sex marriage this year      Wisconsin   Democrats in the Wisconsin state legislature launched an effort to repeal the state s constitutional ban on marriage equality Thursday  as a legal challenge makes its way through the court system      There are some perspectives I will simply never understand   Peggy Noonan  of all people  thinks the country has become too infatuated with the  personality  and  charisma  of its presidents    Anything to add  Consider this an open thread    ,02/14/14 05:30 PM,drugs
MSNBC,http://www.msnbc.com/msnbc/coloradans-light-obama-marijuana-lega, President Obama made history by turning Colorado blue for two consecutive presidential cycles  in a battleground state where he and GOP challenger Mitt Romney were locked in a tie heading into the election  The NBC News Election Desk projected President Obama as the winner of Colorado with 83  of precincts reporting  where he led Romney with 51  to 47  In 2008  Obama became the third Democrat to win over voters in the Centennial State since Harry S  Truman  The last time a Democrat carried the state prior to Obama was Bill Clinton during his first term  Obama held a sizable lead following the Democratic National Convention when he led Romney by five points  But  after the first debate at the University of Denver  even the president s most ardent supporters accused him of falling asleep at the wheel and allowing Romney to win the night  By the end of October  Obama s lead in the polls had diminished to a tie  Exit polls show that President Obama dominated with Latino voters  claiming 74  of the Latino vote  compared to Romney s 25  Romney was  however  able to make great bounds in closing the gender gap in Colorado  In September  polls placed Obama s lead with women voters in the state at 14 point advantage with 54  to Romney s 40  Romney made a strong comeback on the president s lead  exit polls put both candidates at a tie with women voters at 49  Voters in the Rocky Mountain state also passed  marijuana legalization on Election Day  Under Amendment 64  marijuana will be legalized  regulated and taxed in small quantities for adults over the age of 21  similar to alcohol regulation With 44  reporting  NBC News Election Desk projects the amendment s passage with 53  support  to 47  opposition  ,11/07/12 01:00 AM,drugs
MSNBC,http://www.msnbc.com/martin-bashir/top-links-october-23,    Karl Rove has no right to complain about all these radicals ruining his nice Republican Party because he s the one who invited them   Jon Stewart Five year old child kills self with napping babysitter s gun  NBC News  Teacher found dead  14 year old student in custody  NBC News  AR 15 stolen from North Carolina congresswoman s unlocked garage  CBS Charlotte  White House official fired for tweeting under fake name since Feb  2011  Daily Beast  New poll  more than half of Americans think that marijuana usage should be made legal  Huffington Post  Maine Gov  Paul LePage claims 47  of able bodied Maine residents do not work  Washington Post  White House works to flip the narrative  the Affordable Care Act is not a website  Politico  House Energy and Commerce Committee Chairman Fred Upton will take testimony from Healthcare gov tech contractors Thursday  Politico  Gov  Rick Perry is in Israel  mark_miner  Rep  Darrell Issa pulls a BuzzFeed  makes cat listicle  Rep  Darrell Issa   ,10/23/13 11:08 AM,drugs
MSNBC,http://www.msnbc.com/rachel-maddow-show/viva-tancredo, epa03463953 A man holds a poster that reads  I am the American Dream  as he as he joined other immigrants who gathered in front of Los Angeles City Hall in  Photo by MICHAEL NELSON As a presidential candidate in the 2008 race  Rep  Tom Tancredo  R Colo  positioned himself as a fierce opponent of immigration  Asked during a debate whether he d air Spanish language ads  Tancredo rejected the idea out of hand     No  I would not advertise in Spanish  he said   Believe me when I tell you this  the preservation of the English language is important for us for a lot of reasons  not the least of which is because it is what holds us together  It is the glue that keeps a country together  any country  Bilingual countries don t work  and we should not encourage it    How far has the debate shifted in a progressive direction over the last several years  This far  Gubernatorial candidate Tom Tancredo  best known as an immigration firebrand  this week unveiled a strategy he hopes will lure Hispanic voters to his side    The former congressman launched www VivaTancredo com  and announced he will have campaign ads on Spanish radio stations and open a new campaign office in Pueblo  It s worth emphasizing that Tancredo s Spanish language advertising will emphasize support for legal immigration   which for the former congressman  is still evidence of a slight shift to the left   and will reportedly be part of a broader effort    The Denver Post report added that Tancredo also plans to distribute  Viva Tancredo  Live your own life  bumper stickers    No  seriously    Rick Palacio  chairman of the Colorado Democratic Party  responded   It s no wonder Tom Tancredo advocated for the passage of recreational marijuana  because he s obviously smoking something if he thinks a Spanish language ad can somehow erase his years of fighting against the interests of Hispanics and our families    There are currently six Republicans running for governor in Colorado  The primary is June 24    This is Tancredo s second statewide campaign   he ran for governor on a third party ticket four years ago  taking 36  of the vote    ,02/18/14 12:57 PM,drugs
MSNBC,http://www.msnbc.com/the-last-word/the-defenses-version-george-zimmerman, George Zimmerman s defense team sent a parade of witnesses to the stand Monday  seeking to paint a humanizing portrait of their client as someone who tutored children  struggled with his weight  and needed help learning how to tie a Windsor knot  Zimmerman has pleaded not guilty to charges of second degree murder in the shooting death of 17 year old Trayvon Martin  saying he was acting in self defense  Key to the case is whether the jury believes Martin was accosted by Zimmerman after being followed by him  or whether Zimmerman shot Martin after the teen attacked him  Most of the first full day of defense testimony focused on whether or not a voice heard screaming on the 911 call made by a witness to police belongs to Martin or Zimmerman  One by one  defense witnesses testified that the voice heard screaming for help on the call was Zimmerman  Among them were Mark and Sondra Osterman  who wrote a book defending Martin s killing as an act of self defense and said they are donating the proceeds to help pay for Zimmerman s legal defense  One witness  John Donnelly  who said he paid for suits for Zimmerman to wear in court and also donated to Zimmerman s legal defense  testified that as a former combat medic in Vietnam he could easily pick out the voice of someone he knew amongst chaos   There is absolutely no doubt in my mind that is George Zimmerman  and I wish to God in my mind I didn t have the ability to understand that  Donnelly told the court  Last week  Trayvon Martin s mother and brother testified that the voice on the tape belonged to Martin  It s unclear how important the identification of the voice on the tape will be  NBC legal analyst Lisa Bloom said Monday   I d be very surprised if after the verdict  the jury  said we decided based on what the friends of George Zimmerman said about the 911 call  The defense also called Sanford police detectives Chris Serino and Doris Singleton  Serino testified that Tracy Martin  Trayvon Martin s father  said  no  when he first heard the recording  a statement that Serino took as meaning that the voice screaming for help on the 911 call did not belong to his son  Singleton also testified that Tracy Martin said the voice on the tape did not sound like Trayvon Martin  Called to the stand later Monday afternoon  Tracy Martin disputed those accounts  testifying that he never told the detectives that the voice on the tape did not belong to Trayvon Martin  Pressed by prosecutor Bernie de la Rionda under cross examination  Serino acknowledged that Tracy Martin might have been uttering  no  in denial  while hearing the gunshot that ended his son s life  The prosecution has noted that Zimmerman himself did not believe it was him on the tape  Serino stated Monday that he believed Zimmerman was simply reacting to the strangeness of hearing his own voice when he told Sanford police  that doesn t even sound like me  after listening to the call  The defense also called Adam Pollock  owner of a gym where Zimmerman sought training in martial arts for what Pollack said was just under a year  Pollock testified that when he first met Zimmerman  the 29 year old was a  physically soft  man who wanted to lose weight and do fight training  Pollock told the court that Zimmerman was ultimately successful only at shedding pounds  Pollock testified that Zimmerman never even learned how to punch correctly  During one dramatic moment  defense attorney Mark O Mara got on the ground and asked Pollock to physically demonstrate what it would look like if one fighter were on top of the other  pinning him with his weight  The image evoked the testimony of Zimmerman neighbor John Good  who testified during the first week of testimony that Martin had pinned Zimmerman in a  ground and pound  position before Zimmerman shot Martin  The prosecution has sought to portray Zimmerman as a law enforcement would be who followed Martin against the advice of a police dispatcher  believing the teenager was  up to no good  Pollock s testimony that Zimmerman failed to properly learn to punch after almost a year of martial arts training could bolster the defense s assertions that Zimmerman was outmatched by Martin and wouldn t have started a fight  or it could support the prosecution s argument that Zimmerman was an aspiring crime fighter who was out of control  Shortly after testimony concluded and the jury left the chamber  the judge ruled that the defense could introduce in court the fact that Martin had marijuana in his system the night he was killed  The defense is expected to conclude its case later this week  Note  George Zimmerman has sued NBC Universal for defamation  The company strongly denies the allegation  ,07/08/13 10:00 PM,drugs
MSNBC,http://www.msnbc.com/the-cycle/its-cool-be-liberal-again, The number of Americans who self identify as  liberal  has hit a high not seen for at least two decades  according to a new poll  A Gallup poll released Friday found that 23  of Americans describe themselves as liberal That s still way fewer than call themselves conservative or moderate 38 and 34  respectively  But it s the highest level since Gallup began asking in 1992   The changes in ideological identification among party groups has  sic  resulted in a rise in the percentage of Americans overall who call themselves liberal and a decrease in the percentage of moderates  Gallup s Jeffrey M  Jones wrote   Even though the percentage of conservatives has generally held steady  the rise in liberal identification leaves conservatives with their smallest advantage over liberals in the last two decades  The survey also found that the Democratic party has become more liberal  and the GOP more conservative perhaps no surpirse in this era polarization  Thirty four percent of Democrats call themselves liberal  up 5 percentage points since 2007  And a whopping 70  of Republicans idetify as conservative  up eight percentage points from 2000  Among independents  the share calling themselves conservative went up from 33  in 2012 to 35  now   These data confirm the tendency for Americans who identify with the two major parties to be more ideologically homogeneous than was the case in the past  a tendency that appears to be matched by the increasing polarization between Democratic and Republican members of Congress  Gallup s Jones wrote  Close video       Up With Steve Kornacki  1 5 14  10 28 AM ET       A sign liberalism in the Democratic Party is resurging       Beliefs that were recently pegged as  liberal    being for gay marriage  for marijuana legalization  and against the Iraq war   are now considered more    facebook twitter embed like save share group discuss  ,01/10/14 02:45 PM,drugs
MSNBC,http://www.msnbc.com/hardball/change-heart-medical-marijuana, There s some new hope for parents in Pennsylvania looking to treat their epileptic children  Governor Tom Corbett has changed his position on medicinal marijuana and is now backing legislation to legalize marijuana extract for the treatment of seizures in children  The governor s spokesman says the marijuana oil would be dispensed by research based hospitals and the legislation will tap medical professionals who are experienced in treating children with severe seizure disorders to administer the extract  Read more  The new faces of marijuana The Republican governor has been under pressure by parents of epileptic children in the state to change his stance on the marijuana oil  and Democrats challenging Gov  Corbett this fall support the legalization of medicinal marijuana  In March alone  Kentucky  Utah  Alabama  and Georgia have all passed legislation to allow the use of the marijuana oil  The North Carolina State Assembly will consider one bill to legalize all forms of medicinal marijuana and another focusing solely on the cannabis oil for the treatment of epilepsy when the assembly reconvenes on May 14  Gov  Corbett s plan now goes on to seek approval from the state Legislature  ,05/01/14 04:35 PM,drugs
