source,url,text,publish_date,category
MSNBC,http://www.msnbc.com/msnbc/rand-paul-cory-booker-reform-the-war-drugs, Condemning a war on drugs they call excessive  counterproductive and discriminatory  Sens  Rand Paul  R Kentucky  and Cory Booker  D New Jersey  are pushing a new bipartisan bill to reform criminal background checks and the juvenile justice system  The senators say their bill   the REDEEM Act   will cut the cost and stigma of non violent drug offenses by limiting how long criminal records stick to ex convicts  Under current law  ex convicts must answer employer questions about past convictions  That rule has major effects on the labor marker   even for low level offenses  a criminal record makes many job applicants far less employable  Studies show the impact increases unemployment and disproportionately hinders poor and minority communities  The senators  legislation aims to counter that trend by offering some non violent offenders a second chance  It would seal criminal records for teenage offenders  while adults could apply to have their records expunged  Judges would review those applications  under the proposal  by balancing an offender s interest in  employment  against the public s interest in  knowledge and safety  And when ex offenders win  they would get something pretty rare under federal law   a do over   The problem really of the war on drugs is taking a lot of people who make youthful mistakes and it s punishing them for a lifetime  Sen  Rand Paul on  The Cycle  The bill says that when a crime is expunged  it will simply  be treated as if it never occurred  Paul  who has backed several measures to limit punishment for non violent offenses  says that approach is crucial if the U S  wants to truly rehabilitate offenders and break the cycle of recidivism   The biggest impediment to civil rights and employment in our country is a criminal record  Paul told PBS   NewsHour  Tuesday   People can t get a job because they have to check off a box saying they re a felon  he said this week   I want people to work  There are certainly a range of rights and government benefits denied to ex offenders  including voting rights  government jobs and public assistance  The 1996 Welfare Reform Act  passed by a Republican Congress and signed by President Bill Clinton  denies public assistance to many ex offenders  The Paul Booker bill would reverse that policy for non violent offenders   It restores welfare benefits and food stamps for people who complete substance abuse treatment  Both senators also emphasize the racial disparities at play  Black and white Americans use pot at similar rates  but blacks are almost four times as likely to face arrest for pot  While 13  of the nation is black  black Americans comprise 45  of inmates serving time for drug offenses  Booker  the fourth black senator elected since Reconstruction ended in 1877  has spoken out about both the racial disparities at play and the overuse of harsh sentences for Americans who commit low level  non violent crimes   The majority of our criminals that we lock up are non violent offenders  he said in the  NewsHour  interview   we ve got to start figuring out ways to empower them to succeed  The legislation would also roll back two harsh practices in the treatment of minors It discourages states from trying some teenagers as adults  a practice that has increased even as the rates of violent crime by juveniles are at a 25 year low And it would provide the first national ban on solitary confinement for children   In the U S  solitary confinement has proven increasingly controversial Last year  a United Nations human rights expert concluded that the psychological damage caused by solitary confinement can amount to torture  Congress has been slow to act on most non emergency legislation this year  but aides to both senators say criminal justice is emerging as a rare area of bipartisan agreement  The Senate Judiciary Committee passed reforms to mandatory minimums on a bipartisan vote earlier this year   a change backed by President Obama and Attorney General Eric Holder   and this month the entire House of Representatives backed a bipartisan bill to ease banking access for marijuana sales that are legal at the state level  For more reporting on criminal justice  visit Ari Melber s MSNBC series on racial inequities in the law  Presumed Guilty  ,07/30/14 02:30 PM,marijuana
MSNBC,http://www.msnbc.com/msnbc/all-the-people-who-hate-the-war-drugs,   Activist Ethan Nadelmann is against the War on Drugs  but it s not just because he enjoys the occasional joint though he does   People will look at me and say   I know why you do this  It s because you like your marijuana  or those hallucinogens and what I have say to them is  There s a little truth to that  Nadelmann told the American Business Council Continuity Forum in a video released Monday   The fact of the matter is there are millions  tens of millions of people  all around the world  including me  who do like the occasional joint  or hallucinogens for vision questing  But Nadelmann  executive director of the Drug Policy Alliance  went on to explain that more kinds of people than just drug users oppose the  failed prohibitionist policies  that undergird the United States  40 year old War on Drugs  The coalition against that war includes people who hate drugs too  he said   We re the people who have seen the worst that drugs can do  Nadelmann said   We re the people who grew up cleaning up the puke of alcoholic parents  and worrying about our drug addicted kid  and having a sibling die of an overdose We are the ones who wish that we could have a drug free society wouldn t that be wonderful but who know that that is a mirage  Even people who don t really care about drugs can be opponents of the failed strategies that have hurt so many   You know what we care about  We care about the harms that the War on Drugs and its failed prohibitionist policy is doing in our homes  in our communities  in our society  in our country and around the world  he said  Nadelmann says the drug policy reform movement attracts Americans who  for example  think it s shameful their country has the highest incarceration rate in the world  largely thanks to draconian drug laws  And the movement attracts those who see the War on Drugs as racially biased  locking up African Americans  in a way that would make Apartheid South Africa seem like child s play  A recent report from the ACLU confirms that that African Americans have been disproportionately hit by the drug war  being four times more likely to get arrested for marijuana possession   even though black Americans and white Americans smoke the drug in equal amounts   This growing drug policy reform movement we re the people who love drugs  we re the people who hate drugs  we re the people who don t give a damn about drugs  But every one of us believes that the War on Drugs is not the way to deal with this reality in our society  ,11/18/13 10:00 PM,marijuana
MSNBC,http://www.msnbc.com/martin-bashir/unlike-his-father-rand-paul-just-says-no-t, Sen  Rand Paul  R Ky  entered politics with more than just his father s name to his credit  As an insurgent  Tea Party candidate for the U S  Senate in 2010  Paul also benefited considerably from the movement that former Rep  Ron Paul built during his run for the Republican presidential nomination two years before  The elder Paul s campaign failed in 2008  as it did in 2012  but he succeeded in establishing himself as a kind of libertarian folk hero  especially for certain young voters who thrilled to his calls for ending government intrusion in all its forms  from the Corporation for Public Broadcasting to the War on Drugs  Rand Paul followed the libertarian path blazed by his father all the way to the corridors of power on Capitol Hill  But now that he s made it to the Senate and perhaps contemplating his own designs on the White House Paul has to decide just how far his father s brand of libertarianism can take him  Sen  Paul demonstrated the sincerity of his libertarian convictions recently  when he made an observation about the absurdity of U S  drug laws  Look  the last two presidents could conceivably have been put in jail for their drug use  and I really think  you know  look what would have happened  it would have ruined their lives  They got lucky  but a lot of poor kids  particularly in the inner city  don t get lucky  They don t have good attorneys  and they go to jail for these things and I think it s a big mistake  Paul s comments  which came during an interview on Fox News Sunday  caused something of a stir  A close reading of them  however  shows that he is not willing to go as far as his father did in advocating for the repeal of laws that make the use or possession of drugs  such as marijuana  illegal  As he explained in the same interview   the main thing I ve said is not to legalize them  but not to incarcerate people for extended periods of time   To that end  Paul has teamed up with Sen  Pat Leahy  D Vt  the liberal chair of the Senate Judiciary Committee  to introduce the Justice Safety Valve Act of 2013  which would give judges greater flexibility in sentencing federal crimes where a mandatory minimum punishment might be considered too harsh  This is exactly the kind of  libertarian Republican approach  that Paul has said will bring more young people back into the GOP fold  But for fans of the more free wheeling libertarianism of his father  it might seem a little tepid  Paul senior attracted a large and devoted following of young people during his failed runs for the presidency  in part  because of his full throated embrace of legalization for all narcotics  not just cannabis but hard drugs like heroin and cocaine  Unlike the younger Paul  who opposes legalization and takes pains to point out that marijuana is  a bad thing to do  the elder Paul actually introduced legislation with arch liberal Barney Frank that would have repealed the federal ban on pot  After the last election  he even co wrote a letter with former Rep  Frank that called on the Obama administration to back off of enforcing the federal ban in Washington and Colorado  where voters have approved measures legalizing the recreational use of the drug  If Sen  Paul is really interested in being president some day  then he has probably decided to avoid some of the more extreme libertarian positions  as well as opposition to foreign wars  that made his father a fringe candidate in many GOP circles  But will his stance on reducing the harshness of penalties for drug offenses resonate with young voters  who rejected the Republicans  last presidential candidate by a margin of 24 percentage points  Guest host Karen Finney discussed Paul s efforts to win back the youth vote with political strategist Angela Rye  author Goldie Taylor and Republican strategist Hogan Gidley  You can watch their discussion here  ,03/27/13 08:48 AM,marijuana
MSNBC,http://www.msnbc.com/rachel-maddow-show/fridays-mini-report-95, A man runs as he carries a child who survived from what activists say was an airstrike by forces loyal to Syrian President Bashar al Assad  at al Ferdaws in Aleppo  Jan  21  2014  Photo by Ammar Abdullah Reuters Today s edition of quick hits      Syria   Secretary of State John Kerry said on Friday that President Obama had asked aides to develop new policy options to deal with the deteriorating situation in Syria      Vice President Biden delivered quite a message to House Democrats today   There isn t a Republican party  I wish there were  I wish there was a Republican party  I wish there was one person we could sit across the table from and make a deal and make the compromise and know when you got up from the table that the deal was done      Kansas   The Kansas Senate will not pass a bill in its current form that would prevent lawsuits against someone who refuses  for religious reasons  to provide services to gays and lesbians  the chamber s president said Friday      Immigration   President Obama predicted that Congress would pass an immigration reform bill before the end of his presidency in a Univision Radio interview airing Friday      Workers at the VW plant in Chattanooga are wrapping up their unionization vote tonight  The White House is backing the labor movement      Shocking images in Turkey   Turkish bloggers and journalists expressed outrage on social networks Thursday at images of a female television reporter who was knocked down by a direct blast of red liquid fired from a police water cannon during a protest in the capital  Anakara      Resilience Fund   President Obama will pitch a new  1 billion climate change resilience fund during a visit Friday to California  The fund  which would need to be approved by Congress  is intended to help communities dealing with negative weather that s the result of climate change      New rules for pot industry   The Obama administration issued new rules Friday intended to ease the concerns of banks wanting to deal with businesses that legally sell marijuana  something the nation s banks have so far declined to do      Solar   The Ivanpah solar power plant stretches over more than five square miles of the Mojave Desert  Almost 350 000 mirrors the size of garage doors tilt toward the sun with an ability to energize 140 000 homes  The plant  which took almost four years and thousands of workers assembling millions of parts to complete  officially opened on Thursday  the first electric generator of its kind  It could also be the last      Another setback for anti gay activists in Indiana   For anybody watching  it might not have seemed particularly eventful  but because of what did  not  happen during Thursday s convening of the Indiana Senate  the state will not face a ballot initiative to ban same sex marriage this year      Wisconsin   Democrats in the Wisconsin state legislature launched an effort to repeal the state s constitutional ban on marriage equality Thursday  as a legal challenge makes its way through the court system      There are some perspectives I will simply never understand   Peggy Noonan  of all people  thinks the country has become too infatuated with the  personality  and  charisma  of its presidents    Anything to add  Consider this an open thread    ,02/14/14 05:30 PM,marijuana
MSNBC,http://www.msnbc.com/msnbc/coloradans-light-obama-marijuana-lega, President Obama made history by turning Colorado blue for two consecutive presidential cycles  in a battleground state where he and GOP challenger Mitt Romney were locked in a tie heading into the election  The NBC News Election Desk projected President Obama as the winner of Colorado with 83  of precincts reporting  where he led Romney with 51  to 47  In 2008  Obama became the third Democrat to win over voters in the Centennial State since Harry S  Truman  The last time a Democrat carried the state prior to Obama was Bill Clinton during his first term  Obama held a sizable lead following the Democratic National Convention when he led Romney by five points  But  after the first debate at the University of Denver  even the president s most ardent supporters accused him of falling asleep at the wheel and allowing Romney to win the night  By the end of October  Obama s lead in the polls had diminished to a tie  Exit polls show that President Obama dominated with Latino voters  claiming 74  of the Latino vote  compared to Romney s 25  Romney was  however  able to make great bounds in closing the gender gap in Colorado  In September  polls placed Obama s lead with women voters in the state at 14 point advantage with 54  to Romney s 40  Romney made a strong comeback on the president s lead  exit polls put both candidates at a tie with women voters at 49  Voters in the Rocky Mountain state also passed  marijuana legalization on Election Day  Under Amendment 64  marijuana will be legalized  regulated and taxed in small quantities for adults over the age of 21  similar to alcohol regulation With 44  reporting  NBC News Election Desk projects the amendment s passage with 53  support  to 47  opposition  ,11/07/12 01:00 AM,marijuana
MSNBC,http://www.msnbc.com/martin-bashir/top-links-october-23,    Karl Rove has no right to complain about all these radicals ruining his nice Republican Party because he s the one who invited them   Jon Stewart Five year old child kills self with napping babysitter s gun  NBC News  Teacher found dead  14 year old student in custody  NBC News  AR 15 stolen from North Carolina congresswoman s unlocked garage  CBS Charlotte  White House official fired for tweeting under fake name since Feb  2011  Daily Beast  New poll  more than half of Americans think that marijuana usage should be made legal  Huffington Post  Maine Gov  Paul LePage claims 47  of able bodied Maine residents do not work  Washington Post  White House works to flip the narrative  the Affordable Care Act is not a website  Politico  House Energy and Commerce Committee Chairman Fred Upton will take testimony from Healthcare gov tech contractors Thursday  Politico  Gov  Rick Perry is in Israel  mark_miner  Rep  Darrell Issa pulls a BuzzFeed  makes cat listicle  Rep  Darrell Issa   ,10/23/13 11:08 AM,marijuana
MSNBC,http://www.msnbc.com/morning-joe-1, It s Election Day and voters are deciding a number of high profile races  In Virginia and Alabama  two races have become a referendum on the Tea Party  Boston and New York get new mayors for the first time in over a decade  And in Detroit a catchy jingle might just be the MVP  In Virginia once a red state stronghold  several state offices including the governorship may go blue  bucking the state s conservative trend for the first time in decades as Republicans face the liability of far right social views and the tea party  The latest poll shows Democrat Terry McAuliffe leading by six points over Republican Attorney General Ken Cuccinelli  At around 8 15 p m  NBC News characterized the Virginia governor s race as too close to call  Around the same time  Democrat Ralph Northam was projected the winner of the lieutenant governor s race  Cuccinelli s stance on abortion issues  the environment  and healthcare were hammered by the McAuliffe campaign  Women have particularly responded in McAuliffe s favor  While independents are split between the two candidates  women support the McAuliffe by 14 points  Democrats have aimed to turn the gubernatorial contest into a referendum on the Tea Party  which has enjoyed extremely poor approval ratings after the shutdown   You have to look at Chris Christie or Bob McDonnell Morning Joe host Joe Scarborough said on Tuesday s show   There are ways to win in these purple  blue states  but you ve got to make people think  I guess  you re focused on jobs first and not ideology  and I don t think Cuccinelli has done that  For his part  Cuccinelli attempted to capitalize on the tumultuous rollout of president s health care bill to rally conservatives in his favor  In hopes of avoiding the Tea Party limelight during the shutdown  he co headlined an event with Texas tea party darling Sen  Ted Cruz  but left before the freshman senator spoke and shunned the association Libertarian Robert Sarvis is also running in Virginia  with polls giving him 8  of the electorate   This election is going to say a lot about Virginia s future  and the country s future  Obama said while stumping for McAuliffe over the weekend  Virginia s own restrictive voter ID law won t go into effect until 2014  but they did recently purge voter rolls of 40 000 reportedly ineligible voters  and according to many registrars  hundreds of eligible voters with them  just weeks before the election  In a court challenge  Cuccinelli defended the move in his role as attorney general  Democrats alleged that the purge disproportionately targeted Democratic voters and asked the attorney general to recuse himself  Cuccinelli declined  Despite it  Virginia s secretary for the Virginia State Board of Elections Don Palmer told reporters that voting was going  pretty smoothly despite a software glitch that slowed down check in processes in roughly half of one county s polling stations   I m sure it s probably made the wait a little bit longer than it should be  he said  according to The Washington Post   In New Jersey incumbent Republican Gov  Chris Christie is expected to sail to an early victory this evening over his Democratic challenger Barbara Buono the latest polls show Christie enjoying a 33 point lead over the state senator  On Tuesday  Christie said the governorship is the last elected office he d seek in New Jersey   I don t know if I ll ever have another chance to vote for myself  he said  according to the Associated Press   I won t ever run for another office in New Jersey  I can guarantee that  This is it for me  The governor s no nonsense style and his recovery efforts following Hurricane Sandy prompted sky high approval ratings that haven t fallen much despite recent controversial vetoes  including one that attempted to scuttle gay marriage  Many expect Christie to run for president in 2016  One of Buono s chief criticisms of the governor was that his presidential aspirations are governing the state and pushing him farther toward the right on matters of gay marriage and gun control  the governor notably vetoed the ban on a  50 caliber rifle  despite backing the proposal months earlier  Less than a month after a federal shutdown that tanked Americans  views of their elected officials in Washington  just one congressional race will be decided on Tuesday  In Alabama s first congressional district  a Tea Party activist and establishment GOPer battle for the Republican nomination a race that effectively decides who will take the extremely conservative district s House seat   Attorney Bradley Byrne representing the center right  business aligned Republican party is up against Tea Party activist Dean Young  who just last week declared the president was born in Kenya  Byrne earned the financial support of a number of business and Washington GOP groups hoping to keep Tea Partiers at bay his race is likely the first in a long series of outright battles in the GOP s civil war   Hopefully we ll go into eight to 10 races and beat the snot out of them  former Rep  Steve LaTourette of Ohio told the National Journal of their plan to fend off Tea Party challengers with a new group  Defending Main Street   We re going to be very aggressive and we re going to get in their faces  The End Spending PAC  founded by TD Ameritrade founder Joe Ricketts that funded Ted Cruz in 2012 actually opted to support Byrne over Young  al com reported Monday  despite Young s promise to be a  Ted Cruz congressman   I wonder if the fever has broken  You look at what Joe Ricketts is doing  Scarborough said on Tuesday s Morning Joe  remarking that there may be a swell of support toward supporting more mainstream Republicans  He added that the Chamber of Commerce has also supported Byrne   Does the fever break tonight in Mobile  Alabama  Scarborough asked  Boston and New York will both choose new mayors for the first time in over a decade in New York  it s the first time in three elections billionaire Independent Michael Bloomberg isn t on the ballot  Voters rejected his de facto successor  City Council Speaker Christine Quinn  in favor of the uber liberal Bill de Blasio  a clear front runner in the contest against Republican Joe Lhota  whose controversial late in the game advertising push made some headlines  but did little to affect the polls  De Blasio voted around noon and kept campaigning throughout the day  posting a series of photos of New Yorkers who voted for him on Twitter  Peter just cast his ballot for Bill in Crown Heights  pic twitter com V5CPHLgwt9  Bill de Blasio  deBlasioNYC  November 5  2013   Boston s legendary Tom Menino will not seek re election for the first time in two decades  City Council John Connolly and State Representative Martin Walsh  both Democrats  are duking it out  Connolly pinned his campaign on education  while Walsh has tied himself to minorities and labor  In the latest polls  Walsh shows a slight lead  In bankrupt Detroit  one local businessman may ride a catchy jingle all the way to the mayor s office  Mike Duggan was kicked off the primary ballot over a residency issue  the former hospital executive used to live in the suburbs  but crafted an incredibly catchy jingle of the spelling of his name encouraging voters to write his name in on the ballot in August  Months later  he holds a strong lead over Wayne County Sheriff Benny Napoleon  Duggan would be the first white mayor in roughly 40 years  Online  Duggan pushed voters to turn out  Thank you  but Mike just wants to be  DetroitMayor  Says it is last job he ll hold  RT  SILASRAGE  MIKE DUGGAN FOR PRESIDENT  Mike Duggan  Duggan4Detroit  November 5  2013   Elsewhere  amendments and ballot initiatives will be decided in Washington State  the first labeling requirement for genetically modified ingredients would be the first of its kind in the country according to NBC News Residents in the Seattle suburb of SeaTac  home to the Seattle Tacoma International Airport  will also vote on an initiative to raise the minimum wage to  15 per hour and mandate paid sick leave for airport and hotel workers  And in Colorado  voters will weigh a 25  marijuana tax  Though many voting laws won t kick in till next year restrictive laws will kick in in several states a full year after the president promised Americans that  we re gonna fix that  In Texas  former Speaker of the House of Representatives Jim Wright  90  was nearly prevented from casting a vote today the first election Wright would have missed since 1944 when he realized his driver s license was expired and made multiple trips to government offices to procure the proper ID  which he was finally able to do on Monday  Married or divorced women whose names don t perfectly match the voter logs may also be prevented from voting  ,11/05/13 08:30 AM,marijuana
MSNBC,http://www.msnbc.com/the-ed-show/what-traditional-america-anyway, Here s another question  Who gets to define what Americans really value There is actual research on what Americans value  but we ll get to that in a moment  First  we need to talk about one of the people who wants to tell you what you think  what you should think  and what your fellow Americans think Fox News  personality  Bill O Reilly went on another rant Monday night about what a great country America used to be  He sang the praises of 1962 back in July  going on and on about how poverty was lower  tax rates were lower  everybody worked hard and   nobody complained  We had fun  We appreciated what we did have  O Reilly makes it clear he longs for 1962  By the way  that was three years before the Voting Rights Act was passed outlawing discriminatory voting practices that targeted African Americans  President John F  Kennedy had just launched a food stamp pilot program  We didn t have many people on welfare because  welfare  as it exists today in the form of Medicare  Medicaid  SNAP  TANF and Head Start  did not exist in Bill O Reilly s 1962  O Reilly was hoping this ode to 1962 would convince people to vote for Mitt Romney  This week  O Reilly again harkened back to the  good old days  only this time he took it a step further  He said we don t live in  traditional America  post election O Reilly blames  secular progressives  he calls the S P s for short O Reilly thinks Americans don t go to church regularly anymore He did not bother to mention synagogue or mosque or meeting  by the way He claims  creeping secularism  is hurting the religious vote  But O Reilly s criticism misses the mark on why Mitt Romney lost the election  specifically among Catholics  The 2012 American Values Survey is a non partisan survey conducted by the Public Religion Research Institute  The researchers surveyed 3 003 people about their religious views in September of this year  As we reported last month  the survey found more Catholics believe the Church should focus on helping the poor  even if it means focusing less on  right to life  issues  O Reilly  Romney and many Republicans focused on abortion during the campaign  but slipped up on poverty In February  Romney told CNN   I m not concerned about the very poor  There s a safety net there  and if it needs repair I ll fix it  I m not concerned about the very rich  they re doing just fine  I m concerned about the heart of America  the 95 percent of Americans who are right now struggling  That kind of talk goes in direct conflict with research that shows social justice issues were a key driver for the much discussed Latino vote that Republicans thought would go their way Tuesday night  The Pew Research Center shows Latino voting trends over the last three decades lean heavily Democrat  especially when it comes to addressing poverty  Catholic bishops will probably have to address the  traditional values  of their own American congregations when they meet in Baltimore this week  Fr  Thomas J  Reese asks in a piece published in the National Catholic Reporter if the church s current political strategy is working  Fr  Reese doesn t question Church doctrine  He merely asks if bishops are listening to their congregants Reese writes   simply aligning the church with Republican politicians  who promise to do something about abortion but then cut programs that help women  is a failed strategy  O Reilly says that Americans with  traditional values  go to church regularly  and oppose abortion and legalizing marijuana Who is he really talking about  What about Americans who disagree  There have to be patriotic Americans who don t go to church regularly  right There are patriots who might not like abortion or pot  but don t want to legislate it  Who speaks for all of America when it comes to what we value  Normally we look to the results of an election For some Republicans  the vote wasn t enough to explain what a majority of Americans want  ,11/14/12 01:53 PM,marijuana
MSNBC,http://www.msnbc.com/the-last-word/the-defenses-version-george-zimmerman, George Zimmerman s defense team sent a parade of witnesses to the stand Monday  seeking to paint a humanizing portrait of their client as someone who tutored children  struggled with his weight  and needed help learning how to tie a Windsor knot  Zimmerman has pleaded not guilty to charges of second degree murder in the shooting death of 17 year old Trayvon Martin  saying he was acting in self defense  Key to the case is whether the jury believes Martin was accosted by Zimmerman after being followed by him  or whether Zimmerman shot Martin after the teen attacked him  Most of the first full day of defense testimony focused on whether or not a voice heard screaming on the 911 call made by a witness to police belongs to Martin or Zimmerman  One by one  defense witnesses testified that the voice heard screaming for help on the call was Zimmerman  Among them were Mark and Sondra Osterman  who wrote a book defending Martin s killing as an act of self defense and said they are donating the proceeds to help pay for Zimmerman s legal defense  One witness  John Donnelly  who said he paid for suits for Zimmerman to wear in court and also donated to Zimmerman s legal defense  testified that as a former combat medic in Vietnam he could easily pick out the voice of someone he knew amongst chaos   There is absolutely no doubt in my mind that is George Zimmerman  and I wish to God in my mind I didn t have the ability to understand that  Donnelly told the court  Last week  Trayvon Martin s mother and brother testified that the voice on the tape belonged to Martin  It s unclear how important the identification of the voice on the tape will be  NBC legal analyst Lisa Bloom said Monday   I d be very surprised if after the verdict  the jury  said we decided based on what the friends of George Zimmerman said about the 911 call  The defense also called Sanford police detectives Chris Serino and Doris Singleton  Serino testified that Tracy Martin  Trayvon Martin s father  said  no  when he first heard the recording  a statement that Serino took as meaning that the voice screaming for help on the 911 call did not belong to his son  Singleton also testified that Tracy Martin said the voice on the tape did not sound like Trayvon Martin  Called to the stand later Monday afternoon  Tracy Martin disputed those accounts  testifying that he never told the detectives that the voice on the tape did not belong to Trayvon Martin  Pressed by prosecutor Bernie de la Rionda under cross examination  Serino acknowledged that Tracy Martin might have been uttering  no  in denial  while hearing the gunshot that ended his son s life  The prosecution has noted that Zimmerman himself did not believe it was him on the tape  Serino stated Monday that he believed Zimmerman was simply reacting to the strangeness of hearing his own voice when he told Sanford police  that doesn t even sound like me  after listening to the call  The defense also called Adam Pollock  owner of a gym where Zimmerman sought training in martial arts for what Pollack said was just under a year  Pollock testified that when he first met Zimmerman  the 29 year old was a  physically soft  man who wanted to lose weight and do fight training  Pollock told the court that Zimmerman was ultimately successful only at shedding pounds  Pollock testified that Zimmerman never even learned how to punch correctly  During one dramatic moment  defense attorney Mark O Mara got on the ground and asked Pollock to physically demonstrate what it would look like if one fighter were on top of the other  pinning him with his weight  The image evoked the testimony of Zimmerman neighbor John Good  who testified during the first week of testimony that Martin had pinned Zimmerman in a  ground and pound  position before Zimmerman shot Martin  The prosecution has sought to portray Zimmerman as a law enforcement would be who followed Martin against the advice of a police dispatcher  believing the teenager was  up to no good  Pollock s testimony that Zimmerman failed to properly learn to punch after almost a year of martial arts training could bolster the defense s assertions that Zimmerman was outmatched by Martin and wouldn t have started a fight  or it could support the prosecution s argument that Zimmerman was an aspiring crime fighter who was out of control  Shortly after testimony concluded and the jury left the chamber  the judge ruled that the defense could introduce in court the fact that Martin had marijuana in his system the night he was killed  The defense is expected to conclude its case later this week  Note  George Zimmerman has sued NBC Universal for defamation  The company strongly denies the allegation  ,07/08/13 10:00 PM,marijuana
MSNBC,http://www.msnbc.com/the-cycle/its-cool-be-liberal-again, The number of Americans who self identify as  liberal  has hit a high not seen for at least two decades  according to a new poll  A Gallup poll released Friday found that 23  of Americans describe themselves as liberal That s still way fewer than call themselves conservative or moderate 38 and 34  respectively  But it s the highest level since Gallup began asking in 1992   The changes in ideological identification among party groups has  sic  resulted in a rise in the percentage of Americans overall who call themselves liberal and a decrease in the percentage of moderates  Gallup s Jeffrey M  Jones wrote   Even though the percentage of conservatives has generally held steady  the rise in liberal identification leaves conservatives with their smallest advantage over liberals in the last two decades  The survey also found that the Democratic party has become more liberal  and the GOP more conservative perhaps no surpirse in this era polarization  Thirty four percent of Democrats call themselves liberal  up 5 percentage points since 2007  And a whopping 70  of Republicans idetify as conservative  up eight percentage points from 2000  Among independents  the share calling themselves conservative went up from 33  in 2012 to 35  now   These data confirm the tendency for Americans who identify with the two major parties to be more ideologically homogeneous than was the case in the past  a tendency that appears to be matched by the increasing polarization between Democratic and Republican members of Congress  Gallup s Jones wrote  Close video       Up With Steve Kornacki  1 5 14  10 28 AM ET       A sign liberalism in the Democratic Party is resurging       Beliefs that were recently pegged as  liberal    being for gay marriage  for marijuana legalization  and against the Iraq war   are now considered more    facebook twitter embed like save share group discuss  ,01/10/14 02:45 PM,marijuana
