source,url,text,publish_date,category
NPR,http://www.npr.org/blogs/goatsandsoda/2014/11/05/361814296/a-veteran-aids-activist-has-d-j-vu-from-ebola-panic?ft=3&f=,The panic over Ebola in the US gets a oneword comment from Gregg Gonsalves Crazy Actually he has a few more words than that to say In this weeks online New England Journal of Medicine Gonsalves coauthored an essay called Panic Paranoia and Public Health  The AIDS Epidemics Lessons for Ebola Gonsalves who is codirector of the Yale Global Health Justice Partnership at the Yale Law School and Yale School of Public Health has been an AIDS activist for nearly three decades beginning as a member of ACT UP the organization that fought for medical treatment legislation and research policies to address the HIV epidemic So he has a visceral reaction when he reads about a teacher resigning in Louisville rather than take a 21day leave of absence after returning from a mission trip to Kenya  where there are no reported Ebola cases or a 7yearold girl barred from her elementary school in Connecticut after returning from a family trip to Nigeria NPR talked with Gonsalves who himself is HIVpositive about comparisons between the panic over Ebola in the US and the panic and paranoia around AIDS in the 1980s What does this countrys reaction to Ebola have in common with the reaction to AIDS 30 years ago  Any of us who have lived through the 80s remember the hysteria and panic and paranoia against the highrisk groups the four Hs homosexuals Haitians hemophiliacs and heroin users Some states enacted quarantines Kids with HIV like Ryan White were forced out of school The New York Times thought it was OK to put William F Buckleys commentary on their oped page saying that everyone detected with AIDS should be tattooed Is there an equivalent to the four Hs as targeted groups regarding Ebola Well they dont all begin with H But there is panic around immigrants and children of immigrants around travelers and around health care workers Were health care workers who worked with AIDS patients also treated as pariahs Back in the old days of AIDS it was health care workers that braved the fear and paranoia to take care of my friends who were sick and dying Nurses like Kaci Hickox the Maine nurse who defied a quarantine after returning from caring for Ebola patients in West Africa are being targeted unfairly Now were saying were not going to let you target people who have cared for Ebola patients Health care workers stood up for us then during the early days of the AIDS epidemic and now we need to stand up for them In your paper you mention that during World War I 20000 women were quarantined behind barbed wire on suspicion of spreading syphilis and gonorrhea though many had neither disease AIDS also prompted unfounded fears and reactions Now Ebola It seems history has yet to learn from past mistakes The irrational and punitive measures deployed in the AIDS epidemic are revived for another disease The first time it happens its tragic The second time its farce We cannot let down our guard ACT UP and other AIDS activist organizations are getting involved in efforts to tamp down panic over Ebola Who would you like to see join them The scientific community and the medical community need to stand above the fray Politics has invaded science Weve had conference calls with the New York City health commissioner and half the people on the call were from ACT UP Its ACT UP veterans who dont want to see this play out again But if AIDS activists are the only ones doing this there arent enough of us This is a threat to the professions of public health and medicine Doctors nurses epidemiologists and everyone working in health have to take a more active role of citizenship Weve seen around the Affordable Care Act and abortion where issues of medical care and science have been distorted for political gain We cant be passive much longer In your NEJM commentary you and coauthor Peter Staley talk about similarities between the two What are the differences AIDS was a real epidemic in the US Now in the US we have four cases total and one death from Ebola Ebola in Africa is the real tragedy Its almost grotesque that Americans have been fixated on this nonexistent threat at home when thousands die in Africa The American public has turned a blind eye to the African Ebola epidemic Stopping it there is whats going to stop it from coming to our shores Our whole national discourse has been twisted into this narcissistic panic The disproportionate reactions are entirely selfish and based on personal mismeasure of risk Copyright 2014 NPR,20141106,abortion
NPR,http://www.npr.org/2014/11/04/361214063/the-republican-partys-remarkable-non-transformation?ft=3&f=,Sometime after the polls close Tuesday night well find out if Republicans managed a spectacular feat The party that lost the last two presidential elections is seeking a comeback adding control of the Senate to control of the House Republicans aim to dominate Congress with a fresh presidential election looming in 2016 It would be in one of the hackneyed phrases of journalism a remarkable transformation Its better described as a nontransformation The GOP has waged this campaign without altering a single one of the major political positions that supposedly doom the party to demographic oblivion Opposition to immigration reform was supposed to permanently lose the growing Latino vote Opposition to abortion rights and gay marriage was supposed to permanently lose the millennial generation Kneejerk opposition to President Obama was supposed to turn off moderate and minority voters Even opposition to Obamacare was expected to be a millstone for the GOP once its benefits became apparent The party has not really changed course Republicans who tried have been chastened So how has the GOP arrived at Election Day with an excellent chance to capture the Senate Partly its that the GOP benefits from quirks of the election system Many Senate seats up for grabs this year are in conservative states Heres how political analyst Amy Walter summarized the GOP approach Were going to win the Senate in red states  and we dont have to make some of these changes  like expanding the party to include minority voters reaching out to younger voters Something more is happening too Without really altering their positions Republicans updated the way they talk about hotbutton issues They seek to minimize their weaknesses before a changing electorate That has left Democrats struggling to highlight Republican vulnerabilities Doorstopping the Front Range Wanting to hear how individual voters are responding to Democratic and Republican appeals we knocked on doors in Colorado The Senate race there is very close Democratic Sen Mark Udall faces a challenge from Republican Cory Gardner currently a member of the House Colorado once a red state has turned purple We saw one reason why in Platteville tiny farm town population 2568 Like so much of the state this rural outpost has a growing Latino population Local resident Lucy Montoya told us that at the Spanishstyle Catholic church We have had such an influx of the Hispanic population that we went from having one English mass to then having a bilingual mass and now we have one mass in English and one mass in Spanish every week The areas Latino community includes Mexican restaurant owner Jose Lozano an immigrant from Mexico now a US citizen at age 38 Asked how he votes he said simply Im a Democrat and added that hes concerned about the Republican candidates past opposition to immigration reform Surely Colorado is also a swing state because of voters like Wayne Pulick We met him when we knocked on a door in Lakewood Colo and discovered a dinner party inside Five friends were sipping wine and enjoying takeout from Alameda Burrito a local place that they highly recommended even though it is attached to a gas station The dinner companions were mostly Democrats but not Pulick Im a registered Republican he told us I used to vote on the basis of who was the best for the job But then two terms of President George W Bush convinced me to be more extreme Like everyone at the table hes a vote for the Democrat Mark Udall this year Republican Repositioning In recent years the GOP did indeed seem too far right for Colorado In 2010 Democrat Michael Bennet won a Colorado Senate race painting the GOP nominee as far too conservative especially on womens reproductive rights One national Republican official told me his party lost Colorado in 2010 even though we had a gorilla on the scale  a national wave of unrest over the Great Recession In 2014 the nation is less discontented but the Republicans still have a thumb on the scale and they dont want to blow it again This time the GOP nominee is Cory Gardner a conservative member of the raucous House of Representatives who has made every effort not to seem excessively conservative or raucous Early in the campaign Gardner supported overthecounter contraceptives a way of advertising that he wasnt opposed to birth control He also disavowed his past support for a proposed personhood amendment to Colorados constitution which would require an embryo to be defined as a human being under the state criminal code with potential consequences for abortion in vitro fertilization and some forms of birth control Though Gardner has supported such measures at both the state and federal levels he publicly turned against such a measure on Colorados 2014 ballot One voter we met was exceedingly doubtful of the sincerity of Gardners reversal If he supported a personhood amendment in the past said Taylor Dybdahl of Lakewood he might do it in the future Hes saying that hes not supporting it now just to get elected Shes 21 a college student and a single woman  the kind of voter Democrats depend on But Gardners shift has clouded the issue When Democrats attacked him on womens rights  following a formula that worked in 2010  they provoked a backlash The Denver Post accused Udall of seeking to frighten voters and endorsed Gardner Most voters we interviewed if they were following the campaign at all were left with an impression of an ugly and negative contest National Trends The Republican operative contended Gardner is running a strong race simply because he hasnt said anything stupid Numerous past GOP candidates have been sunk by sharpedged remarks that prompted voters to focus on their views on social issues Gardner hasnt The Republican operative described Gardner as setting an example When other Senate candidates  Joni Ernst of Iowa or Tom Cotton of Arkansas  have been questioned on hotbutton issues we send them Gardners stuff Other Republican candidates are also minimizing their vulnerabilities In Kentucky Senate Republican Leader Mitch McConnell remains formally opposed to Obamacare  but knowing that Kentuckys health care exchange has met with much success he publicly declared the state exchange fine In New Hampshire a Republican House candidate Marilinda Garcia typifies the GOP approach to another hotbutton issue gay marriage Some issues she told us in September arent the battle anymore So I think that with time well just see a whole different set of issues In other words courts are rapidly deciding the issue in favor of gay marriage allowing Republicans to remain silent Republicans low profile may be working In Colorado gay marriage was legalized just a few weeks ago Yet when we asked voters about their major issues or concerns not a single one brought up the subject Decided Republicans Uncertain Democrats By minimizing their vulnerabilities Republicans have complicated Democratic efforts to fire up their core voters Democratic voters instead are thinking of President Obama whose popularity has sagged Samy Wahabrebi a Sudanese immigrant and US citizen we met in the Denver suburb of Aurora told us he voted for the president in 2008 but has been disappointed since I was expecting more he said In our Colorado interviews Republicans expressed fewer doubts In Lakewood Sue Berg 82 let us into her living room where she tended to a miniature greyhound while watching Fox News As we walked in television host Bill OReilly was denouncing Harry Reid the Senate Democratic leader A moment later as we began our interview Berg declared I think they should get rid of Reid Does this mean Republicans will win the Senate Not necessarily Democrats retain a powerful getoutthevote operation which gives them hope But if Republicans do prevail without really changing their positions there may be consequences Some Republicans with an eye on the presidential race in 2016 have been eager to reorient their party They want to significantly change GOP positions on issues like immigration The partys failure to keep up with trends in public opinion will be harder to minimize in the brighter light and larger electorate of a presidential year They could try for change after Tuesdays election But that will be hard Most Republicans in Congress will have been elected without really calling for a new course Copyright 2014 NPR,20141104,abortion
NPR,http://www.npr.org/blogs/itsallpolitics/2014/11/01/360462455/in-texas-a-down-ballot-race-with-big-consequences?ft=3&f=,Texas politics is about to take another big step to the right While nobody outside Texas would describe Gov Rick Perry or Lt Gov David Dewhurst as moderate Republicans their likely replacements are considerably more conservative  especially in the powerful lieutenant governors office The eyes watching Texas have mostly focused on the governors race between Wendy Davis and Greg Abbott But the contest between former conservative radio talk show host Dan Patrick and state Sen Leticia Van de Putte from San Antonio will very likely be of more political consequence Texas has whats known as a weak governor system which Rick Perry overcame only because of his historically long occupation of the chair But the lieutenant governor is president of the Texas Senate and Republican Dan Patrick will lead an unprecedentedly conservative Senate which is mirrored by an equally conservative Texas House As a former conservative shock jock Patricks politics fit that vein He wants to teach creationism in public schools end popular election of US senators and outlaw abortion including cases of rape But whats got establishment Republicans particularly concerned is Patricks plan to do away with the states property taxes Texas already doesnt have income taxes That means property taxes and sales taxes are high to compensate If Texas were to stop collecting property taxes too the states school system  and indeed many elements of local government  would have to be drastically cut back while sales tax would soar The regressive consequence could be similar to what has happened in Kansas under the leadership of Republican Gov Sam Brownback But Texas is not Kansas If it were a sovereign nation it would have the 14thlargest economy in the world For decades the conservative Dallas Morning News editorial board has been the voice of the states Republican business establishment It tends to endorse a Democrat only when it feels the GOP candidate is refusing to serve the states business interests And in the lieutenant governors race the News endorsed Van de Putte Patricks opponent In its endorsement editorial the News said of Patrick Some of his ideas are singularly disruptive Taken together they could destabilize state government the enemy of sound business practices The News called a vote for Patrick reckless and described Patricks primary MO for governing Texas as fear and division Compared with some of the other more liberal newspapers descriptions of Patricks politics the News editorial language was toned down Be that as it may the latest poll has him leading Van de Putte by 17 percentage points Its very likely Dan Patrick is Texas future And that is expected to intensify the ongoing power struggle between Tea Party Republicans like Patrick and the states business elite But in Texas after this election the Tea Party wing may well have the votes Still dont count out the states millionaires and billionaires of whom there are many It is apt to become a test case of conservative politics  big moneys selfinterest vs grassroots rightwing ideology Texas style Copyright 2014 NPR,20141103,abortion
NPR,http://www.npr.org/blogs/thetwo-way/2014/10/28/359564982/pope-says-god-not-a-magician-with-a-magic-wand?ft=3&f=,In a move that could be aimed at healing a rift between science and religion Pope Francis has said that evolution and the Big Bang are consistent with the notion of a creator And according to the pontiff believers should not view God as a magician with a magic wand Francis made the remarks at an assembly of the Pontifical Academy of Sciences billed as meeting to discuss Evolving Concepts of Nature When we read about Creation in Genesis we run the risk of imagining God was a magician with a magic wand able to do everything But that is not so Francis told the gathering where he also dedicated a statue of his predecessor Benedict XVI God Francis said created human beings and let them develop according to the internal laws that he gave to each one so they would reach their fulfillment To be sure the Catholic Churchs views on the origins of the universe and life unlike those of many Protestant sects have for years been largely in line with the scientific consensus The church has long leaned toward what some describe as theistic evolution ie a God supernaturally created the universe and life but allowed natural processes to work over billions of years In 1950 Pope Pius XII proclaimed that evolution was not at odds with Catholic teachings and Pope John Paul II endorsed the view himself in 1996 However Pope Benedict hinted at accommodating intelligent design a form of creationism that has become popular in many religious circles in recent decades As an aside a recent Chapman University survey showed that more Americans believe in the lost civilization of Atlantis and that UFOs are probably spaceships than in evolution and that as many people believed in Bigfoot as in the Big Bang The Associated Press notes Francis has gone out of his way to embrace Benedict even as he steers the church on a vastly different course than that charted by the German theologian Francis remarks are in keeping with a more open view he has taken to church matters and the intersection between the spiritual and secular worlds since becoming pope last year He has downplayed the importance of such hotbutton issues as abortion contraception and gay marriage denounced the cult of money and even said that atheists can be redeemed But earlier this month a group of bishops meeting at the Vatican showed that the church as a whole remains deeply divided on many of those issues Copyright 2014 NPR,20141028,abortion
NPR,http://www.npr.org/2014/10/22/357861427/the-2014-campaign-ads-that-you-just-cant-stop-replaying?ft=3&f=,What is it that can make a certain cat video go crazy on the Internet That mysterious quality that certain je ne sais quoi  whatever it is  thats exactly what the candidates including one Iowa Republican campaigning for Senate have tried to harness this year If youre living in one of the few states that could determine which party controls the Senate next year chances are youve been barraged for months with campaign ads  online on air and in the mail In the blur some of these commercials  for better or worse  might still be ringing in your head Heres a roundup of some of the best and worst campaign ads of 2014 The first comes from Iowa Senate candidate Joni Ernst who introduces herself in this ad saying Im Joni Ernst I grew up castrating hogs on an Iowa farm She continues So when I get to Washington Ill know how to cut pork Cue the pig squeal You want to stop thinking about it talking about it but you cant Thats gold in the campaign world But does that make it the best ad of 2014 Erika Franklin Fowler of the Wesleyan Media Project says actual effectiveness is harder to nail down Its actually a harder job than you might think to define the best and the worst I think its easier to define the ones that stick out she says OK so lets revisit the ads that stuck out for whatever reason  some of them simply by virtue of relentless repetition Like this one from Tea Party Patriots an outside group that blamed Democrat Mary Landrieu of Louisiana for the Affordable Care Act In it the narrator says Mary Landrieu cast the deciding vote to make you live under Obamacare Or wait Maybe it was   Kay Hagan cast the deciding vote to make you live under Obamacare No no no This is the guy to blame Mark Pryor cast the deciding vote to make you live under Obamacare And then there were the ads that were memorable for making a great splash only to see the candidate drag in the polls later Heres Terri Lynn Land the Republican candidate for Senate in Michigan In this ad she says Congressman Gary Peters and his buddies want you to believe Im waging a war on women Really Think about that for a moment   She takes a sip of coffee and spends twothirds of the commercial saying  nothing The idea was how could a woman wage a war on women But Democrats thought of a few answers for that and have been hammering her on her stance on pay equity and abortion rights ever since There were also negative ads Media analysts tally more from Democrats than Republicans this year the possible reason being its harder to change peoples minds about President Obama than it is to discredit a challenger But some of these ads memorably backfired In Alaska Democrat Mark Begich suggested his opponent Dan Sullivan let a dangerous felon loose when he was state attorney general He says I was on the Anchorage police force for 20 years  He let a lot of sex offenders get off with life sentences One of them got out of prison is now charged with breaking into that apartment building murdering a senior couple and sexually assaulting their 2yearold granddaughter Problem was its unclear whether Sullivan ever handled the case and the victims family was so offended the campaign yanked the ad But there were some positive ads too Senate Minority Leader Mitch McConnell had Noelle Hunter tell this story of how her exhusband kidnapped their daughter and ran off to Africa She says I reached out to Sen McConnell and he took up my cause personally I cant even talk about him without getting emotional He cares He cared about me and my children when other people didnt The spot ran for a full minute thats forever in TV time But with the control of the Senate at stake money no longer seems to be an object Copyright 2014 NPR,20141029,abortion
NPR,http://www.npr.org/blogs/goatsandsoda/2014/10/22/357870757/surrogacy-storm-in-thailand-a-rejected-baby-a-busy-babymaker?ft=3&f=,Baby Gammy might mean the end of Thailands lucrative surrogacy business Hes the child who was carried by a surrogate mom in Thailand and rejected by the Australian couple who had agreed to pay the mother 12000 The reason Prenatal testing showed that the baby a twin had Down syndrome Thailand is one of only a few countries that allows foreigners to hire locals to serve as surrogates The money flows to the clinics that work with foreign couples and the women who carry the babies Of course I did it for money says Pattaramon Janbua who lives in a tworoom shack in the seaside city of Sriracha which gave the hot sauce its name Our family is poor and I wanted  to take better care of my other children Theres nothing wrong with being a surrogate mother she says youre helping someone Gammy is now 9 months old He is alert and seems to like strangers Pattaramon says the Australian couple told her to abort Gammy but she refused I was so sad and angry she says I said This is your baby why dont you want to keep it You abandon him while hes still in the womb But their translator told me they couldnt afford to take care of him The Australian couple did take the other twin a girl who did not have Down syndrome Without him says Mariam Kukunashvili cofounder of Global Life IVF Clinics and Surrogacy Centers business would still be booming Her clinic has branches in nine countries including Thailand She had nothing to do with the baby Gammy case but her business has suffered Gammys story stirred up a lot of interest in the unregulated surrogacy business Then another story surfaced about a Japanese man in his 20s who has reportedly fathered more than a dozen babies born to surrogate mothers in Thailand  two of them with women from Kukunashvilis agency Its very hard to say what was his intention Kukunashvili says When our representative asked him he said he wanted babies to win elections I assumed this was a joke Then we asked again and his answer was more philosophical Its the best thing in the world to make as many babies as possible he said and leave as many as possible after his death The Baby Gammy case and that of the Japanese man have proved embarrassing for Thailand a country with an image already dented by a military coup in May The military is drafting a law that will effectively end commercial surrogacy But outlawing commercial surrogacy will create some losers too Taksaporn Toosaranon 28 also delivered twins for an Australian couple Her experience was vastly different from that of Gammys mom She proudly displays a video on her phone of the babies Taksaporn says shes in touch with the parents a couple of times a week either by phone or videos She was paid 13000  it goes a long way here  and would consider doing it again if surrogacy remains legal She doesnt believe commercial surrogacy should be banned If they try to stop this business she says itll just go underground Itll be just like getting an illegal abortion And that will make it more dangerous Shes not the only one who feels that way Even Baby Gammys mother agrees though she wants the law to be changed to ensure what happened to her doesnt happen to others But in the end she says things worked out An Australian charity has raised several hundred thousand dollars to help care for Gammy Shes grateful for that  and for Gammy Though every time she sees him she thinks of his twin sister and starts to cry Copyright 2014 NPR,20141022,abortion
NPR,http://www.npr.org/2014/10/20/357628381/a-tight-race-emerges-to-fill-seat-left-by-iowas-sen-harkin?ft=3&f=,Theres a woman running in the tight race for the Senate in Iowa  one of the contests that will decide who controls the Senate next year In the 21st century a female candidate for Senate may not sound historic But in Iowa it is The state shares a rare distinction with Mississippi It has never elected a woman to the Senate to the House or to be governor Republican state Sen Joni Ernst is trying to change that in her race against Democratic US Rep Bruce Braley  a race in which the role of female voters is central The gender gap has been around for decades Republicans typically do well with men Democrats with women And among women who vote those who are not married are still more likely to vote for Democrats Young singles divorcees and widows are all prime Democratic constituencies Democrats say they appeal to women on both economic and social grounds Women they say would benefit more from a higher minimum wage and other pocketbook issues And they say women are concerned about reproductive rights Democrats accuse Republicans of waging a war on women Professor Rachel Paine Caufield a political scientist at Drake University in Des Moines says Republicans have been responding to that charge and gaining ground Theyve identified this problem And they know that need to appeal to women  Part of that is fielding more women candidates Part of that is reframing some of their messages to women voters she says In Iowa polls show Braley running as many as 14 points ahead of Ernst among women But hes trailing Ernst by even more than that margin among men So the Democrats need women to turn out and vote The week before last Braley got a visit from a very high profile Democratic woman Michelle Obama For a candidate who is said to have a tough time introducing himself to Iowa voters it didnt help that the first lady several times got his name wrong You can request a ballot by mail right here at this event or you can go to vote dot Bruce Bailey dot com Thats vote dot Bruce Bailey dot com Or even better you can  she started eliciting shouts from the audience Braley What did I say Im losing it Im getting old Ernst whos an officer in the Iowa Army National Guard presents herself as a mother soldier leader She has made a strong introduction with the voters largely through her commercials In an ad titled Squeal she narrates My parents taught us to live within our means Its time to force Washington to do the same She also invokes the common experience she shared with other Iowa farm kids castrating hogs Shell come to Washington and cut pork Lets make em squeal the ad ends Then came a commercial showing Ernst riding a motorcycle to a shooting range and firing a pistol she carries in her purse Joni Ernst will take aim at wasteful spending and once she sets her sights on Obamacare Jonis gonna unload the narrator says Drakes Caufield says those images are relaying a central message Im from a mans world This is something particularly in a time in foreign policy women candidates tend to have a harder time appealing to voters on foreign policy issues says Caufield I dont think Joni Ernst has had any problem on that I dont think theres any question that she has presented herself to voters as someone who is tough and capable and willing to fight every bit as hard as any male would be How is it playing with women Last week we invited six Iowa women from across the political spectrum to watch the third and final BraleyErnst televised debate with us In that debate there was much talk about the Personhood Amendment to the Iowa Constitution that Ernst sponsored as a state senator Would declaring a fertilized egg to be a person ban all abortions some contraceptives and in vitro fertilization Braley cited the concerns of OBGYNs that it would do all those things Ernst said shes prolife She could support abortion to save the life of a mother She said she supports access to contraception and she has no objection to in vitro which entails disposing of excess fertilized eggs In the debate Ernst also spoke of going to Washington to fix a dysfunctional government Braley said that all of her solutions scrap things the Department of Education federal student loans the Environmental Protection Agency the federal minimum wage When each was asked to say something admirable about the other Braley said this about Ernst who was deployed in the Iraq War Well I admire the fact that Sen Ernst has served our nation and our state and the Iowa National Guard I think its a terrific attribute My father was a Word War II combat veteran and I have great respect for Sen Ernst for serving our country Ernsts answer And I think Congressman Braley is a great father The reaction from our group Oh God Most found that line to be condescending It turned out that our six viewers all thought Braley did better Loretta Sieman  a former Des Moines councilwoman and registered Republican  sounded disappointed that she couldnt be enthusiastic about the female candidate Ernst struck her as too negative At the end he just talked about what he was going to do She talked about what he didnt do And that drives me crazy she said As a woman we know that we have never had a woman from Iowa so were supposed to be involved for that As a past councilperson I want the right person and I dont care if they wear a skirt or pants Brittany Gaura a sophomore at Iowa State is a Young Republican she hopes to be a veterinarian I asked about the importance of electing a woman to the Senate To me its important to have a woman I think in the Senate and from Iowa I think a lot of women in Iowa have a lot to bring to the table  but its not important to me right now if shes not the right woman Her fellow conservative in the group businesswoman Karen Novak agreed Im looking at whos the most qualified individual I dont care if they wear pants or a skirt it makes no difference I would absolutely love to get a woman in office but only if shes the right one and she has the right qualifications she said Those two Iowa women had described themselves as leaning toward Ernst before the debate Afterward they were leaning a little less in that direction The same was true for Angela Ten Clay who works at an ad agency Braley was very articulate and answered things really well and gave more meat and depth to his conversation And whether I agreed with it or not when someone is concise and clear and strong in what they believe thats really what I look for That they stand up for something and they back it and they dont change their opinion she says I asked our group of Iowa women what they made of the references in the debate to motherhood Ernst describes herself as a mother first We had two decided Braley voters in the group Pat Schneider said Ernsts description of herself didnt impress her When she talks about shes a mother shes a soldier  its like OK but that could be anybody I mean that to me doesnt qualify you to run for Congress Although I do think if we had more women in Congress I think we could probably get a lot more done because women are used to compromising and working together I mean we have to do it every day with our kids our workforce she said In that respect it would be great but I dont think Joni Ernst is the right woman Nicole Peckumn who also supports Braley is not a mother And as she said female voters are a more mixed lot than just moms To me its really about the quality of the candidate and not necessarily about gender Do I want to still be tied with Mississippi for not having a woman go to DC Absolutely no and I think that this will be the year that either in the congressional or Senate race well do it Peckumn said Being a mother is wonderful but there are a lot of people in our society who have opted to not have that be a part of their plan So I think when youre talking about the big scope of America you have to also look at people who are not like you Someday I want to be a mom  But it doesnt really generate a big emotional connection with me or some of my friends who are moms Heres something that all six women agreed on And both Senate candidates in the debate said they agreed on And both state party chairmen whom I interviewed last week in Des Moines said they agreed on Everyone hates the nonstop bumpertobumper airing of campaign commercials typically bashing one candidate or the other Commercials from campaigns national party committees outside groups The revulsion is as universal as it is apparently ineffectual As in many states early voting is well underway Iowa so every day is Election Day And as soon as last weeks televised debate ended the commercials resumed Copyright 2014 NPR,20141020,abortion
NPR,http://www.npr.org/2014/10/20/357440359/turf-shifts-in-culture-wars-as-support-for-gay-marriage-rises?ft=3&f=,When social norms change sometimes they change so fast its hard to keep up Only 10 years ago ballot initiatives opposing gay marriage were helping Republicans win elections But two weeks ago when the Supreme Court effectively cleared the way for legal samesex marriage the response from Republican leaders was deafening silence They were so quiet some wondered whether the culture wars had finally ended with a Republican defeat Gary Bauer a longtime social conservative activist thinks thats nonsense The idea that the culture wars are over is absurd he says A war over the culture and the meaning of American liberty will continue to be a major factor in the American public debate Other social conservative leaders agree with Bauer Former presidential candidate Mike Huckabee said if the Republicans dont fight against gay marriage hell become an independent Sen Ted Cruz promised to introduce a constitutional amendment allowing states to ban gay marriage But those views are in the minority While polls show opinion on some social issues like abortion are relatively stable public opinion on gay marriage has changed  and changed fast A majority of Americans now accept gay marriage says Peter Levine a political scientist at Tufts University He calls that a profound generational change In the long run everyones going to be for gay marriage he says but in the short term Republicans have a problem which translates into a problem of perceived intolerance Conservative views on social issues including gay marriage are often called the third leg of the Republican stool alongside small government and strong defense So the party will have to adapt without alienating an important part of its voting coalition says Ari Fleischer who was a press secretary in the Bush White House For Republicans the challenge is if they take the issue uniquely as gay marriage headon many Republicans arent going to want to change who are older voters Fleischer says Younger Republicans are willing to change on that issue  they already have changed The problem for the GOP is that right now there arent enough young Republicans Young people vote overwhelmingly for Democrats in national elections and social issues are one of the main reasons Kirsten Kukowski is the press secretary for the Republican National Committee which is trying to help Republican candidates bridge the gap between the partys base and changing public attitudes For a long time we came across as maybe not as sensitive and not as compassionate on these issues she says And I think a couple of years ago  right after the 2010 presidential election  for people in the RNC specifically our strategists a lot of our pollsters and a lot of the people around us in these campaigns we sat down at the table and said How do we change how we talk to voters  Republicans are already changing This year most Republican candidates in tight races barely mention social issues on the stump Others have moved to the center disavowing their previous support for personhood amendments which would give constitutional rights to embryos A handful of Republican Senate candidates have joined Planned Parenthood in supporting the idea of overthecounter birth control In addition to RNC operatives conservative intellectuals are also grappling with this problem Theres a group of us who are basically conservative but think that mainstream conservatism needs to rethink some of its strategic approaches and policy emphases says Henry Olsen of the Ethics  Public Policy Center And weve been called reformicons and were fine with that Olsen and his fellow reformicons say social issues like gay marriage have to be navigated carefully  very carefully No Republican candidate can be nominated that openly supports samesex marriage That doesnt mean that you need to talk about it in a way that implies disapproval or condemnation of gay and lesbian people It certainly does not mean that you have to deny certain sorts of federal benefits that presumably could be extended to people without the formal extension of marriage he says That sort of thing is the rhetoric of compassion and inclusion that a Republican candidate to win the presidency ought to pursue Gay marriage is where opinion is changing the fastest but the public is also evolving on other issues like immigration and climate change The RNCs Kirsten Kukowski says the party will debate all of this in the 2016 primary campaign Were going to have a very interesting conversation in the next couple of months she says And having been here through the last presidential election and then through the midterms this is going to be a very important conversation for Americans to have and for us to have as a party Its clear where the public is going on issues like gay marriage  but not so clear where the Republican Party will end up Copyright 2014 NPR,20141021,abortion
NPR,http://www.npr.org/blogs/thetwo-way/2014/10/15/356265077/supreme-court-blocks-abortion-rules-that-closed-most-texas-clinics?ft=3&f=,The Supreme Court has placed a hold on a 2013 Texas law that was threatening to close most of the states clinics that perform abortionsNPRs Nina Totenberg reports that the law was already responsible for the closing of nearly 40 clinics across Texas Nina filed this report for our Newscast unitIn August a federal judge in Texas struck down key provisions of the law Specifically it struck down provisions that required abortionproviding clinics to spend millions of dollars to upgrade clinic facilities to the level of hospitals and provisions that required doctors performing clinic abortions to have admitting privileges at nearby hospitalsOn Oct 2 a federal appeals court based in Texas blocked the lower court ruling from going into effect sending clinic operators to the US Supreme Court to try to keep their clinics openOn Tuesday night the Supreme Court by a vote of 6 to 3 temporarily heeded the pleas of clinic operators The federal appeals court still must render a decision on the constitutionality of the Texas law and that ruling will likely then be appealed to the Supreme CourtAs The New York Times reports state lawmakers have argued that the law is intended to protect women but abortion providers said the regulations were expensive unnecessary and a ruse meant to put many of them out of businessNPRs John Burnett told our Newscast unitUnder the law the high court blocked only abortion facilities in major urban areas could afford to remain open those along the TexasMexico border have all shut down Copyright 2014 NPR,20141020,abortion
NPR,http://www.npr.org/blogs/thetwo-way/2014/10/14/356234242/high-court-places-hold-on-texas-law-that-wouldve-closed-most-abortion-clinics?ft=3&f=,The Supreme Court has placed a hold on a 2013 Texas law that was threatening to close most of the states clinics that perform abortionsNPRs Nina Totenberg reports that the law was already responsible for the closing of nearly 40 clinics across Texas Nina filed this report for our Newscast unitIn August a federal judge in Texas struck down key provisions of the law Specifically it struck down provisions that required abortionproviding clinics to spend millions of dollars to upgrade clinic facilities to the level of hospitals and provisions that required doctors performing clinic abortions to have admitting privileges at nearby hospitalsOn Oct 2 a federal appeals court based in Texas blocked the lower court ruling from going into effect sending clinic operators to the US Supreme Court to try to keep their clinics openOn Tuesday night the Supreme Court by a vote of 6 to 3 temporarily heeded the pleas of clinic operators The federal appeals court still must render a decision on the constitutionality of the Texas law and that ruling will likely then be appealed to the Supreme CourtAs The New York Times reports state lawmakers have argued the law is intended to protect women but abortion providers said the regulations were expensive unnecessary and a ruse meant to put many of them out of business Copyright 2014 NPR,20141016,abortion
