source,url,text,publish_date,category
NPR,http://www.npr.org/blogs/allsongs/2014/07/18/332268326/vikings-choice-sleep-the-clarity?ft=3&f=,Its been 20 years since the stonermetal caravan Sleep wrote Dopesmoker a 63minute track based on a single riff and dedicated to the mighty spliff Unfortunately it took three labels and a span of 16 years to release it as intended So lets just follow the smoke and meditate on this premiere of The Clarity part of Adult Swims singles series which has already featured new music from the likes of Speedy Ortiz and Tim Hecker with Run the Jewels Deafheaven and more in the pipeline It will be available as a free download on July 21 The Clarity doesnt miss a step It captures Sleep at its heaviest and weediest and despite the puff of smoke that pervades these 10 minutes its the bands cleanestsounding recording Bassist Al Cisneros vocals are way out front as he intones Life complete  The dealer is my refuge Matt Pikes guitar has somehow taken on an even headier tone with a riff that burrows into your chest and opens your consciousness Since its reunion at ATP London in 2009 Sleep has been active on the live circuit here and there with Neurosis Jason Roeder taking over the drums But now Sleep is a fullon band again and its members say that The Clarity has inspired a new fulllength album That said as the band emails in a brief interview exchange answers are from Sleep it writes It would be impossible to describe any new material from Sleep that does not yet exist Reunion shows arent uncommon these days often welcome to those of us who missed an artist the first time around New recordings are a different story After the legal nightmare that was Dopesmoker did you ever think Sleep would record again No What inspired and encouraged The Clarity nearly 20 years after Dopesmoker was originally written Were you approached by Adult Swim first or was the song gestating before Sleep has been sporadically writing riffs for a while now When Adult Swim approached Sleep about a single Sleep set aside those riffs and wrote the single in a couple days The Clarity is an exercise in musical stream of thought as all proper music should be I hear theres a new album in the works When do you think that will come out and where With the experience of postSleep bands High on Fire Om Shrinebuilder and Jason Roeder Neurosis what does a new Sleep album sound like It would be impossible to describe any new material from Sleep that does not yet exist There is no preconceived idea of what the new material should be It would be an amalgamated effort of decades of riff immersion I couldnt help but notice the Sinsemillian reference in this new song Is The Clarity a lyrical followup to Dopesmoker The Clarity is a lyrical followup to a lifetime of marijuana enjoyment Copyright 2014 NPR,"Wed, 29 Oct 2014 12:19:00 -0400",drugs
NPR,http://www.npr.org/2014/07/09/329587949/states-push-for-prison-sentence-reform-and-prosecutors-push-back?ft=3&f=,Some red states like Louisiana and Texas have emerged as leaders in a new movement to divert offenders from prisons and into drug treatment work release and other incarceration alternatives By most counts Louisiana has the highest incarceration rate in the country In recent years sentencing reformers in the capital Baton Rouge have loosened some mandatory minimum sentences and have made parole slightly easier for offenders to get But as reformers in Louisiana push for change theyre also running into stiffening resistance  especially from local prosecutors Its all happening as the number of Americans behind bars has started to decline There are multiple reasons for that including crime rates that have been dropping since the 1990s as well as the impact of the Supreme Courts 2011 requirement that toughoncrime California reduce its prison population And theres another factor a growing bipartisan consensus for sentencing reform Local politicians are getting political cover for those efforts from conservative groups like Right on Crime It is a growing consensus on the right that this is the direction we want to be going says Kevin Kane of the libertarianleaning Pelican Institute for Public Policy in Louisiana Most people will point to Well its saving money and thats all conservatives care about But I think it goes beyond that Kane says libertarians are interested in limiting the governments power to lock people away while the religious right likes the idea of giving people a shot at redemption  especially when it comes to nonviolent drug offenders Still not everyone is embracing these ideas In some places theres been considerable pushback  especially when the idea of eliminating prison time for drug offenders arises Pushback In Louisiana In Lafayette La the sheriffs department has reinvented its approach to drug offenders Marie Collins a counselor by trade runs the departments treatment programs She estimates at least 80 percent of the people in the parish jail got there because of substance abuse The concept of Lets lock them up and throw away the key does nothing for society and does nothing for us because you havent taught them anything she says So theres counseling offered inside this jail The sheriffs staff is also constantly scanning the jails population for nonviolent inmates it can release early into the appropriate programs on the outside One option is the Acadiana Recovery Center right next door a treatment program run by Collins and the sheriffs department  though the staffers play down their connection to law enforcement In fact you can seek treatment there even if youve never been arrested If we can be proactive and provide the treatment before they get to jail itll actually cost us less money Collins says Arguments like that are making headway at the state level But reformers in Baton Rouge are also experiencing pushback By most counts the state has the highest incarceration rate in the country and theres a traditional preference for long sentences The states prison population is also hard for lawmakers to ignore Under guard and dressed in gray jumpsuits marked offender inmates work at the capitol building emptying wastebaskets and serving food in the cafeteria Liz Mangham a lobbyist has represented the conservative sentencing reformers in Baton Rouge While theyve made progress she says they appeared to cross a red line this spring with a bill to step down Louisianas stiff penalties for possession of marijuana Under current law possession is a felony on the second offense A third may get you as much as 20 years in prison Mangham recalls the scene when the bill came up for a crucial hearing The Judiciary Committee room was full The anteroom across the hall which is twice the size was full and the halls were full  of district attorneys and sheriffs coming down to oppose the bill she says The bill died on the spot In Louisiana and other parts of the South district attorneys and sheriffs  who Mangham calls the courthouse crowd  have a lot of political clout at the state level She says its understandable why most sheriffs opposed the bill because they house state prisoners in parish jails and every prisoner represents a payment from the state So when youre making money to warehouse prisoners why on earth would you be in favor of sentencing reform Mangham says But the district attorneys opposition is more complex  and interesting And its emblematic of a growing conflict thats taking place nationally between sentencing reformers and prosecutors The Issue Leverage The vast majority of criminal cases in America are resolved through plea bargains Defendants plead guilty out of fear of getting a worse sentence if they dont Plea bargains jumped above 90 percent in the 1980s and 90s in part because a wave of harsh new sentences for drug offenses strengthened prosecutors hands when bargaining with defendants For a DA to have the ability to dangle over someones head 10 20 years in jail that provides them with tremendous leverage to pretty much get whatever they want says Louisiana State Sen JP Morrell a Democrat from New Orleans and former public defender Morrell was one of the sponsors of the marijuana sentencing reform bill that failed in Baton Rouge He says one of the benefits of that reform would have been a reduction in the power of prosecutors to as Louisiana courthouse slang puts it bitch a defendant A reference to Louisianas habitual offender law it refers to a DA threatening to use past convictions  often for marijuana possession  to multiply the length of a defendants potential sentence But what Morrell sees as a problem prosecutors regard as a necessary tool Thats because many states are now considering similar reductions to mandatory minimum sentences for drug offenses and Congress is considering a similar move for federal drug charges Prosecutors insist they use the threat of harsh sentences responsibly but say its a tool they cant do without Last fall at a hearing in the US Senate Judiciary Committee the thenexecutive director of the National District Attorneys Association Scott Burns warned against rolling back drug sentences Why now With crime at record lows why are we looking at sweeping changes Burns said He endorsed smart on crime reforms such as drug courts but he cautioned against depriving prosecutors of one of our most effective sticks John de Rosier the district attorney of Calcasieu Parish La says we have people all the time that we know have been involved in robberies rapes and murders We havent been able to prove our cases but were in court with them for secondoffense possession of marijuana What do you think were going to do Thats commonly referred to as prosecutorial discretion and its an argument that alarms sentencing reformers like Morrell That level of discretion ought to be terrifying to people Morrell says If you cannot convict someone of a murder of a robbery whatever the fact that you have a disproportionate backup charge to convict them anyway kind of defeats the purpose of due process The pushback against sentencing reform also comes from a fear that liberalizing drug laws too much could cost lives Even as Morrell was trying to reduce sentences for marijuana this spring the Louisiana Legislature was contemplating increasing real sentences for heroin possession Like other parts of the country Louisiana has been experiencing a surge in heroin deaths People are being found dead with the needle still in their arm says Rep Joseph Lopinto a Republican from Metairie La He sponsored the bill that would require prison time even for a first offense In a perfect world I would like everybody thats on heroin right now to go get treated Lopinto says But most of the time when that come to Jesus moment happens its because of law enforcement Even Collins the Lafayette Sheriffs Department counselor admits prison has its uses I do see putting them in jail and expecting them to get better because we said so is ridiculous she says However if you put them in a treatment program and utilize prison as a motivational tool it is very effective The Scales Of Justice Still if a prosecutor is going to threaten drug users with jail time that threat has to be credible  someone has to be the example And in Louisiana those examples can seem extreme Nobody knows this better than Lisa Ladd whose 27yearold son Corey is now serving a 20year sentence for his conviction for thirdoffense marijuana possession He was arrested with a halfounce Ladd seems dumbfounded by whats happened to Corey He broke the law he does deserve some sort of punishment she says But 20 years The scales of justice are just so way off balance They really are Now shes raising her imprisoned sons infant daughter As she talks about it she breaks down I just lost a son she says and after a moment it becomes clear that shes not talking about Corey Another son who was 23 died of a drug overdose Ladd just got the paperwork from the coroner It looks like it was a mix of heroin and pills Ladds younger son did not have the same kind of legal troubles Corey did Instead of jail he went for treatment in Florida But it didnt take and now hes the one whos dead Would he still be alive if hed had that come to Jesus moment with law enforcement as Lopinto puts it Its that kind of question thats dogging the states as they try to figure out the best way to deal with their stillcrowded prisons Copyright 2014 NPR,"Wed, 09 Jul 2014 08:01:00 -0400",drugs
NPR,http://www.npr.org/blogs/thetwo-way/2014/07/07/329625969/washington-state-to-start-recreational-pot-sales-on-tuesday?ft=3&f=,Legal marijuana sales are set to begin in Washington state as early as Tuesday after authorities began issuing retail licenses to storesThe states Liquor Control Board issued Monday the first 24 marijuana retailer licenses the board said in a statement The stores can now stock up on marijuana products and begin sales on Tuesday after the mandated 24hour quarantine periodHeres more from the panelBusinesses receiving their licenses today represent the first of 334 licenses allotted by the WSLCB for retail sales who have successfully completed the licensing process Locations receiving licenses were selected by taking into account population geographic dispersion and the individual applicants readiness to be licensedThe Associated Press reports that the board licensed 14 stores in western Washington and 10 in the eastern part of the state It adds Spokane has three stores Vancouver Tacoma and Bellingham each have two Seattle and the other cities on the list have one eachWhat time the stores will open is likely to varyAn investor in Top Shelf Cannabis in Bellingham said the store would be open at 8 am but he told the AP work remained to be doneAt Seattles Cannabis City owner James Lathrop said hed wait until noonKnow your audience Were talking stoners here he told the AP Id be mean to say they need to get up at 5 am to get in lineThe state is the second to legalize recreational marijuana Colorado began sales Jan 1 The pentup demand is expected to cause shortages USA Today reportsAll that demand is expected to cause significant pot shortages and prices to temporarily skyrocket in the short term as growers match supply and buyers adjust to a system where marijuana is legally bought and sold from stateregulated stores Like Colorado Washington state expects to see tight supplies in the initial days of legalization In Colorado for instance prices for an ounce of highgrade marijuana rose past 300 in the first few days of January as lines snaked around the block at some stores and retailers blocked large purchases Over the July 4 weekend however one large chain of Colorado marijuana stores was selling ounces for 85 plus taxAlthough possession of marijuana is illegal under federal law the Justice Department has instructed prosecutors not to focus on marijuana users but instead on cartels criminal enterprises and those who sell the drug to children Copyright 2014 NPR,"Wed, 09 Jul 2014 08:54:00 -0400",drugs
NPR,http://www.npr.org/blogs/thetwo-way/2014/06/25/325497536/high-court-says-police-need-a-warrant-for-most-cellphone-searches?ft=3&f=,The US Supreme Court ruled unanimously Wednesday that unless police have a warrant they generally cannot search data on a cellphone seized from someone who has been arrestedThe decision is seen as a sweeping win for privacy advocatesModern cell phones are not just another technological convenience Chief Justice John Roberts wrote With all they contain and all they may reveal they hold for many Americans the privacies of lifeAs NPR legal affairs correspondent Nina Totenberg reported in AprilThe courts have long allowed police to search people without a warrant when making an arrest But those searches have been limited by the amount of information individuals could carry on their personsNow suddenly with the advent of the smartphone allowing a search of that phone without a warrant allows police to search more information than most people keep in their housesThe first of two related cases Riley v California centered on David Riley who was pulled over in 2009 in San Diego for driving with expired tags As Nina reportedWhen his car was impounded and inventoried police found guns under the hood An initial search of Rileys cellphone indicated he might be involved in gang activityTwo hours later a gang investigator went through the digital files and downloaded contacts videos and photos Some of that information was later used to convict Riley of several feloniesRileys lawyer told the court in April that the Founding Fathers hadnt intended such wideranging warrantless searches But the state of California and the Obama administration had contended that cellphones should have no greater protection than other objects police findOn Wednesday the Supreme Court disagreedThe fact that technology now allows an individual to carry such information in his hand does not make the information any less worthy of the protection for which the Founders fought Roberts wroteBut the court did say that warrantless searches could be permitted in some extraordinary circumstances  as in instances of child abductions or bomb threatsThe second case US v Wuhrie involved a defendant whose flipphone call log was searched by police The Associated Press reports on the background to that case from BostonPolice arrested Brima Wurie on suspicion of selling crack cocaine checked the call log on his flip phone and used that information to determine where he lived When they searched Wuries home and had a warrant they found crack marijuana a gun and ammunition The evidence was enough to produce a conviction and a prison term of more than 20 yearsAn appeals court threw out the evidence found on Wuhries phone but left in place a drug conviction that did not depend on the tainted evidence The Obama administration had appealed that ruling because it wanted to preserve warrantless searches following an arrestOn Wednesday the Supreme Court upheld the lower courts ruling Copyright 2014 NPR,"Sat, 05 Jul 2014 12:08:00 -0400",drugs
NPR,http://www.npr.org/blogs/health/2014/06/16/322580314/entrepreneurs-buzzing-over-medical-marijuana-in-florida?ft=3&f=,Twentytwo states and the District of Columbia now have laws allowing for some form of medical marijuana Florida appears poised to join the club Polls show that voters there are likely to approve a November ballot measure legalizing marijuana for medical use If it passes regulations that would set up a market for medical marijuana in Florida are still at least a year away But cannabis entrepreneurs from around the country are already setting up shop in the state In Miami Fort Lauderdale Tampa and Orlando theres a business conference every few weeks devoted to a product thats still illegal There are a lot of names for marijuana but in the industry they mostly call it cannabis Tom Quigley runs a group called the Florida Cannabis Coalition Dont confuse that with the Florida Medical Cannabis Association or the Medical Marijuana Business Association of Florida just three of the dozens of groups started in the months since it became clear that the marijuana measure was moving ahead While the vote is months away there are many who see Floridas impending embrace of medical marijuana as an opportunity thats too good to miss Quigley greeted about 150 of them at his conference in Orlando We cant teach you in one day how to run a cannabis industry business but what we can do is bring the best information to you Quigley says There were seminars on cultivating the best strains converting cannabis into oils and concentrates and on marketing and legal issues Since California became the first state to approve medical marijuana in 1996 21 other states have followed suit If Florida approves it it will be the first state in the Southeast to do so And with nearly 20 million residents it will be the biggest market outside of California The National Cannabis Industry Association estimates medical marijuana will be a 785 million industry in Florida  one that Quigley says will have all kinds of economic opportunities If you want to become a bud tender that works inside one of these dispensaries as an occupation if you want to run your own business theres that opportunity as well Quigley says Right now in Florida the cannabis industry is mostly talk But money is lining up as well Quigley is with ArcView an investors group that funds cannabis industry startups CannabisRX a real estate company based in Arizona is also active here investing in properties it plans to sell or lease to growers and operators of dispensaries We look at light industrial commercial buildings that are in the right zoned areas of the cities says Llorn Kylo CEO of CannabisRX And we usually seek between 10000 and about 100000 square feet Along with real estate CannabisRX also offers budding entrepreneurs financing and consulting services to help them get their businesses off the ground At the Orlando conference Meg Sanders of Gaia a grower with three dispensaries in Colorado flew in from Denver Sanders says shes always looking for opportunities to expand  including in Florida For us weve worked very hard to create a fantastic template of what we do And if theres opportunity in other states well definitely be there at the table says Sanders Its unclear exactly what opportunities will arise in Florida If the medical marijuana amendment passes the state wont issue regulations for another six months to a year Floridas governor recently signed into law a very limited version of medical marijuana  one that allows production and sale only of a special strain thats low in THC As part of that law just five nurseries will be allowed to grow it They have to be large operations that have been in business in Florida for at least 30 years Chris Rumph a prospective entrepreneur at the conference says that regulation has many wondering how welcoming Florida officials will be to the emerging cannabis industry Opening up to nurseries that have been around 30 years I think thats kind of silly says Rumph We live in a state where weve got thousands of nurseries with people that are very educated and knowledgeable about plants and how to grow things effectively So theres a little bit of suspicion there for me How the medical marijuana regulations will be written though is for the future For activists and entrepreneurs the first task is mobilizing Florida voters to actually approve the medical marijuana amendment Copyright 2014 NPR,"Mon, 30 Jun 2014 09:57:00 -0400",drugs
NPR,http://www.npr.org/blogs/health/2014/06/12/321305243/teen-smoking-hits-a-22-year-low-but-other-tobacco-uses-rise?ft=3&f=,Cigarette smoking among US high school students has dropped to the lowest level in 22 years federal health officials reported Thursday The percentage of students who reported smoking a cigarette at least one day in the last 30 days fell to 157 percent in 2013 according to the National Youth Risk Behavior Survey a large federal survey that has been tracking youth smoking since 1991 Thats the lowest rate since the survey began and it means the United States has met the federal governments objective of cutting teen cigarette use to 16 percent or less officials said But officials say the fight against tobacco use remains far from over Were encouraged to see high school students are making better choices in some areas such as smoking Dr Thomas Frieden director of the federal Centers for Disease Control and Prevention told reporters during a briefing Thursday But we still face big challenges in reducing overall tobacco use Too many kids still smoke cigarettes and there are other disturbing trends in tobacco use Frieden said More kids are using hookahs for example and more are using electronic cigarettes In addition too many still use smokeless tobacco and the decline in cigar use among teens has slowed In addition to the decline in cigarette smoking the survey also found the percentage of kids getting into physical fights has dropped as has the percentage who are sexually active But 41 percent reported texting or emailing while driving and condom use among those who are sexually active has fallen Copyright 2014 NPR,"Thu, 12 Jun 2014 13:14:00 -0400",drugs
NPR,http://www.npr.org/blogs/health/2014/05/20/314228497/e-cigarette-users-may-end-up-paying-more-for-insurance?ft=3&f=,People may think that ecigarettes are a safer alternative to tobacco but insurers might not agree Tobacco use is one of just four things that insurers that sell health plans on the individual market can take into account when determining someones premium age geographic location and family size are the other three People who use tobacco can be charged up to 50 percent more than nonsmokers Under the rules use of any tobacco product four or more times a week on average in the past six months could subject someone to the tobacco surcharge But 10 states prohibit or restrict insurers from applying the tobacco surcharge in the individual market according to the Centers for Medicare and Medicaid Services So the big question will be if insurers end up classifying ecigarettes as tobaco products The batterypowered devices simulate cigarette smoking producing a smokelike vapor that usually contains nicotine and flavoring agents The Food and Drug Administration moved toward deeming ecigs tobacco products in April when it proposed regulating ecigarettes although the proposed regulations arent as strict as those for regular cigarettes The Centers for Medicare and Medicaid Services also is looking into the use of ecigarettes and the tobacco surcharge according to an agency official But a lot of this will rest on the science and the jury is still out the health effects of ecigarettes In a recent review of research on ecigarettes researchers at the University of CaliforniaSan Francisco found that although the longterm health effects of ecigarettes are still largely unknown they emit potentially harmful substances into the air and can be a source of indoor pollution The researchers also found that ecigarettes actually reduce the likelihood that people will quit smoking in contrast to advertising claims that firing up an ecig will help people kick the habit The potential role of ecigarettes as a smoking cessation tool has insurance coverage implications too The health law requires most health plans to cover FDAapproved smoking cessation products and counseling without any outofpocket cost to consumers The federal government recently released guidance clarifying which services and products must be covered Since ecigarettes arent FDAapproved for quitting smoking  and in fact are on the brink of being labeled by the agency to warrant regulation like cigarettes  they arent covered as a free preventive benefit under the law Clearly more specific guidance will be needed The Affordable Care Act does not specify ecigarette use for purposes of cessation coverage or tobacco surcharge application says Catherine McMahon policy principal at the American Cancer Society Cancer Action Network The lack of clarity may allow health plans to try to add the surcharge for ecigarettes Kaiser Health News is an editorially independent program of the Kaiser Family Foundation Copyright 2014 Kaiser Health News,"Tue, 20 May 2014 11:43:00 -0400",drugs
NPR,http://www.npr.org/blogs/thetwo-way/2014/05/15/312474443/minnesotas-legislature-oks-medical-marijuana?ft=3&f=,Minnesota has approved the sale and use of medical marijuana and Gov Mark Dayton has said he will sign the legislationThe state is poised to become the 22nd to legalize the drug for medical purposesMinnesota Public Radio says Under the agreement the state will authorize two medical cannabis manufacturers to set up operations in Minnesota and distribute the product in pill or liquid form to qualified patients at up to eight distribution centers by July 1 2015However smoking marijuana would still not be legal Instead patients would be allowed to vaporize whole plant extracts but not dried leaves MPR saysThe Associated Press says the deal is a major victory to severely ill children and adults whose emotional appeals for help propelled a major policy change that once appeared dead for the sessionThe AP says Some patients lamented that the agreement doesnt allow them to use actual plant material  they instead can use the drug in oil pill and vapor form  but others were overjoyedMPR reportsThe bill calls for a state patient registry and an observational study of the effect cannabis in treating a limited list of qualified conditions including cancer glaucoma HIVAIDS Tourette Syndrome Crohns Disease ALS and seizuresLaw enforcement groups that opposed earlier proposals are taking a neutral position on the new compromise The Minnesota Medical Association also took a neutral stand Copyright 2014 NPR,"Tue, 20 May 2014 11:43:00 -0400",drugs
NPR,http://www.npr.org/blogs/thesalt/2014/05/14/311861890/edible-marijuana-treat-theres-now-a-food-truck-for-them?ft=3&f=,Food trucks have been steadily multiplying in cities across the country for a few years now So their collision with the brave new world of marijuana edibles  from brownies to gummy candy  was probably inevitable at least in the states where the drug is now legal In late April a company called MagicalButter unveiled the countrys first food truck specializing in potinfused eats at Denvers Cannabis Cup MagicalButter based in Seattle already sells a machine of the same name that extracts nutrients and other chemicals from herbs for use in food The truck called The Samich rolls with a mascot a flying smiling stick of green butter Yep On the Samich menu at the Cannabis Cup were peanut butter and jelly pulled pork and grilled cheese sandwiches along with tomato soup Each dish contained oil butter or cheese infused with THC the mindaltering chemical in marijuana The food truck gives a good platform to educate people about how to eat with cannabis finding out what works what might not work Garyn Angel CEO of Magical Butter tells The Salt Its a nonthreatening way for people to discover if it helps them at all The trucks Colorado debut was more marketing ploy than true launch After serving the festival goers in Denver the truck headed back to Washington state which is just starting to tax and regulate recreational weed sales Its now parked near the companys headquarters but there are plans to develop a fleet to spread the spiked lunch items to other cities The trucks timing is apt While Colorados experiment in recreational marijuana closes in on the sixmonth mark lawmakers are tightening rules for the rapidly growing edibles market New rules will limit the potency of foods infused with THC and require companies to explicitly label edible products Cooking with cannabis can be a tricky feat because its easy to overdo it Angel says MagicalButters chef controls for potency and dosage making sure that grilled cheese doesnt deliver too much of a punch he says We have to work on these things to make sure no one has an experience theyre uncomfortable with Angel says Overindulging in THClaced treats can lead to stomach aches headaches vomiting and daylong highs according to Colorado Public Radio Doctors in Colorado say more people are now being admitted to the emergency room after consuming large quantities of edible marijuana treats Angel of MagicalButter says the food truck is just one of his potinfused culinary ventures He is exploring a line of cookbooks and the company is planning to back a brick and mortar restaurant in Seattle that serves potinfused fare with a tentative opening date in June or July Copyright 2014 NPR,"Thu, 15 May 2014 12:09:00 -0400",drugs
NPR,http://www.npr.org/blogs/theprotojournalist/2014/05/12/310981826/would-a-pol-by-any-other-name-smell-as-sweet?ft=3&f=,With all the talk in contemporary American politics about game changers  what about name changers Through the years there have been elected officials who were born with different names from the ones that were on the ballots The politicians changed their names for all kinds of reasons But in the end does the name of a politician make a difference to the electorate A recent example Texas state Sen Dan Patrick who was born Dannie Scott Goeb A Tea Party candidate Patrick is running for lieutenant governor against Lt Gov David Dewhurst According to the Associated Press Dewhurst opened a debate not long ago with this dig I am David Dewhurst and Ive been David Dewhurst since I was born Dewhurst also posted a parody video Dan Patrick sings The Ballad of Dannie Goeb  suggesting that Goeb changed his name to cover his past On his website Patrick explains that he changed his name years ago  at his bosss suggestion  for radio work in Pennsylvania But are there times when moniker morphing can help win an election Apparently yes In the late 1980s Kentucky accountant Robert Mead won the state treasurers office after changing his legal name To Robert Mead CPA Name Generator Image and branding consultant Patsy Cisneros of Corporate Icon  whose client list includes Citgo and Disney  says that there are circumstances under which she would recommend a name change very early in the career of a politician preferably before she or he runs for office Times change says Patsy whose firm also counsels politicians and popular names through past generations become less relatable to the current voting generations She might for instance suggest changing a mans first name from Leslie to Gerald or a womans first name from Mildred to Jennifer She might also suggest altering a name if its hard to pronounce A candidates name should be easy to repeat by followers Patsy says so they may encourage friends and community to vote for them In the cases of Charlie Crist whose father was named Christodoulou and Spiro Agnew whose father was named Anagnostopoulos the family name was simplified before the pols were born And Patsy says that in some parts of the country an internationalsounding name  post 911  may be a concern when there is no opportunity or practicality to explaining the name Voters choose certain candidates because they can relate to the candidates Patsy says If changing a name improves relatability a contender is more likely to be voted into office versus an odd and unfamiliar name causing doubt and voter avoidance Patsy even has suggestions for how to choose a name I would suggest a first or last name that already exists in their family tree when possible Another option is to select names from important influencers in your life such as foster families mentors and historical figures This adds a positive story to explaining how you are honoring someone special when you changed all or part of your name  The Protojournalist Experimental storytelling for the LURVers  Listeners Users Readers Viewers  of NPR NPRtpj Copyright 2014 NPR,"Mon, 12 May 2014 16:12:00 -0400",drugs
