source,url,text,publish_date,category
NPR,http://www.npr.org/2014/11/05/360463798/thumbs-up-for-higher-minimum-wages-and-for-marijuana-industry?ft=3&f=,Besides electing lawmakers Tuesday voters settled ballot initiatives affecting everything from sodapop taxes to fracking to marijuana salesThe outcomes varied but there was one economic issue that united voters Overwhelmingly they approved raises for minimumwage workersIn Alaska Arkansas Nebraska and South Dakota voters passed binding referendums to raise state minimums above the 725 an hour wage level mandated by the federal government In each of the conservativeleaning states opposition to wage measures was muted and victory margins were wideIn Illinois voters approved a nonbinding advisory question that calls on the state Legislature to approve a 10 minimum wageThe federal minimum wage has been unchanged since the depths of the recession in July 2009 Democrats have proposed legislation raising it to 1010 an hour Republicans have blocked itSo unions and community groups have shifted focus from pushing Congress to act and instead have turned to state initiatives Those referendums have been enormously popular with voters For example in Alaska the wage hike won 69 percent of the voteAs of January when higher wages also take effect in Hawaii Maryland and West Virginia workers in the majority of states will have hourly earnings above the federal floorAlaskas minimum wage will ratchet up to 975 by 2016 Arkansas minimum wage will rise to 850 by 2017 Nebraskas to 9 by 2016 and South Dakotas to 850 by 2015 An estimated 680000 minimumwage workers would get raises if Illinois were to join those four states in increasing minimum pay levelsIn addition a number of cities and counties in California and Wisconsin also had wagehike referendums Those passed too except for one initiative in Eureka Calif to raise the wage to 12 next yearPeople understand that 725 is not nearly enough to make ends meet Christine Owens director of the National Employment Project Action Fund said in a statement This is a clear mandate for minimum and living wage proponents to soldier on until we have fair wages throughout the countryThe Employment Policies Institute a group that opposes wagehike legislation said the results showed conservative candidates could win in states where wage hikes passed Michael Saltsman research director for the organization said in a statement that candidates who bucked labor union pressure and expressed skepticism of a higher minimum wage still won last night which means that acknowledging the economic realities of wage hikes is not a political loserVoters also weighed in on other economic matters includingBerkeley Calif approved a 1centperounce tax on soda in an effort to discourage consumption of sugar But a soda tax failed in San Francisco leaving the beverage industry with a split decision in the pair of highprofile votesIn Colorado and Oregon voters rejected a push to require packaged foods to be so labeled if they contained genetically modified organisms or GMOs Food and beverage companies say such labeling would drive up grocery costsThe marijuana industry was lifted higher in Alaska Oregon and the District of Columbia In Oregon and Alaska voters agreed to legalize recreational use of pot In the District of Columbia possession of up to 2 ounces of pot was made legalFracking bans had mixed results A number of cities and counties tried to prohibit the use of hydraulic fracturing or fracking for recovering natural gas or oil In Northern Californias San Benito County voters approved a fracking ban but a similar measure failed in Santa Barbara County In Denton Texas voters banned fracking and in Youngstown Ohio they rejected a ban for the fourth timeIn Massachusetts voters rejected an effort to keep out resort casinos Copyright 2014 NPR,20141105,marijuana
NPR,http://www.npr.org/2014/11/05/361766137/daily-show-colbert-find-little-to-joke-about-on-election-night?ft=3&f=,Jon Stewart may be the only media figure who started his election coverage Tuesday with an apology I did vote today  I was being flip and it kind of took off said Stewart who had told CNN anchor Christiane Amanpour in an interview earlier Tuesday that he wasnt voting because he had just moved and I dont even know where my thing is The comment sparked loads of stories about how the comedian wasnt voting in an election he had been talking about for months I want to apologize Stewart added Because I think I wasnt clear enough that I was kidding and it sent a message that I didnt think voting was important or that I didnt think it was a big issue And I do And I did vote And I was being flip and I shouldnt have done that That was stupid Yes it was that kind of night for liberals Even a leftleaning fake news anchor had to start the night by seeking forgiveness for a screwup Both Stewarts Daily Show and its Comedy Central sibling Stephen Colberts Colbert Report went live Tuesday to talk about the historic wins Republicans piled up in this years midterm elections But the wave of red sweeping over the electoral map seemed to dampen the mood a bit at both shows where leading Republicans like Sens Mitch McConnell and Lindsey Graham had been the target of barbed jokes for quite a while Look Im trying to find any way to entertain people who are truly on a ledge tonight Stewart joked at one point just before promising to replace the Statue of Libertys torch and tablet with a Bible and an AK47 to signal the GOPs success The evening seemed to highlight the limits of newstinged satire on the political scene as HBO comic Bill Mahers public effort to oust Republican US Rep John Kline  referred to on his show Real Time as the flip a district campaign  also failed Kline whom Maher criticized for being invisible while representing a district outside Minneapolis won his seventh term in office Tuesday despite repeated criticism from the comic who devoted a website to the effort and even visited the state for a panel discussion on the election On Stewarts and Colberts shows the reporting of election results almost seemed an afterthought  though the Daily Show had fun with some election projections picturing McConnell as a cartoon turtle and showing an alligator gobbling up failed Florida gubernatorial candidate Charlie Crist the Republican turned Democrat Instead Stewart poked fun at the influence of money  alumnus Rob Riggle played a stack of cash giddily celebrating the dollars role in the most expensive midterm election in history  and interviewed Republican National Committee Chairman Reince Priebus Were you surprised that the Democrats strategy seemed to be curling in a ball and hoping you didnt kick them in the face too hard Stewart asked Priebus setting the tone for the rest of the interview Colbert presented his last live election special before leaving Comedy Central to take over David Lettermans Late Show on CBS next year Many of his jokes centered on the media coverage lampooning social mediaobsessed TV reports and playing multiple instances of Fox News anchors referring to the channels election data center as its brain room Just as you suspected Fox News keeps all their brains in one room Colbert joked And its not the one with the cameras Although his persona on the show is ostensibly a parody of a conservative political commentator Colbert seemed less like his character than ever signaling the kind of attitude viewers might see once he moves to CBS and drops the shows conceit forever Its been a good night for Republicans Colbert said not really sympathizing with or enjoying the victory Some of them are even awake to celebrate it Colbert also welcomed conservative pundit turned Obama supporter Andrew Sullivan who blamed Democrats massive electoral losses on being weakkneed about supporting the president and party policies You have a president who has an excellent economic record  who enacted universal health care which is their goal for 40 years says Sullivan And they ran away from that achievement and refuse to talk about it Colbert responded by asking What can we do to get more Americans to vote Should we have those I voted stickers deepfried There were lots of odd events elsewhere in media coverage Tuesday including a moment when Fox News pundit Brit Hume kept chanting the word Redskins as fellow pundit Juan Williams tried to talk about the controversy surrounding the name of Washingtons NFL team Former Meet the Press host David Gregory joined fellow NBC alumna Katie Couric on Yahoos election coverage  which was held in a Washington DC bar And CNN anchor Anderson Cooper had a novel comeback when a panel responded sluggishly to his question about marijuana legalization just before 1 am Wednesday What are you all stoned or something The only time Colbert got close to being serious Tuesday was when he wrapped up the show noting it was his eighth and final live election show for Comedy Central in 14 years Ill just end by saying it has been a pleasure and privilege to be welcomed into your homes these last nine years he said So to you and yours and I say a fond  whats that I have another month and a half of shows Well this was a little too dramatic Not dramatic enough to change the tone for TVs leading news satire shows which worked hard Tuesday to slap a smiling face on a defeat that most likely disappointed many fans in their audiences Maybe Colbert just got out while the getting was good Copyright 2014 NPR,20141106,marijuana
NPR,http://www.npr.org/blogs/thetwo-way/2014/11/04/361533318/marijuana-on-the-ballot-d-c-voters-ok-legalization?ft=3&f=,Voters in Washington DC have approved the legal use of marijuana for recreational purposes Supporters of the DC marijuana measure had a 65295 percent lead as of 909 pm ET with 20727 voting in favorThe DC case could create friction between the citys leaders and Congress  particularly if as many expect Republicans take control of both chambers The Districts Initiative 71 includes provisions that allow residents to grow six or fewer marijuana plants in their homes and possess up to 2 ounces of the drug for their own useVoters in Guam reportedly legalized medical marijuana use today and other states including Alaska are also taking up the issue Well update this post as more results come in You can also follow our special coverage at NPRs Election PartyUpdate at 706 am ET Alaska Votes To LegalizeWith 97 percent of precincts reporting Alaskans have voted to legalize marijuana by a 52 percent to 48 percent marginThe Anchorage Daily News reportsThe initiative will not become law until 90 days after the election is certified which is expected to be in late November Per the law the state can then create a marijuana control board  expected to be housed under the Department of Commerce Community and Economic Development That group will then have nine months to craft regulations dealing with how marijuana businesses will operateThe initiative was years in the making Alaska voters considered similar measures in 2000 and 2004 Both failed though each indicated a measure of support for legalization Measure 5 in 2000 took 409 percent of the vote Ballot Measure 2 in 2004 gained a few more points with 44 percent of the electorate voting in favor of itUpdate at 1152 pm ET Oregon OKs LegalizationWith nearly 65 percent of the vote tallied Oregon is projected to have approved Measure 91 legalizing recreational use of pot with nearly 54 percent in favor and 46 percent againstThe Oregon bill gives regulatory control of pot to the states liquor control agency It would also allow Oregon citizens to grow up to four plants at a timeThe states legislative revenue office recently estimated that in fiscal year 2017 the revenue from legal marijuana is expected to be 160 million with a lower range of 131 million and an upper range of 194 millionMarijuana legalization has been a longstanding issue in Oregon Oregon Public Broadcasting reports In 1986 a failed measure first sought to legalize recreational pot It was rejected by a large majority of votersUpdate at 1045 pm ET Florida Measure FailsA ballot measure in Florida that would permit the use of medical marijuana has failed to reach the 60 percent mark required for constitutional amendments in the state Current projections show 58 percent in approval with 42 percent against Copyright 2014 NPR,20141105,marijuana
NPR,http://www.npr.org/blogs/thetwo-way/2014/11/04/361572524/governors-races-incumbent-scott-beats-crist-in-florida?ft=3&f=,Gov Rick Scott will hold on to his job in Florida NPR projects as the Republican narrowly defeats Charlie Crist the former GOP governor who was running as a DemocratEarlier Arkansas voters elected Republican Asa Hutchinson as their new governorWell update this post with other gubernatorial race results particularly in contests that are expected to be close You can also follow our special coverage at NPRs Election PartyUpdate at 1150 am ET Hickenlooper Wins Second TermThe AP and the Denver Post are projecting that with a very thin margin Colorado Gov John Hickenlooper has secured a second termThe Post reportsWith 93 percent of votes counted as of about 720 am Hickenlooper is leading Bob Beauprez a Republican by roughly 22000 votes Votes are still being tallied in predominantly Democratic Boulder and Denver countiesHickenlooper holds 483 percent of the vote while Beauprez is trailing with 471 percentUpdate at 7 am ET on Nov 5 LePage Wins In MaineWith 85 percent of the vote in The Bangor Daily News calls the race for Republican Paul LePage who secured a second termThe Daily News reportsPaul LePage the outspoken former businessman who rode a Republican wave into the governors mansion and latenight talk show jokes in 2010 has won reelection in MaineDespite Democrats best efforts to turn the gubernatorial race into a referendum on the controversial governor LePages message of lower taxes leaner more efficient government and cuts to the welfare rolls won over a base of support that was projected to have grown substantially from the 376 percent that elected him in 2010Update at 110 am ET Nov 4 Quinn Loses More ResultsIn Illinois Republican Bruce Rauner beat Democrat Pat Quinn 51 percent to 46 percent with 99 percent of precincts reporting But Quinns spokeswoman has said he wont concede noting the votes remaining to be talliedMassachusetts filled its open seat in the governors office with Republican Charlie Baker handing Democrat Martha Coakley a narrow lossIn Kansas incumbent Republican Sam Brownback edged Democrat Paul Davis with a projected 50 percent of the vote to 46 percent in a surprisingly competitive closely watched raceThe Colorado race remains very close with Gov John Hickenlooper trailing Republican Bob Beauprez by less than 1 percentage pointThe Connecticut race also is tight with only 1 point separating Tom Foley and Democratic incumbent Dan MalloyUpdate at 1210 am ET Hogan Wins In MarylandTaking an open seat Republican Larry Hogan has beaten Democrat Anthony Brown in the race to be Marylands governor Brown conceded the tight race shortly after midnightHell be only the second Republican governor of the state in the past 50 years notes The Baltimore SunUpdate at 1130 pm ET Georgia ReElects DealGov Nathan Deal has won reelection NPR projects defeating Democrat Jason CarterUpdate at 1050 pm ET Walker Wins In WisconsinRepublican Gov Scott Walker has won reelection defeating Democrat Mary Burke The race was viewed as a major hurdle ahead of a potential presidential bid for Walker Copyright 2014 NPR,20141105,marijuana
NPR,http://www.npr.org/blogs/thetwo-way/2014/11/04/361528166/fight-for-the-senate-republicans-oust-pryor-mcconnell-wins?ft=3&f=,With a loss by Sen Mark Pryor the first Democratic incumbent fell in the 2014 midterms setting off a chain of events that brought the Republicans a new Senate majority The man who would lead them in Congress Sen Mitch McConnell coasted to a win in KentuckyMcConnell was projected to defeat Democrat Alison Lundergan Grimes by a 15point margin 56 percent to 41 percent with almost a third of the vote talliedIn Arkansas Democratic Sen Mark Pryor lost to Republican Rep Tom Cotton a firstterm member of Congress Pryor has served in the Senate since 2003Well be updating this post with news and results from races around the nation focusing on races that might change the balance of power in Congress You can also follow our special coverage at NPRs Election PartyUpdate at 740 am ET In Virginia Warner Claims Victory Leading with a razor thin margin Sen Mark Warner a Democrat from Virginia declared victory over Republican Ed GillespieThe Washington Post reportsThe contest was so close that Warners opponent declined to concede but the Democrat promised to serve a second term working across the aisle with a new Republican majority in the SenateIt was a hardfought race It went a little longer than we thought Warner said Ill work with anyone  Democrat Republican independent you name it  if were going to make sure we get our countrys problems fixedUpdate at 723 am ET In Alaska Sullivans Lead HoldsWith 100 percent of precincts reporting Republican Dan Sullivan led independent Mark Begich by a fourpoint marginBegich however had not conceded The Alaska Dispatch News reportsSpeaking just after midnight at his election night party in a packed ballroom at the Hotel Captain Cook Sullivan praised his supporters and told them We are taking back our countryWere still going to be respectful of the process Sullivan said But he nonetheless touted Republicans successes in Senate races across the country Tuesday and to hearty cheers he proclaimed that the party had sidelined Harry Reid the Democratic leader in the SenateWere going to take back America the land that we love Sullivan said as the crowd erupted in chants of USA USAUpdate at 140 am ET WarnerGillespie Too Close To CallIt remains to be seen if the Republican Party can add to its advantage in the Senate The Virginia race between Democratic incumbent Mark Warner and Republican Ed Gillespie is coming down to the wire with most services deeming it too close to callAnd in Alaska Republican Dan Sullivan led independent Mark Begich by a 5045 percent margin with less than a quarter of the vote talliedWell remind you that theres also a December runoff scheduled in Louisiana between Democrat Sen Mary Landrieu and Republican Rep Bill CassidyUpdate at 1140 pm ET Ernst Wins Giving GOP 7 SeatsRepublican Joni Ernst has won a Senate seat in Iowa beating out Democrat Rep Bruce Braley to take the seat being vacated by Sen Tom HarkinUpdate at 1126 pm ET GOP Takes Control With Tillis WinWith the projected victory of Thom Tillis in North Carolina the Republicans have now gained six Senate seats giving them control of both chambers of Congress Tillis the current state House speaker defeated incumbent Democratic Sen Kay HaganUpdate at 1120 pm ET Roberts Defeats Orman In KansasIncumbent Republican Sen Pat Roberts has beaten independent candidate Greg Orman NPR projects It would be the fourth term for RobertsIn Georgia Michelle Nunn has conceded the race for the seat vacated by Republican Saxby Chambliss as the GOPs David Perdue takes the winUpdate at 1020 pm ET Gardner Wins In ColoradoRepublican Cory Gardner has defeated incumbent Sen Mark Udall giving the GOP five seats so far in the midtermsUpdate at 10 pm ET Runoff For Landrieu Daines WinsRepublican Steve Daines has won the Senate race in Montana NPR projects a victory that means the GOP has picked up four seats so far Daines defeated state Rep Amanda Curtis taking over the seat vacated by Democrat Sen John WalshThe Louisiana Senate race between Democrat Sen Mary Landrieu and Republican Rep Bill Cassidy will head to a runoff in December NPR projects She will not be favored in that headtohead race Five Thirty Eight reportsUpdate at 915 pm ET Rounds And Shaheen Win More ResultsThe GOP scored a big win in South Dakota where Mike Rounds is projected to beat Rick Weiland taking the seat thats being vacated by Democrat Tim JohnsonIn New Hampshire Democratic Sen Jeanne Shaheen has been reelected defeating former Massachusetts Sen Scott BrownRepublican Sen Mike Enzi has been reelected in Wyoming NPR projectsRepublicans John Cornyn and Gary Peters have also won in Texas and Michigan respectively Copyright 2014 NPR,20141105,marijuana
NPR,http://www.npr.org/2014/11/02/348967711/have-a-listen-don-gonyeas-2014-campaign-playlist?ft=3&f=,Join NPR on Election Night Nov 4 at electionsnprorg for live reports from reporters across the country live results and our live blog We asked NPRs National Political Correspondent Don Gonyea to help kick off our Election Night party by sharing some of the music thats playing in his ear as he covers the 2014 campaign  My editors gave me an unusual election assignment Come up with a playlist for the 2014 midterm campaign Im a good one to ask since I have a deep love of all kinds of music AND because I spend a lot of time in planes flying from one battleground state to the next Add in the long drives across any given stretch of politically competitive America and youve got a guy who needs a great selection of music to keep him sane So here is my Personal Campaign Playlist for the 2014 Election I should note that youll likely find none of these songs on the official playlists of any campaign anywhere These are not the songs that blare from the loudspeakers at political rallies No classic rock hits U2 no modern country Brooks  Dunn no rock anthems Springsteen Kid Rock Instead Ive burrowed pretty deep into the encyclopedia of eclectic music to find some songs that take me and you on a journey through the states where Ive found myself covering hot political races this year 14 Songs 45 minutes Here we go 1 The Old Man Of The Mountain  Big Bad Voodoo Daddy What better place to start than a song about a giant rock formation in the northern part of the firstinthenation primary state of New Hampshire Theres a pretty good US Senate race this year as well Not to mention all the early stops by potential 2016 presidential candidates This is a new version of a classic Cab Calloway tune How can you not love this 2 County Fair  Phil Alvin Cover politics for NPR and you spend a lot of time at the fairgrounds This song makes me think of lots of places from Iowa to Ohio to Michigan to Kansas Phil Alvin is a founding member of that great American roots band The Blasters This is a solo performance Ive loved for years 3 Wa Da Da  Bix Beiderbecke For this one we go to the other state that kicks off the presidential season Iowa Perhaps the hottest US Senate race is taking place there this year As for the great Bix Beiderbecke hes one of the finest trumpeters in the history of jazz  and he just happens to be the hometown pride and joy of Davenport Iowa 4 Blue Moon Of Kentucky  Brian Setzer The most expensive race in the country this year is the Kentucky Senate race So in this selection we present this take on the legendary Bill Monroes Blue Moon of Kentucky 5 Somewhere In Kentucky Tonight  Tom T Hall Staying in Kentucky for one more Im a sucker for classic country music and this is from one of the genres finest storytellersongwriters 6 Wichita Lineman  The Meters I never thought Id be spending time in Kansas this year A year ago it didnt seem like there would be much in the way of drama in the states politics But suddenly the incumbent governor and US senator both Republicans are fighting to survive I found myself in Wichita as harvest season rolled around And I kept looking at those telephone poles along the highway Hence this Jimmy Webb classic but likely a version you havent heard before  a beautiful ballad by the New Orleans funk band The Meters 7 Arkansas PT2  Bill Frisell Arkansas Home of William Jefferson Clinton Another big US Senate race there this year not to mention a pretty good governors race So I bring you this musical interlude from guitarist Bill Frisell A variation on The Arkansas Traveler 8  On A Night Like This  Buckwheat Zydeco Lets go to Louisiana Another battle for a US Senate seat And a great opportunity for some Zydeco Heres a Bob Dylan song that gets the accordion and washboard arrangement Plus the title just feels right for election night too 9 Snowin On Raton  Emmylou Harris Colorado features some of the most interesting politics in the country these days A battleground US Senate race Closely watched in presidential years And now legalized marijuana Here Emmylou Harris brings her gorgeous voice to a song by the late Townes Van Zandt 10 Georgia On My Mind  Ray Charles Another very interesting US Senate race in the Peach State Hey are you gonna build a list that includes Georgia without including RAY CHARLES 11 Carolina In My Mind  James Taylor North Carolina One of the newest and biggest members of the battleground state club So why not give its native troubadour his due here Its always great to hear James Taylor 12 Just A Little Bit South Of North Carolina  Gene Krupa  His Orchestra with Anita ODay Staying in North Carolina for a moment  sort of Technically this one is about South Carolina But close enough for election year playlist rules Plus its got Gene Krupa on drums A wonderful piece to settle you down after deadline 13 Louisiana Man  Lucinda Williams Lucinda Williams daughter of former US Poet Laureate Miller Williams singing about her home state Music to watch the election returns by Or to eat crawfish etouffee Or both Im in 14 Election Day  Lyle Lovett This ones title is selfexplanatory Written by an Austin legend a street musician and denizen of the local clubs named Blaze Foley Lyle gives it a nice ride Happy Election Day folks Hope you enjoyed the trip Copyright 2014 NPR,20141103,marijuana
NPR,http://www.npr.org/2014/10/30/360217001/kennedy-are-we-ready-for-big-tobacco-style-marketing-for-marijuana?ft=3&f=,There has been a lot of talk recently about marijuana legalization  increasing tax revenue for states getting nonviolent offenders out of the prison system protecting personal liberty possible health benefits for those with severe illnesses These are good and important conversations to have and smart people from across the ideological spectrum are sharing their perspectives But one key dimension of the issue has been left out of the discussion until now the marketing machine that will spring up to support these nowlegal businesses and the detrimental effect this will have on our kids Curious how this might work Look no further than Big Tobacco In 1999 the year after a massive legal settlement that restricted certain forms of advertising the major cigarette companies spent a record 84 billion on marketing In 2011 that number reached 88 billion according to the Campaign for TobaccoFree Kids To put it into context the auto industry spent less than half of that on advertising in 2011 and car ads are everywhere At the same time despite advertising bans these notoriously sneaky tobacco companies continue to find creative ways to target kids Data from the 2011 National Survey on Drug Use and Health found that the most heavily marketed brands of cigarettes were also the most popular among people under 18 This is not a coincidence and gets to the very core of Big Tobaccos approach Hook them young and they have a customer for life Why do we think the legal marijuana industry will behave differently from Big Tobacco When the goal is addiction all bets are off In Colorado where there are new rules governing how legal marijuana is advertised in traditional media there are still many opportunities to market online and at concerts festivals and other venues where kids will be present Joe Camel might be retired but hes been replaced by other gimmicks to get kids hooked  like snus and flavored cigarettes The marijuana industry is following suit by manufacturing THC candies cookies lollipops and other edibles that look harmless but arent Making marijuana mainstream will also make it more available more acceptable and more dangerous to our kids Addiction is big business and with legal marijuana its only getting bigger Not surprisingly Big Tobacco is also getting on the marijuana bandwagon Manufacturers Altria and Brown  Williamson have registered domain names that include the words marijuana and cannabis Imagine how much they will spend peddling their new brand of addiction to our kids We cannot sit by while these companies open a new front in their battle against our childrens health Why is this an issue There is a mistaken assumption that marijuana is harmless It is not Marijuana use is linked with mental illness depression anxiety and psychosis It affects parts of the brain responsible for memory learning attention and reaction time Developing brains are especially susceptible to all of the negative effects of marijuana and other drug use In fact poison control centers in Colorado and Washington state have seen an increase in the number of calls regarding marijuana poisoning This isnt a surprise  with legal marijuana comes a host of unintended consequences Ive spent the past several years after leaving Congress advocating for a health care system that treats the brain like it does any other organ in the body Effective mental health care especially when it comes to children is critically important Knowing what we now know about the effects of marijuana on the brain can we really afford to ignore its consequences in the name of legalization Our No 1 priority needs to be protecting our kids from this emerging public health crisis The rights of pot smokers and the marijuana industry end where our childrens health begins Im not alone in my concerns about this trend toward legalization Even Colorado Gov John Hickenlooper has said that marijuana legalization in his state was reckless and reaffirmed his opposition to it during his campaign for reelection He also said he will regulate the heck out of it For that I applaud his leadership and courage Alaska Oregon and the District of Columbia have legalization ballot measures up for a vote this fall I hope common sense will prevail and they choose a better path than making addiction the law of the land At the end of the day legalizing and marketing marijuana is making drug use acceptable and mainstream Just as Big Tobacco lied to Americans for decades about the deadly consequences of smoking we cant let big marijuana follow in its footsteps target our kids and profit from addiction Patrick J Kennedy is a former United States representative from the state of Rhode Island Copyright 2014 Ozycom,20141031,marijuana
NPR,http://www.npr.org/blogs/itsallpolitics/2014/10/23/358118060/outside-group-sends-blunt-message-in-n-c-senate-race?ft=3&f=,More weed less war Thats the latest campaign slogan in the North Carolina Senate race advertising wars And no neither Democratic incumbent Kay Hagan nor Republican challenger Thom Tillis is jumping on the states marijuana legalization effort A quartermillion dollars in online ads is now supporting a thirdparty Senate challenger  Libertarian candidate and pizza delivery guy Sean Haugh The ads are coming from an unlikely source the American Future Fund a secretdonor political group backed by the billionaire industrialist Koch brothers The spots are aimed at young voters who typically support Democrats One features a 20something who criticizes Hagan for opposing legalization and supporting President Obamas war efforts in Afghanistan Vote Sean Haugh she says He shares our progressive values Prolegalization proenvironment More weed less war In a tweet Haugh says he now has a whole new reason to despise Koch brothers  their dark money Its all kind of surreal frankly Haugh told NPR Obviously they want to try to use me to siphon votes away from Kay Hagan and maybe swing the election to Thom Tillis Neither American Future Fund nor Koch Industries responded to queries about their strategy But Democratic Senatorial Campaign Committee spokesman Justin Barasky said The Koch brothers are doing everything they can to elect Speaker Tillis because no one has gone to the mat for the Koch brothers more than he has Haugh is drawing about 6 percent in public polls with some analysts believing his support is coming equally from those who would otherwise vote for Hagan or Tillis The 225000 is nearly 30 times more than the 7744 Haugh said he has spent for himself To put that in perspective the two main party candidates and outside groups have already spent 85 million on the North Carolina Senate race in advertising that directly tells voters to support or oppose a candidate Nonprofit political groups that are allowed to keep their donors secret including the Koch brothersfounded Americans for Prosperity have spent tens of millions of dollars more in socalled issue ads attacking Hagan You have to wonder why people are willing to spend up to 100 million to elect somebody to a job that only pays 174000 a year Haugh said Copyright 2014 NPR,20141023,marijuana
NPR,http://www.npr.org/blogs/thetwo-way/2014/10/22/358153731/new-autopsy-report-suggests-michael-brown-was-shot-at-close-range?ft=3&f=,The St Louis PostDispatch has published the official autopsy report on the shooting death of Michael Brown the black 18yearold whose death at the hands of a white police officer set off weeks of protests this summer and fall in Ferguson MoThe report suggests that Brown was shot at close range by Officer Darren Wilson A toxicology report accompanying the autopsy report suggests Brown had marijuana in his system at the time of his death on August 9The St Louis medical examiner helped interpret the reports findings for the PostDispatchThe St Louis medical examiner Dr Michael Graham who is not part of the official investigation reviewed the autopsy report for the newspaper He said Tuesday that it does support that there was a significant altercation at the carGraham said the examination indicated a shot traveled from the tip of Browns right thumb toward his wrist The official report notes an absence of stippling powder burns around a wound that indicate a shot fired at relatively short rangeBut Graham said Sometimes when its really close such as within an inch or so there is no stipple just smokeThe report on a supplemental microscopic exam of tissue from the thumb wound showed foreign matter consistent with products that are discharged from the barrel of a firearmThe PostDispatch also spoke with other experts who say the autopsy report shows Brown was facing the officer when Brown was shot in the forehead This contradicts witness reports that Brown was shot while running away from Wilson with hands raisedBenjamin Crump the attorney for Michael Browns family released a statement soon after the PostDispatch article was published Crump said questions still remain about what exactly happened the day Brown was killedWe are not surprised by the information leaked last night by the St Louis Medical Examiners office Several independent witnesses indicated there was a brief altercation between Michael Brown and Officer Wilson at the patrol car What we want to know is why Officer Wilson shot Michael Brown multiple times and killed him even though he was more than 20 feet away from his patrol car this is the crux of the matterAn earlier private autopsy performed at the request of Browns family found that Brown was shot six times with a fatal shot to the skull That report left many questions unanswered as the private examiner did not have full access to all of the crime scene Officials at the Department of Justice say they will also perform their own autopsyEarlier this month the New York Times reported that Wilson testified two months after the shooting that he feared for his life just before he shot BrownThe police officer who fatally shot Michael Brown in Ferguson Mo two months ago has told investigators that he was pinned in his vehicle and in fear for his life as he struggled over his gun with Mr Brown according to government officials briefed on the federal civil rights investigation into the matterThe officer Darren Wilson has told the authorities that during the scuffle Mr Brown reached for the gunThe shooting has brought to the forefront simmering tensions between Ferguson and St Louis African American communities and the people that police those communities as well as the poor socioeconomic conditions of many black people in the St Louis metro areaMissouris Governor Jay Nixon announced this week the formation of an independent commission to study and make specific recommendations for how to make progress on the issues raised by events in FergusonThe Governor said that the commission through an executive order will be charged with three main goalsConduct a thorough wideranging and unflinching study of the underlying social and economic conditions underscored by the unrest in the wake of Browns deathTap into expertise needed to address key concerns identified by the commission from poverty and education to governance and law enforcementOffer specific recommendations for making the St Louis region a stronger fairer place for everyone to live Copyright 2014 NPR,20141022,marijuana
