source,url,text,publish_date,category
NYT,http://takingnote.blogs.nytimes.com/2014/10/21/a-surprise-and-a-reversal-on-edible-marijuana/,Colorado legalized the growing selling smoking and eating of recreational marijuana more than 10 months ago but it still hasnt resolved some major questions about how this new market is supposed to workThe Associated Press reported on Monday that the state Health Department was proposing to ban nearly all forms of edible marijuana to make it easier to keep children from overdosing The proposal was one of several ideas presented to a statesponsored working group considering safety regulations for the marijuana industryBut health officials quickly backed away from the plan after the AP article appeared As the Denver Post reported edibles account for nearly half of the states cannabis business Forcing all those soda and candymakers out of business or underground would be a headspinning retreat for Colorados worldleading legalization experimentIt would also seem to clearly violate the Constitutional amendment overwhelmingly approved by Colorado voters to make marijuana in its many forms legal and to regulate it like alcoholAs The Post also makes clear it is proving difficult to come up with simple surefire rules about the size look potency and potential risk of edibles Everyone seems to agree that regulation is desirable but how is that supposed to happen By airbrushing warnings on individual gummy candies By making all marijuana chocolates a telltale shade of gray Its easy to see why some health officials thought the simplest thing to do with edibles would be to just get rid of themThe problem is that its too late for that There seems little chance that Colorado will impose what Twitter jokesters have been calling Maureens Law after the Times oped columnist Maureen Dowd who had a bad night in a Denver hotel after eating marijuanainfused candyBesides for all the concern opponents have not much evidence to show that edible marijuana is a publichealth crisisHalloween is nearly here Parents in Colorado and the other legalization state Washington have been hearing warnings about adulterated candies and stoned trickortreaters Next month we will know how much of that the fear was justified,2014-10-21T15:50:24Z,drugs
NYT,http://parenting.blogs.nytimes.com/2014/10/21/this-is-not-your-mothers-marijuana-talk-so-what-should-we-say/,Marijuana has changed The laws around it are in flux as of this writing marijuana for medical use is legal in 23 states and the District of Columbia two of those states Colorado and Washington have legalized recreational use as well  The stuff itself once green leafy and intended for smoking has undergone a transformation that Ive written about before It may be a drug but it looks like candy  Those changes in themselves  are not cause for alarm nor is the idea of rogue marijuanausing households slipping their 8 THClaced gummy bears into trickortreaters buckets It does mean that the way we talk with our children about marijuana needs to change as well The phrase smoking pot while far from entirely outdated is no longer necessarily an accurate description of the way our children are likely to first encounter marijuana The legalization of marijuana in all its complexities shifts marijuana more in the direction of alcohol when it comes to talking about how the people around us and parents themselves may use it Yet while many parents may give a child a sip of beer or wine its hard to imagine even the most enthusiastic embracer of legalization offering a nibble or a puff For the time being at least marijuana still occupies a different space in most peoples minds So how do we talk about the maybelegalforsomepeopleinsomecontextsbutnotforyou drug that can now be munched smoked or drank Ill be asking just that on Twitter tomorrow  from 9 to 10 am Eastern time in a chat with Dr Amy Sass medical director of the Adolescent Clinic at Childrens Colorado Becky Updike vice president of Child and Family Services Lutheran Family Services Rocky Mountains and formerly Colorados first appointed child protection ombudsman and Dr Kelly Caywood clinical psychologist at Childrens Hospital Colorado which organized the Twitter chatIll be asking questions like My friends use marijuana My child plays at their house How should I start the conversation about that and what should I ask And yes I know that question sounds silly if you replace marijuana with beer but should we and do we equate the two or are there other concerns Other questions If Ive used marijuana do I admit it to my kids and What are some signs that my child has been using marijuana  now that I might not smell the smoke For a postTwitterchat update on talking to your children about marijuana whether its legal in your state or not please read  When the Stance on Marijuana Is Still Just Say No and  A Familys Truth About Marijuana Depends on the Family Read more about marijuana on Motherlode When Marijuana Looks Like Candy Not Drugs What to Do When Your Child Wants Marijuana Stocks and That SixServing Bar of Marijuana Chocolate My Son Ate It,2014-10-21T17:05:43Z,drugs
NYT,http://www.nytimes.com/2014/10/29/us/for-marijuana-a-second-wave-of-votes-to-legalize.html,KEIZER Ore   Two years after voters in Colorado and Washington State broke the ice as the first states to legalize sales of recreational marijuana to adults residents of Oregon Alaska and Washington DC will vote next week on ballot measures patterned on those of the two pioneers People on both sides of the issue say these initiatives could determine whether there will be a national tide of legalizationA changing political landscape has weakened antimarijuana efforts As the libertarian movement in the Republican Party has gained force with leaders like Senator Rand Paul Republican of Kentucky supporting decriminalization of marijuana and others going even further an anchor of the conservative opposition to legalization has erodedAnd Democrats have found that supporting legalization  once an invitation to be labeled soft on crime  no longer carries the risk it once did as public discussion of prison overcrowding and law enforcement budgets has reframed the issueNational groups that have long advocated legalization have provided labor and money along with help from a legal marijuana industry that did not exist in 2012 The old antidrug coalition has struggled to find traction and money Supporters of legalization have outdone opponents fundraising here in Oregon by more than 25 to 1 and in Alaska by about 9 to 1The support coalition is definitely broader and the opposition has splintered said Corey Cook an associate professor of politics at the University of San Francisco who follows the marijuana debateThe contrast between the pro and antilegalization forces was apparent on a recent day in Oregon In downtown Portland scruffy hipsters with clipboards buttonholed passersby registering voters and urging them to vote yes on Measure 91 while political consultants put the final touches on a 2 million ad barrageNearby opponents organized one of their major events in Keizer a suburb of Salem the state capital Titled Marijuana and Our Youth the session included two hours of PowerPoints and passionate denunciations of the drug But no one even mentioned Measure 91 Audience participants and organizers many of them from governmentfunded nonprofit groups involved in drug treatment services were afraid of violating laws that ban politicking with public moneyOpponents were by their own admission late in forming a united organization and their campaign had only about 10000 for advertising with spots running on two Portland radio stations starting last weekendTheyve done a pretty good job of shutting everybody up said Joshua K Marquis the district attorney in Clatsop County and an opponent of legalization referring to the pro91 forcesThe prolegalization campaigns in Oregon and Alaska are financed largely by national organizations In Alaska 84 percent of the 867000 raised by legalization proponents at Yes on Ballot Measure 2 has come from the Marijuana Policy Project a group based in Washington DC with an advisory board that includes actors musicians and politicians including Gary Johnson the Libertarian Party candidate for president in 2012 Opponents to legalization in Alaska have raised only 97000In Oregon the Drug Policy Alliance based in New York and backed by the billionaire investor George Soros has led the charge contributing at least 780000 this year according to state records making up about 35 percent of the cash raised by the main committee supporting legalizationMarijuanarelated businesses or investors in Colorado Washington and California have contributed at least 60000 Contributors included OpenVAPE a company based in Denver that sells products for consuming concentrates like hash oil Privateer Holdings a marijuana investment firm in Seattle and Vicente Sederberg which calls itself The Marijuana Law FirmThere has been some wellfunded opposition to legalization especially in Florida where voters will decide whether to become the first state in the South to allow marijuana for certain medical uses There Sheldon G Adelson a casino executive from Las Vegas has contributed 5 million to opponents of medical marijuana about 86 percent of the total raised by the main committee fighting the legislationBut in Oregon there has been no sugar daddy as Mr Marquis the county prosecutor put it Opponents have raised only about 179000Initiative 71 in Washington DC would allow residents to possess up to two ounces of marijuana for personal use and grow up to six cannabis plants at home Measure 91 in Oregon would allow possession by adults of up to eight ounces of marijuana and four plantsBallot Measure 2 in Alaska would allow adult possession of one ounce and six plantsSupporters of legalization in Oregon and Alaska said that money was crucial to overcoming what they say was years of incorrect information and distortion by law enforcement and antidrug groups about marijuanas risksThe opposition made good traction for 50 years and it was built around locking people up A massive industry was built around it said Richard Branson the entrepreneur who founded Virgin Group and a member of the Drug Policy Alliances international honorary boardOpponents said they were facing for the first time an emerging industrial complexThis is not about independent Alaskans smoking marijuana in their homes but a commercialization and industrialization of an industry said Charles Fedullo a spokesman for Big Marijuana Big Mistake which opposes Ballot Measure 2 in AlaskaChanges required for the meeting about marijuana and youth here in Keizer opponents of legalization say offers a case study in the tough new tactics of prolegalization groupsA few weeks before the Marijuana and Our Youth meeting legalization supporters pointed out to federal and state authorities that a small drug treatment center funded by government grants was sponsoring a tour of the state by Kevin A Sabet a cofounder of a national antilegalization group Smart Approaches to Marijuana They reminded all parties that federal and state laws prohibited the use of public funds to influence electionsThe State of Oregon agreed and issued a stern warning that any group receiving public money  a list that included 70 counties tribes schools and nonprofit agencies that provide drug treatment or substanceabuse prevention programs  had best tread carefullyThe result was a sudden silence in the antidrug contingent and a muted meeting here in Keizer Even though private funds were substituted to avoid the appearance of impropriety talk of Measure 91 organizers said was taken off the table out of concern for jobs and future government grants A central constituency in the opposition heavy on health care professionals was stifledBoth sides said the new terrain offered a glimpse toward the next wave of states notably California where supporters are gearing up for a vote in 2016 But there are strange historical echoes too Alaska and Oregon were both pioneers of marijuana law in the 1970s Oregons Legislature debated full legalization in 1973 and ended up passing the nations first law decriminalizing possession of small amounts Alaskas Supreme Court held in 1975 that possession of marijuana in ones home was protected by constitutional privacy lawWhether the antidrug coalition of the past is dead or just sleeping both sides agree that the old arguments no longer workTodays parents are yesterdays children who were smoking marijuana and have personal experience and therefore the kind of advertisement which shows fried eggs doesnt really cut it with them Mr Soros said in an interview this year He was referring to an antidrug television campaign that showed a sizzling egg in a pan and the tagline This is your brain on drugsBut the pressure is also on proponents they say not to fall short because every new state is a kind of test caseIf we win I think it shows that public opinion has decisively changed  weve won in two election cycles said Peter Zuckerman a spokesman for New Approach Oregon the main group supporting legalization If we lose I think it becomes much harder he said We have to maintain the momentumProfessor Sabet of the department of psychiatry in the College of Medicine at the University of Florida founded his antilegalization group with Patrick J Kennedy a former Democratic congressman from Rhode Island He said an interview that on the surface the fight against legalization probably looks unwinnable hereIt looks bad  I want to be on the other team he said laughing Turning serious Professor Sabet said that experiences in Washington and Colorado were exposing flaws in legal marijuana  from greater exposure to young people to questions of highway safety  that he thinks will turn off many voters even though opponents of the ballot measures lack the money to shout their messageLegalization in practice has been the biggest enemy of legalization he said,2014-10-29T00:00:00Z,drugs
NYT,http://www.nytimes.com/2014/10/30/us/new-scrutiny-on-sweets-with-ascent-of-marijuana-in-colorado.html,DENVER   As Halloween approached the Denver Police Department and a marijuanastore owner teamed up to film a public service video that could exist only in this weird new world of legalized potMarijuana they cautioned parents of trickortreaters does not always look like marijuana More and more these days it can mimic Sour Patch Kids Jolly Ranchers and gummy bears and the police urged parents to doublecheck their childrens Halloween haul for any suspiciouslooking candies that might be infused with marijuanaTheres really no way to tell the difference Patrick Johnson the owner of Urban Dispensary says in the video He added Its best just to toss that stuff into the trashTo some marijuana advocates the warning belongs with shadowy urban legends about poisoned chocolates and candy bars spiked with razor blades There have not been any reported cases of marijuanalaced treats being passed out on Halloween here and edible marijuana comes in drab packages that look nothing like regular candy Still the Halloween message underscored a growing concern among parents groups and regulators that the abundant new varieties of legal edible marijuana just look too much like regular foodSince recreational marijuana sales began here in January edible pot has become a top seller at dispensaries across Colorado a sweet and tasty way for wary firsttimers to sample marijuana or for people to get high without coughing and reeking of smoke But a spate of accidental ingestions by children and adults and two deaths tied to edibles this year have prompted widespread calls to clamp down on the edible corner of the marijuana marketWhile some companies are making mandarinflavored sodas and rich darkchocolate bars infused with the drug advocates for tighter marijuana regulation say that others are simply coating brightly colored bulk candy and childfriendly breakfast cereals with cannabis oil and selling it at a huge markup And critics argue that even seasoned marijuana consumers are getting sick or losing control after eating marijuana snacks that proved far more potent than they had realized A single candy bar or soda could be packed with enough THC  the major psychoactive chemical in marijuana  to serve 10 peopleUnder new rules approved by state regulators some potent candies that once contained 100milligram doses of THC are being pared back to 10 milligrams a serving the amount that has been designated as a discrete dose And starting next February more edibles will come in childproof packages and will be wrapped up in plastic and foil sheets similar to those that encase prescription pillsBut some officials think the new rules do not go far enoughThis month Colorados public health department went so far as to recommend a ban on almost all forms of edible marijuana from brownies to cookies and chewy candies saying their proliferation was confusing consumers and baiting children who could not tell the difference The proposal has not gained much traction but it showed the deep divisions between marijuana makers and public health officials who are now sparring over how to package edibles whether they need clearer labels and markings and exactly how strictly they should be regulatedJulie Dooley and a business partner started making marijuanainfused treats years before voters in Colorado and Washington State became the first to make marijuana legal for adult recreational users It helped ease their health problems and worked for women with anxiety problems These users wanted to consume discreetly around their children so baking with cannabisrich butter seemed like an ideal choice Today Ms Dooleys company Julies Baked Goods sells granola granola bars sunflower seeds and chocolates infused with cannabis to more than 30 dispensaries around the stateMs Dooley said she was aghast at the proposal to ban her granola and said it appeared illegal under Amendment 64 the voterapproved measure that enshrined marijuana legalization in Colorados Constitution But it also showed that regulators did not understand the industry she saidThey clearly did not consider why we created edibles in the first place she said We believe wholeheartedly that this is a medicineShe and other marijuanabusiness owners said the fear surrounding edibles had outstripped reality During the first half of the year emergencyroom doctors at Childrens Hospital Colorado raised alarms after treating nine children who had accidentally eaten marijuana  more than the entire number of such cases in 2013 Since the end of May the hospital has had five additional cases of children sickened by eating marijuanaTheres no crisis theres no emergency Ms Dooley said The fear is so huge right nowBut officials with Colorados poisoncontrol center say that calls about young children exposed to marijuana had risen from 11 in 2010 to 26 last year after recreational marijuana was legalized but before retail sales began Adults too have been fooled In August seven people attending Denvers county fair said they accidentally ate marijuanalaced chocolates from a vendor at the fairs inaugural Pot Pavilion who had assured them the candies were marijuanafreeWe cannot tell which is infused and which is not said Gina Carbone a founding member of Smart Colorado which advocates tighter controls to keep marijuana away from childrenOne Colorado company has begun wooing worried parents with 15 marijuanatesting kits that use a THCsensitive solution to quickly determine whether an innocuouslooking cookie or candy is packing a hidden punchAnd some advocates say edibles should have a mark or stamp that identifies them unmistakably as marijuana the same way the Hersheys brand is stamped right on a chocolate bar or how MM candies and Jelly Belly jelly beans are each airbrushed with an insigniaBut makers of edibles have resisted the idea saying it would cost tens of thousands of dollars to buy the necessary equipment raising the price of edibles and potentially driving more customers out of the stores and back onto the black market And there are practical problems they say How do you put a unique stamp on a soft toffee chew or a package of granola And some makers say that branding a chocolate bar as MARIJUANA might actually have perverse effects making it more attractive to curious childrenLindsay Topping the marketing director of Dixie Elixirs and Edibles a Denverbased maker of marijuanainfused drinks and candies said the company was already preparing a new line of childresistant packages But ultimately she said the safety of an edible depended largely on the customerI cant control how a parent stores this she said Its out of my hands once it gets into that home,2014-10-30T00:00:00Z,drugs
NYT,http://www.nytimes.com/2014/10/22/nyregion/despite-de-blasios-promise-marijuana-arrests-persist.html,With a summons for marijuana possession to settle Anthony was waiting outside the courthouse in Kew Gardens Queens when the doors opened at 9 on Tuesday morningThat summons had frozen his life since a police officer handed it to him on a Saturday evening in August He immediately lost a job that he had held for seven years as a school bus driver It had already cost him close to 7000 in lost wagesFor this account Anthony 28 asked that only his first name be used because he has never before had any trouble with the police and wants to go back to workWhen Bill de Blasio was running for mayor last year he noted that marijuana arrests which fall most heavily on black and Latino males have disastrous consequences and pledged to curtail the practice of ratcheting up what should be a minor violation of the law into a misdemeanorThis week a report showed that such arrests were continuing at about the same pace as last year the de Blasio mayoralty had not appreciably changed the number of such cases The Legal Aid Society has a roster of clients across the city who face misdemeanor charges for possession of minuscule amounts of pot because it was charged they were openly displaying it About 75 percent of those charged had no prior criminal convictions and more than 80 percent were black or Latino according to the report from the Marijuana Arrest Research Project and the Drug Policy AllianceThe case of Anthony a black man is a powerful illustration of how disruptive such a charge can be On Aug 16 he said he was getting a ride to his home in Jamaica Queens after a few hours in a park I wasnt even in the car 10 minutes he said We got pulled over on Sutphin and Rockaway Boulevard They said it was a brake light Asked for the usual license and registration Mind you Im the passenger Im not thinking about itThe driver was ordered out of the car and searched Then Anthony was told to get out A moment later an officer rooted around in the car he said and both men were handcuffedHe said it was a weed pipe in the center console Anthony said I said Why am I getting arrested Im just the passengerAnyone in a car where contraband is found can be charged with possession said Marquita Johnson a staff attorney with the Legal Aid Society who is representing AnthonyIn a formal complaint the officer said he recovered a marijuana pipe containing marijuana residue from the center console of said vehicleSuch a tiny amount of pot if thats what was actually in the pipe would normally be considered a violation But it was elevated to a misdemeanor by the police officers statement that the pipe was in a public place open to public viewPerhaps that is true though one wonders why anyone being pulled over by the police would not close a center console if the pot pipe really had been visible Anthony insisted that he would never have gotten in the car had he known it was thereI dont involve myself around that he said Im a working citizenThe police officers issued the driver and Anthony desk appearance tickets meaning they had to appear in court this week more than two months after the stopI come back to work that Monday and they said We got to let you go because youve been arrested and your fingerprints came back to us in Albany Anthony said They knew the date the time They said Well give you your job back once you prove your innocenceAnthony puts his annual salary at about 40000 By this week when the case finally went to court Anthony was out more than two months pay The driver showed up and in a quick negotiation pleaded guilty to a traffic violation and agreed to pay a fine of 180 Since Anthony was not behind the wheel he could not make the same dealThe district attorneys office offered to dismiss the case in a year if Anthony stayed out trouble But that would mean a full year out of work A new offer was made dismissal after 90 days That would still be an additional three months of out of work on top of the two he had already lost The case was adjournedAsked Tuesday about the marijuana arrests a spokesman for the mayor offered statistics that showed a slight decrease as opposed to the slight increase in the reportBut there was really no differenceIve worked all my life Anthony said This is hard to get used to,2014-10-22T00:00:00Z,drugs
NYT,http://takingnote.blogs.nytimes.com/2014/11/03/marijuana-and-the-minimum-wage-ballot-measures-around-the-country/,Tuesdays voting will not only determine control of the Senate but the fate of important ballot initiatives in several states Among themAbortionBallot initiative aimed at ending or severely curtailing womens access to safe and legal abortion care will be contributing to the election night drama in three states Colorado North Dakota and TennesseeColorados Amendment 67 is a repackaged but unimproved version of the absurd and unconstitutional personhood proposals that voters in the state overwhelming rejected in 2008 and 2010 Like the earlier iterations it would confer on fertilized eggs legal rights and protections that apply to living individuals making abortion criminal even in cases of rape or incest or to protect a womans health It is opposed by both the Democratic and Republican candidates in Colorados hardfought Senate raceAnother personhood measure North Dakotas Constitution Measure 1 stands a better chance of success It would protect the inalienable right to life of every human being at any stage of developmentThe Tennessee initiative backed by that states Republican governor Bill Haslam and many members of the Republicandominated state government also stands a decent chance It states that nothing in the Tennessee Constitution secures or protects a right to abortion  potentially opening the floodgates for even more harsh abortion restrictions than the state already hasTime and time again when voters have understood whats at stake they have overwhelmingly rejected these kinds of measures even in conservative states like Mississippi and South Dakota noted Jennifer Dalven the director of the ACLUs Reproductive Freedom Project The results this round she said will turn on getting out the word that the intent is the same  to make it a crime for a woman to have an abortion  Dorothy SamuelsMarijuanaThe lonely experiment in legalized recreational marijuana so far waged by only two states Colorado and Washington may get biggerResidents of Alaska and Oregon will vote on whether to legalize recreational marijuana and residents of Washington DC will vote on whether to repeal criminal and civil penalties for personal possession and allow limited private cultivation Polling in Alaska is all over the place the Oregon race is too close to call and it looks like DC will go ahead and end prohibitionThe editorial board supports legalization generally and these ballot measures in particular Decades of locking people up for using a drug less harmful than alcohol has done little or nothing to curtail consumption while ruining the lives of those unlucky enough to get arrested Juliet LapidosThe Minimum WagePolls suggest that voters in four red states  Alaska Arkansas Nebraska and South Dakota  are expected to approve binding ballot measures that would raise the minimum wage in their states above the federal level of 725 an hour Those votes should send a strong signal to Republicans who have bitterly opposed a Democratic proposal in Washington to raise the federal minimum wage to 1010 an hour by 2016None of the measures would raise the minimum to the level advocated by Democrats in Congress which the editorial board has argued is in itself not high enough relative to labor productivity and inflation But these ballot initiatives are important nonetheless because they provide realword evidence that a higher minimum wage has broad bipartisan support among votersIf Republicans do take control of the Senate as most political pundits are predicting the party would be smart to renege on the promise Senator Mitch McConnell who hopes to become majority leader made earlier this year to Republican donors that he would not schedule a vote on raising the minimum wage Vikas Bajaj,2014-11-03T13:19:42Z,drugs
NYT,http://well.blogs.nytimes.com/2014/09/01/a-benefit-of-legal-marijuana/,Policy makers have suggested a variety of strategies to reduce injury and death from prescription opioid overdose including drugmonitoring programs scrutiny of doctors writing prescriptions and improved access to substanceabuse treatmentNow a study has found evidence that legal access to marijuana is associated with fewer opioid overdose deaths Researchers with the Department of Veterans Affairs found that in states where medical marijuana was legally available death rates from opioid overdose were on average 248 percent lower than in states without medical marijuanaThe differences generally were even greater in states where medical marijuana had been available for longer periods The study was published in JAMA Internal MedicineThe authors acknowledge that various factors that are hard to measure may be at work including differences among states in health behaviors socioeconomic status race ethnicity and medical or psychiatric diagnosesBut by comparing the same state before and after the passage of medical marijuana laws the researchers say they were able to control for population variations between states even those they could not specifically identifyThey do not recommend the wide adoption of legalized cannabis on the basis of this study Still the lead author Dr Marcus A Bachhuber a fellow at the Philadelphia Veterans Affairs Medical Center said that medical marijuana laws might have unexpected benefitsThe next step would be a study of individuals over time he said If studies of individuals suggest that laws shift behavior we could be reasonably confident of our results,2014-09-01T18:52:22Z,drugs
NYT,http://www.nytimes.com/2014/11/04/upshot/marijuana-on-the-ballot-in-florida-alaska-oregon-and-dc.html,This article has been updated with election results Two more states and the District of Columbia passed marijuana legalization initiatives on TuesdayIn the nations capital 69 percent of voters approved legalization while the measures passed in Oregon with 55 percent support and in Alaska with 52 percent according to The Associated PressVoters in Florida did not pass a proposal to legalize marijuana for medical purposes That proposal was a constitutional amendment which needed 60 percent of the vote to pass but had just 57 percent support with 98 percent of precincts inThe District of Columbia Oregon and Alaska will follow the lead of Colorado and Washington state which approved legal marijuana by ballot initiative in 2012 But in the case of the District of Columbia Congress can overrule the voters choice and Representative Andy Harris a Republican from Maryland has signaled his intention to push Congress to do soLegalization in Colorado has produced mixed results since January Crime in the state has continued to fall But there have been some concerns regarding marijuana edibles which the state public health department recently recommended prohibiting And government revenues have fallen short of expectations in part because many users continue to rely on Colorados lightly taxed medical marijuana systemThere is less data from Washington state where legal sales did not begin until July,2014-11-04T00:00:00Z,drugs
NYT,http://takingnote.blogs.nytimes.com/2014/08/15/checking-accounts-for-marijuana-businesses/,Marijuana entrepreneurs in states that have legalized the drug for either medical or recreational purposes have had trouble finding banking partners Because marijuana remains an illegal substance under federal law few financial firms have been willing to provide checking accounts and other services to those growing processing and selling the drugPreviously it was difficult to know the exact scope of this problem But earlier this week a federal official involved in policing financial crimes offered some details just 105 institutions in more than onethird of states are engaged in banking relationships with marijuana related businesses Jennifer Shasky Calvery the director of the Financial Crimes Enforcement Network said in a speech In addition to Colorados and Washingtons policies allowing recreational use 35 states have legalized some form of marijuana consumption for medical purposes Ms Calvery also said that financial firms had made 475 filings alerting regulators to the fact that they had terminated relationships with marijuana businesses as of Aug 8 in order to maintain an effective antimoney laundering compliance programEarlier this year Ms Calverys agency issued a guidance that was ostensibly meant to encourage financial firms to do business with marijuana entrepreneurs operating in compliance with state law And in her speech Ms Calvery said the statistics she offered suggest that the guidance is having the intended effectActually the data suggests that cannabis businesses will continue to struggle to find financial partners as long as marijuana remains on Schedule I of the Controlled Substances Acta classification that the editorial board opposesRegardless of what one thinks about legalizing marijuana for medical and recreational use there is good reason to encourage more banks to work with cannabis entrepreneurs in states where the drug is legal Businesses that operate entirely in cash are often targets of armed robberies They are also difficult to audit since it is easier for them to engage in tax evasion wage theft and money laundering,2014-08-15T13:42:53Z,drugs
NYT,http://www.nytimes.com/2014/09/08/us/legal-use-of-marijuana-clashes-with-workplace-drug-testing.html,DENVER   Brandon Coats knew he was going to fail his drug test Paralyzed in a car crash when he was 16 he had been using medical marijuana since 2009 to relieve the painful spasms that jolted his body But he smoked mostly at night and said marijuana had never hurt his performance answering customer calls for a Colorado satellitetelevision providerSo when his employer Dish Network asked Mr Coats to take a random drug screen he was not surprised when the test came back positive for marijuana He told his bosses why but when he got to work the following week he said my card wouldnt open up the door He was fired for violating the companys drugfree workplace rules despite having a medical marijuana cardThere are a lot of people out there who need jobs can do a good job but in order for them to live their lives they have to have this said Mr Coats who is 35 A person can drink all night long be totally hung over the next day and go to work and theres no problem with itBut when it comes to marijuana Mr Coats and other users are discovering that marijuanas recent strides toward the legal and cultural mainstream are running aground at the office Even as 23 states allow medical or recreational marijuana employment experts say that most businesses are keeping their drugfree policies The result is a clash between a culture that increasingly accepts marijuana and companies that will fire employees who use itEven in Colorado and Washington the countrys most marijuanafriendly states a glance at online classified ads lays out an unwelcome landscape for marijuana smokers Please do not apply if you are NOT drug free or carry a medical marijuana card warns one job listing for a mechanic in Denver A Chevrolet dealership in the suburb of Aurora tells applicants We do screen for medical or recreational marijuana In Seattle a recycling company looking for a welder cautions that they are a zerotolerance company including marijuanaEmployers and business groups say the screenings identify drugabusing workers create a safer workplace lower their insurance costs and in some cases are required by law But marijuana advocates say the prohibitions amount to discrimination either against people using marijuana to treat a medical condition or against people who smoke it because they simply have the legal right to do so off the clock and away from the officeIt wasnt like I was getting high on the job Mr Coats said I would smoke right before I go to bed and that little bit would help me get through my daysOn Sept 30 he will take that argument before the Colorado Supreme Court in a lawsuit challenging his 2010 firing For years courts in Colorado and across the country have ruled against marijuana users saying that companies have the right to create their own drug policies But legal experts say that if Mr Coats prevails  he lost 21 in an appellate ruling  his case could transform how businesses must treat marijuana usersMr Coatss lawyer Michael Evans argues that Mr Coatss use of medical marijuana should fall under a state law that prohibits companies from firing workers for legal offduty activities that might rankle an employer Dish Network argues that smoking marijuana can hardly be considered legal because it breaks federal lawIf Dish loses the case the company wrote in a brief to the court Dish and every other Colorado employer can no longer maintain a drugfree policy and companies across the state could risk losing federal contracts because they no longer complied with federal drugfree workplace lawsAfter Colorado voted in 2012 to allow adults to buy sell and grow their own recreational marijuana scarcely any businesses relaxed their own rules according to a survey by the Mountain States Employers Council which represents 3500 companies Seventyone percent left their drugtesting policies in place and 21 percent actually imposed stricter rulesPeople were scared they were going to have a stoned work force said Curtis Graves a staff lawyer for the groupA survey by Quest Diagnostics which conducts millions of drug tests across the country found that positive results for marijuana rose in both Colorado and Washington in the year after legalization measures passed In Colorado the number of urine samples testing positive for marijuana rose to 23 percent in 2013 from 192 percent in 2012 In Washington the rates rose to 238 percent from 194A positive test result can derail a career say people who have been fired for marijuana use In New Mexico a physician assistant named Donna Smith who had used medical marijuana to treat symptoms of posttraumatic stress disorder lost her health care job in February after failing a drug testThe health care provider where she had been working Presbyterian Health Services said Ms Smith had worked for an outside staffing agency and had a temporary assignment with Presbyterian One condition of that work was a drug screen Presbyterian is committed to patient safety and we believe that a drugfree workplace is a key component Presbyterian said in a statementMs Smith who is suing Presbyterian said she had been able to find only one sporadic job since then and has cashed out an IRA and spent her savings I cant find any work she saidRecently a handful of businesses in Colorado cautiously opened up to marijuana said Mr Graves of the Mountain States Employers Council They decided their fears were overblown and have asked the group to help them revise their drugtesting policies to remove marijuana from the mixIn Washington State the TitusWill network of car dealerships and service centers now tells job applicants they will have to pass a preemployment profile test background check and drug screen excluding marijuana In Colorado a handful of technology and marketing firms that do not test for drugs have told their employees Do what you want off the clock but come to work sober and alertEven the marijuana industry has grappled with whether to drugtest its employees Outlawing marijuana use would be the height of hypocrisy But in a closely scrutinized industry that deals with huge amounts of cash potent doses of cannabis oil and marijuanalaced foods businesses say their workers cannot be stoned at workAt Open Vape which sells marijuana vaporizers employees take a computer test to determine their baseline cognitive skills If a worker comes back from a break redeyed and acting hazy the company has them take the test to see if anything is amissJust as we wouldnt want folks going out and having a two to threemartini lunch we shouldnt have folks going out and smoking a joint during lunch said David Kochman the companys general counselBut the message has not gotten through to everyone Todd Mitchem who runs a marijuana consulting business said he recently got a phone call from an man interested in attending a marijuana job fair called CannaSearch in Denver later this month But the applicant had one question Would there be a room where people could smoke potThe answer is no Mr Mitchem said You cant do that at the job fair,2014-09-08T00:00:00Z,drugs
